service_id,date,exception_type
regular,20130101,2
regular,20130121,2
regular,20130527,2
regular,20130704,2
regular,20130902,2
regular,20131111,2
regular,20131128,2
regular,20131129,2
regular,20131224,2
regular,20131225,2
regular,20131231,2
regular,20140101,2
nonfsu,20130101,2
nonfsu,20130121,2
nonfsu,20130527,2
nonfsu,20130704,2
nonfsu,20130902,2
nonfsu,20131111,2
nonfsu,20131128,2
nonfsu,20131129,2
nonfsu,20131224,2
nonfsu,20131225,2
nonfsu,20131231,2
nonfsu,20140101,2
tuesfri,20121112,2
tuesfri,20121124,2
tuesfri,20121125,2
tuesfri,20121224,2
tuesfri,20121225,2
tuesfri,20121231,2
tuesfri,20130101,2
tuesfri,20131129,2
fsu,20130317,2
fsu,20130318,2
fsu,20130319,2
fsu,20130320,2
fsu,20130321,2
fsu,20130322,2
fsu,20130323,2
fsu,20130324,2
