trip_id,start_time,end_time,headway_secs,exact_times
redloop1,7:30:00,8:00:00,1800,
redloop1,8:00:00,8:30:00,1800,
redloop1,9:00:00,9:30:00,1800,
redloop1,10:00:00,10:30:00,1800,
redloop1,11:00:00,11:30:00,1800,
redloop1,13:00:00,13:30:00,1800,
redloop1,14:00:00,14:30:00,1800,
redloop1,15:00:00,15:30:00,1800,
redloop2,8:30:00,9:00:00,1800,
redloop2,9:30:00,10:00:00,1800,
redloop2,10:30:00,11:00:00,1800,
redloop2,11:30:00,12:00:00,1800,
redloop2,13:30:00,14:00:00,1800,
redloop2,14:30:00,15:00:00,1800,
redloop2,15:30:00,16:00:00,1800,
blueloop1,8:00:00,8:30:00,1800,
blueloop1,9:00:00,9:30:00,1800,
blueloop1,10:00:00,10:30:00,1800,
blueloop1,11:00:00,11:30:00,1800,
blueloop1,13:00:00,13:30:00,1800,
blueloop1,14:00:00,14:30:00,1800,
blueloop1,15:00:00,15:30:00,1800,
blueloop1,16:00:00,16:30:00,1800,
blueloop2,8:30:00,9:00:00,1800,
blueloop2,9:30:00,10:00:00,1800,
blueloop2,10:30:00,11:00:00,1800,
blueloop2,11:30:00,12:00:00,1800,
blueloop2,13:30:00,14:00:00,1800,
blueloop2,14:30:00,15:00:00,1800,
blueloop2,15:30:00,16:00:00,1800,
greenloop1,7:30:00,8:00:00,1800,
greenloop1,9:00:00,9:30:00,1800,
greenloop1,10:30:00,11:00:00,1800,
greenloop1,13:00:00,13:30:00,1800,
greenloop1,14:30:00,15:00:00,1800,
greenloop2,8:00:00,9:00:00,3600,
greenloop2,9:30:00,10:30:00,3600,
greenloop2,11:00:00,12:00:00,3600,
greenloop2,13:30:00,14:30:00,3600,
greenloop2,15:00:00,16:00:00,3600,
fsuday,7:30:00,7:50:00,1200,
fsuday,7:50:00,8:10:00,1200,
fsuday,8:10:00,8:30:00,1200,
fsuday,8:30:00,8:50:00,1200,
fsuday,8:50:00,9:10:00,1200,
fsuday,9:10:00,9:30:00,1200,
fsuday,9:30:00,9:50:00,1200,
fsuday,9:50:00,10:10:00,1200,
fsuday,10:10:00,10:30:00,1200,
fsuday,10:30:00,10:50:00,1200,
fsuday,10:50:00,11:10:00,1200,
fsuday,11:10:00,11:30:00,1200,
fsuday,11:30:00,11:50:00,1200,
fsuday,11:50:00,12:10:00,1200,
fsuday,12:10:00,12:30:00,1200,
fsuday,12:30:00,12:50:00,1200,
fsuday,12:50:00,13:10:00,1200,
fsuday,13:10:00,13:30:00,1200,
fsuday,13:30:00,13:50:00,1200,
fsuday,13:50:00,14:10:00,1200,
fsuday,14:10:00,14:30:00,1200,
fsuday,14:30:00,14:50:00,1200,
fsuday,14:50:00,15:10:00,1200,
fsuday,15:10:00,15:30:00,1200,
fsueveing,14:30:00,15:30:00,3600,
fsueveing,15:30:00,16:30:00,3600,
fsueveing,16:30:00,17:30:00,3600,
fsueveing,17:30:00,18:30:00,3600,
fsueveing,18:39:00,19:30:00,3600,
fsueveing,19:30:00,20:30:00,3600,
fsueveing,20:30:00,21:30:00,3600,
fsueveing,21:30:00,22:30:00,3600,
fsusat,10:00:00,11:00:00,3600,
fsusat,11:00:00,12:00:00,3600,
fsusat,12:00:00,13:00:00,3600,
fsusat,14:00:00,15:00:00,3600,
fsusat,15:00:00,16:00:00,3600,
fsusat,16:00:00,17:00:00,3600,
fsusat,17:00:00,18:00:00,3600,
purple,8:00:00,10:30:00,9000,
purple,13:30:00,16:00:00,9000,
