stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
roses,,Rose's,Main store in Queen City Plaza. Wait for bus outside.,39.65299,-78.760406,,0,
postoffice,,Cumberland Post Office,On sidewalk in front of Post Office,39.650264,-78.757021,,0,
cfa,,Chick-fil-A,Corner of Park St and Williams St.,39.64828,-78.757277,,0,
hilltop,,Hilltop Dr & Louisiana Ave,On the corner of Hilltop Dr & Louisiana Ave,39.644401,-78.753449,,0,
la,,Louisiana Ave,Louisiana Ave before turning onto Kent Ave,39.642119,-78.753514,,0,
jh,,Johnson Heights Medical Building,On sidewalk on Kent Ave in front of Johnson Heights Medical Building,39.641078,-78.751899,,0,
brookefield,,Ridgewood Ave & Brookfield Ave,On corner of Ridgewood Ave & Brookfield Ave going toward Williams Rd,39.641424,-78.750709,,0,
drmemorial,,Doctor's Offices at Old Memorial,Across street from Doctor's offices at the old Memorial Hospital,39.643419,-78.750579,,0,
warwick,,Warwick Ave & Ridgewood Ave,Corner of Warwick Ave and Ridgewood Ave,39.644224,-78.750539,,0,
ridgewood,,Ridgewood Ave & Williams St,,39.645148,-78.750532,,0,
greenway,,Greenway Ave & Williams St,,39.645377,-78.749404,,0,
imaging,,The Imaging Center,In front of the Imaging Center on Williams St,39.64644,-78.744441,,0,
golden,,Golden Living Center,On the corner of Winifred Rd and Williams Rd,39.646504,-78.743907,,0,
urology,,Urology Associates,At Urology Associates on side of Williams Rd. Please request stop to the driver when you pay your fare or call in the office for pick up.,39.64092,-78.73359,,0,
brook,,Brook Building,Side building to the Allegany County Health Department,39.646509,-78.73029,,0,
healthdept,,Allegany County Health Department,Front Doors of Allegany County Health Department,39.647778,-78.731074,,0,
wmhs,,Western Maryland Regional Medical Center,"Main entrance of hospital, please be visible to the driver.",39.64808,-78.73303,,0,
acm,,Allegany College of Maryland,Front loop of college near flag poles and fountain,39.651533,-78.729864,,0,
countryclubrd,,Willowbrook Road & Country Club Rd,,39.653083,-78.739,,0,
finan,,Finan Center,"Near cottages 7&8, bus does loop around facility.",39.656712,-78.735148,,0,
amber,,Country Club Rd & Amber Dr,,39.657216,-78.739209,,0,
pine,,Willowbrook Rd & Pine Ave,,39.655353,-78.746188,,0,
redshades,,Baltimore Ave & Shades Ln,,39.657596,-78.75015,,0,
blueshades,,Baltimore Ave & Shades Ln,Please stand on the side of the street opposite Shades Ln for pick up.,39.657482,-78.750163,,0,
marion,,Baltimore Ave & Marion St,,39.657399,-78.751617,,0,
yale,,Baltimore Ave & Yale St,,39.657503,-78.751743,,0,
decaturebalti,,Decatur St & Baltimore Ave,Corner of Decatur and Baltimore Ave,39.654025,-78.757161,,0,
gilchist,,Gilchrist Center,"Opposite Gilchrist Center, where Baltimore Ave merges with Henderson Ave",39.65316,-78.757904,,0,
adams,,Adam's Funeral Home,On Decatur St.,39.655935,-78.75983,,0,
fulton,,Decatur St & Fulton St,,39.654884,-78.758457,,0,
front,,Front St,"Stand close to track, the bus is going to turn right to cross tracks to Queen City Dr.",39.652418,-78.758547,,0,
centre,,Centre St & Baltimore St,Bus Shelter on the Corner of Baltimore St & Centre St,39.651533,-78.761104,,0,
jfk,,JFK Apartments,Bus stop is at International Beauty School,39.653962,-78.763385,,0,
methodist,,Centre St United Methodist Church,Centre St before Viaduct and Queen City Dr intersection.,39.655516,-78.765133,,0,
valley,,Centre St & Valley St,Near Pharmacare of Cumberland,39.657528,-78.769281,,0,
franklin,,Centre St & Franklin St,Opposite High Point Furniture.,39.658952,-78.773154,,0,
fruitbowl,,Fruit Bowl,Please stand visible to US 40 for pickup,39.665725,-78.78158,,0,
mtsavgerd,,National Hwy & Old Mount Savage Rd,"Corner of National Hwy & Old Mount Savage Rd, opposite Jiffy Lube.",39.669503,-78.792958,,0,
4t,,Four Tea Herb Shop,,39.668471,-78.794881,,0,
fratelli,,Fratelli's,,39.662029,-78.804231,,0,
lavalepo,,LaVale Post Office,,39.661003,-78.804937,,0,
qvbs,,Queen City Business Systems,,39.658277,-78.807034,,0,
bunnies,,Bunnie's Restaurant,,39.657168,-78.808137,,0,
cashvally,,National Hwy & Old Cash Valley Rd,,39.655805,-78.810894,,0,
long,,National Hwy & Long Dr,,39.65461,-78.812152,,0,
lavalest,,National Hwy & LaVale St,,39.651886,-78.814928,,0,
library,,LaVale Library,Stand on sidewalk visible to National Hwy,39.649013,-78.817986,,0,
peds5,,Peds After Five,Stand on sidewalk visible to National Hwy,39.644947,-78.82206,,0,
