shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3613f8fa-ff9b-42b7-9837-0240c9dbca32,37.20908,-80.41674,163,18202.21
e0e834d0-f9b1-4b73-9cee-db87a6d4c80d,37.21497,-80.44446,44,4777.07
acee7571-ce4d-4e4f-9635-743aa2590d9c,37.23932,-80.42239,43,4960.96
18198cf5-0f58-4aaf-9923-bc1d1a8546ce,37.16402,-80.42591,52,10732.01
18198cf5-0f58-4aaf-9923-bc1d1a8546ce,37.1643,-80.42537,53,10789.27
18198cf5-0f58-4aaf-9923-bc1d1a8546ce,37.16485,-80.42491,54,10862.64
9ebf0ac6-57df-4292-bc19-1c03bde7f182,37.23293,-80.42472,7,735.67
9ebf0ac6-57df-4292-bc19-1c03bde7f182,37.2348,-80.42588,9,967.73
9ebf0ac6-57df-4292-bc19-1c03bde7f182,37.23656,-80.42683,11,1181.09
9ebf0ac6-57df-4292-bc19-1c03bde7f182,37.23569,-80.42638,10,1075.79
9ebf0ac6-57df-4292-bc19-1c03bde7f182,37.23803,-80.4266,13,1346.46
9ebf0ac6-57df-4292-bc19-1c03bde7f182,37.23731,-80.42683,12,1263.95
1754e766-6ac2-41d3-a92f-b8b339e3c513,37.22396,-80.429,59,4169.42
3613f8fa-ff9b-42b7-9837-0240c9dbca32,37.2001,-80.40019,91,9978.52
3613f8fa-ff9b-42b7-9837-0240c9dbca32,37.20162,-80.39976,124,13194.26
3613f8fa-ff9b-42b7-9837-0240c9dbca32,37.19376,-80.39877,136,14409.68
af28b4ce-a18f-46a6-8adc-f78736cff55d,37.22288,-80.40694,9,1541.76
2153e707-49cd-4424-ae06-763452bfc050,37.23119,-80.41642,2,288.59
2153e707-49cd-4424-ae06-763452bfc050,37.2297,-80.41432,3,537.03
2153e707-49cd-4424-ae06-763452bfc050,37.22761,-80.4121,4,841.76
2153e707-49cd-4424-ae06-763452bfc050,37.22565,-80.40997,5,1129.38
3613f8fa-ff9b-42b7-9837-0240c9dbca32,37.18977,-80.40826,58,6698.13
e85512ef-e779-4056-b481-9ff43d4ce0a7,37.20518,-80.41483,60,7304.41
e85512ef-e779-4056-b481-9ff43d4ce0a7,37.20502,-80.41429,59,7254.54
e85512ef-e779-4056-b481-9ff43d4ce0a7,37.20369,-80.41241,34,4064.33
e85512ef-e779-4056-b481-9ff43d4ce0a7,37.19878,-80.40656,41,4915.74
e85512ef-e779-4056-b481-9ff43d4ce0a7,37.19888,-80.40688,40,4885.96
e85512ef-e779-4056-b481-9ff43d4ce0a7,37.20132,-80.4058,44,5286.8
257f44ff-e88d-4de9-8243-5d60cfc37218,37.22689,-80.44041,75,8251.68
257f44ff-e88d-4de9-8243-5d60cfc37218,37.22696,-80.4405,25,2637.54
3613f8fa-ff9b-42b7-9837-0240c9dbca32,37.1992,-80.40712,37,4851.19
fc9b28fa-bc1f-45dc-b437-bfc1ea24e35a,37.23749,-80.42083,39,4231.29
fc9b28fa-bc1f-45dc-b437-bfc1ea24e35a,37.23687,-80.42107,40,4303.39
fc9b28fa-bc1f-45dc-b437-bfc1ea24e35a,37.2348,-80.42588,15,1547.3
fc9b28fa-bc1f-45dc-b437-bfc1ea24e35a,37.23656,-80.42683,17,1760.7
