trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
ctran_1_1_20110615_1-1CAWKD,6:10:00,6:10:00,11038,1,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:11:00,6:11:00,11068,2,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:12:00,6:12:00,1372,3,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:12:00,6:12:00,1371,4,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:13:00,6:13:00,1394,5,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:14:00,6:14:00,11065,6,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:16:00,6:16:00,11105,7,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:17:00,6:17:00,11207,8,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:19:00,6:19:00,11064,9,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:20:00,6:20:00,11208,10,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:23:00,6:23:00,11062,11,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:25:00,6:25:00,11061,12,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:26:00,6:26:00,11060,13,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:30:00,6:30:00,11017,14,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:30:00,6:30:00,11059,15,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:31:00,6:31:00,11058,16,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:32:00,6:32:00,11057,17,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:33:00,6:33:00,11056,18,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:33:00,6:33:00,11055,19,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:34:00,6:34:00,11054,20,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:35:00,6:35:00,11049,21,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:36:00,6:36:00,11053,22,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:36:00,6:36:00,11051,23,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:36:00,6:36:00,11209,24,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:37:00,6:37:00,11050,25,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:37:00,6:37:00,11069,26,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:38:00,6:38:00,11047,27,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:38:00,6:38:00,11045,28,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:39:00,6:39:00,11043,29,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:40:00,6:40:00,11042,30,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:41:00,6:41:00,11040,31,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:43:00,6:45:00,11038,32,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:47:00,6:47:00,1375,33,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:50:00,6:50:00,1376,34,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:52:00,6:52:00,1704,35,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:54:00,6:54:00,11182,36,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:58:00,6:58:00,11037,37,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:58:00,6:58:00,11234,38,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:58:00,6:58:00,11026,39,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:58:00,6:58:00,11212,40,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:59:00,6:59:00,1313,41,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,6:59:00,6:59:00,11034,42,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,7:00:00,7:00:00,11025,43,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,7:00:00,7:00:00,11024,44,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,7:01:00,7:01:00,1388,45,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,7:01:00,7:01:00,1389,46,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,7:02:00,7:02:00,1377,47,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,7:02:00,7:02:00,11181,48,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,7:02:00,7:02:00,1705,49,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,7:03:00,7:03:00,11172,50,Loop,0,0,
ctran_1_1_20110615_1-1CAWKD,7:04:00,7:04:00,11233,51,Loop,0,0,
