route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,cat,1,Capital Blvd,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute1.html,FF0000,
10,cat,10, Longview,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute10.html,FF0000,
11,cat,11,Avent Ferry,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute11.html,FF0000,
11c,cat,11c,Buck Jones Connector,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute11c.html,FF0000,
12,cat,12,Method,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute12.html,FF0000,
13,cat,13,Chavis Heights,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute13.html,FF0000,
15,cat,15,WakeMed,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute15.html,FF0000,
15c,cat,15c,Trawick Connector,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute15c.html,FF0000,
16,cat,16,Oberlin,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute16.html,FF0000,
18,cat,18,Worthdale,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute18.html,FF0000,
19,cat,19,Apollo Heights,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute19.html,FF0000,
2,cat,2,Falls of Neuse,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute2.html,FF0000,
21,cat,21,Caraleigh,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute21.html,FF0000,
22,cat,22,State Street,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute22.html,FF0000,
23c,cat,23c,Millbrook Connector,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute23c.html,FF0000,
24c,cat,24c,North Crosstown Connector,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute24c.html,FF0000,
25c,cat,25c,Triangle Town Center Connector,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute25c.html,FF0000,
26c,cat,26c,Early Morning East,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute26c.html,FF0000,
27,cat,27,Southeast,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute27.html,FF0000,
28,cat,28,Southwest,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute28.html,FF0000,
29c,cat,29c,Night North Connector,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute29c.html,FF0000,
3,cat,3,Glascock,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute3.html,FF0000,
30,cat,30,Northeast,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute30.html,FF0000,
31,cat,31,New Hope Commons,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute31.html,FF0000,
32,cat,32,Sanderford Road,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute32.html,FF0000,
33c,cat,33c,Glenwood Creedmoor Connector,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute33.html,FF0000,
34,cat,34,WakeMed Poole Road,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute34.html,FF0000,
35,cat,35,Poole Road,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute35.html,FF0000,
36,cat,36,Garner Station,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute36.html,FF0000,
37,cat,37,North Hills,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute37.html,FF0000,
38,cat,38,Blue Ridge,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute38.html,FF0000,
39,cat,39,Cameron Village,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute39.html,FF0000,
4,cat,4,Rex Hospital,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute4.html,FF0000,
40e,cat,40e,Wake Tech Express,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute40e.html,FF0000,
5,cat,5,Biltmore Hills,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute5.html,FF0000,
55e,cat,55e,Poole Road Express,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATBusRoutes.html,FF0000,
6,cat,6,Crabtree,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute6.html,FF0000,
7,cat,7,South Saunders,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute7.html,FF0000,
70e,cat,70e,Brier Creek Express,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute70E.html,FF0000,
7c,cat,7c,Carolina Pines Connector,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute7c.html,FF0000,
8,cat,8,Northclift,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute8.html,FF0000,
8c,cat,8c,Sawmill Connector,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/CATRoute8c.html,FF0000,
r-line,cat,RLINE,Free Downtown Circulator,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/DowntownCirculator.html,FF0000,
wfl,cat,WFL,Wake Forest Loop,,3,http://www.raleighnc.gov/home/content/PWksTransit/Articles/WakeForestLoop.html,FF0000,
