stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1734,1734,Wilmington St at Martin St,,35.777705,-78.63813,tta,
1811,1811,White St at Elm Ave (Park-and-Ride),,35.974789,-78.510971,cat,
1812,1812,WF Crossing Shopping Center at Lowes Foods,,35.98596,-78.53388,cat,
1813,1813,Stadium Dr at Whistling Swan Dr,,35.98804,-78.52343,cat,
1814,1814,Stadium Dr at McDowell Dr,,35.9862,-78.52109,cat,
1815,1815,Stadium Dr at Wake Forest-Rolesvill,,35.98308,-78.5155,cat,
1816,1816,North Ave at Wingate St (SBTS),,35.98203,-78.51209,cat,
1817,1817,White St at Roosevelt Ave,,35.97979,-78.50906,cat,
1818,1818,Juniper Ave at White St,,35.98449,-78.50561,cat,
1819,1819,Juniper Ave at Taylor St,,35.9836,-78.50342,cat,
1820,1820,Allen Rd at Juniper Ave,,35.98222,-78.50063,cat,
1821,1821,Allen Rd at Best St,,35.97871,-78.50072,cat,
1822,1822,Wait Ave at Highgate Dr,,35.97711,-78.50404,cat,
1823,1823,Roosevelt Ave at Brooks St,,35.97868,-78.50776,cat,
1824,1824,White St at Jones Ave,,35.97823,-78.5098,cat,
1825,1825,Holding Ave at Northern Regional Ce,,35.970656,-78.510925,cat,
1826,1826,Franklin St at Yellow Poplar Ave,,35.967538,-78.510431,cat,
1827,1827,Main St (1A) at The Lodge,,35.96455,-78.51799,cat,
1828,1828,Main St (1A) at Cimarron Pkwy,,35.96212,-78.5182,cat,
1829,1829,Main St (1A) at Forbes Rd,,35.95705,-78.524158,cat,
1830,1830,Main St (1A) at Rogers Rd,,35.95315,-78.52746,cat,
1831,1831,Main St (1A) at Ligon Mill Rd,,35.94998,-78.53085,cat,
1832,1832,Main St (1A) at Walmart,,35.94817,-78.53465,cat,
1833,1833,New Falls of Neuse Rd at Forest Pin,,35.946004,-78.544698,cat,
1834,1834,Common Oaks Dr at Chriswick House L,,35.9442,-78.54831,cat,
1835,1835,Common Oaks Dr at Oliver Rd,,35.94208,-78.54659,cat,
