stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
6,MHUSB,METRO HUNTINGTON S BAY B,HUNTINGTON METRO SOUTH & NORTH KINGS HY,38.792135,-77.076058,,,,
18,RHLA2,RICHMOND HY @ LADSON,RICHMOND HY & LADSON LA,38.74035,-77.08769,,,,
23,BHRH4,BEACON HILL @ RICHMOND HY,BEACON HILL RD & RICHMOND HY,38.77203,-77.08063,,,,
25,SARH1,SACRAMENTO @ RICHMOND HY,SACREMENTO DR & RICHMOND HY,38.72083,-77.12583,,,,
29,MVHO9,MT VERNON HOSPITAL,MOUNT VERNON GOVERNMENT DR & MOUNT VERNON GOVERNMENT DR,38.74049,-77.07611,,,,
36,LARU2,LAWRENCE @ RUSSELL,LAWRENCE ST & RUSSELL RD,38.73993,-77.10556,,,,
64,DEWA3,DEEPFORD @ WAYLES,DEEPFORD ST & WAYLES ST,38.78344,-77.1664,,,,
65,FRBE4,FRANCONIA @ BEULAH,FRANCONIA RD & BEULAH ST,38.78214,-77.14526,,,,
66,CRHM4,CROWN ROYAL @ HIGH MEADOW,CROWN ROYAL DR & HIGH MEADOW RD,38.788484,-77.138523,,,,
68,FRWE4,FRANCONIA @ WESTCHESTER,FRANCONIA RD & WESTCHESTER ST,38.78592,-77.12307,,,,
73,FRWE2,FRANCONIA @ WESTCHESTER, Unit @WESTCH & WESTCHESTER ST,38.785906,-77.123563,,,,
75,CRHM3,CROWN ROYAL @ HIGH MEADOW,CROWN ROYAL DR & HIGH MEADOW RD,38.788367,-77.13864,,,,
76,FRBE2,FRANCONIA @ TILBURY, Unit @BEU & TILBURY RD,38.782249,-77.146479,,,,
77,DEWA2,DEEPFORD @ WAYLES,DEEPFORD ST & WAYLES ST,38.78359,-77.1665,,,,
147,HAKV1,HAYFIELD @ KINGSTOWNE VILLAGE PW,HAYFIELD RD & KINGSTOWNE VILLAGE PK,38.75687,-77.14602,,,,
150,HAKV2,HAYFIELD @ KINGSTOWNE VILLAGE PW,HAYFIELD RD & KINGSTOWNE VILLAGE PW,38.756699,-77.146284,,,,
264,CLIBNB,CHANTILLY LIBRARY,STRINGFELLOW RD & BLUEBERRY LA,38.883054,-77.406756,,,,
