stop_id,stop_name,stop_lat,stop_lon
0003,SAINT PAULS & CHARLOTTE,  36.851549, -76.285418
0006,SAINT PAULS & PLUME,  36.846452, -76.285932
0008,WATERSIDE & COMMERCIAL,  36.844625, -76.289578
0010,MONTICELLO & BRAMBLETON (SCOPE),  36.853284, -76.287934
0011,MONTICELLO & STARKE,  36.854782, -76.287094
0012,MONTICELLO & VIRGINIA BEACH,  36.858526, -76.287067
0013,MONTICELLO & PRINCESS ANNE,  36.860473, -76.286716
0014,MONTICELLO & 15TH,  36.862306, -76.286022
0015,MONTICELLO & 18TH,  36.865171, -76.284842
0016,MONTICELLO & 21ST,  36.866894, -76.284125
0017,26TH & ARMISTEAD,  36.870374, -76.281466
0018,MONTICELLO & 29TH,  36.872881, -76.281420
0020,GRANBY & 33RD,  36.877070, -76.281772
0021,GRANBY & 35TH,  36.878464, -76.281981
0022,GRANBY & 38TH,  36.880177, -76.281963
0023,GRANBY & DELAWARE,  36.882987, -76.281592
0024,GRANBY & 42ND,  36.884970, -76.281295
0027,GRANBY & ARDEN,  36.892716, -76.278712
0028,GRANBY & SEVERN,  36.894786, -76.279072
0030,GRANBY & KINGSLEY,  36.897683, -76.279585
0031,GRANBY & CONWAY,  36.899852, -76.278913
0032,GRANBY & SIR OLIVER,  36.902392, -76.277819
0033,GRANBY & SEEKEL,  36.905833, -76.276329
0034,GRANBY & FORSYTHE,  36.907084, -76.275793
0036,GRANBY & GRANBY PARK,  36.910177, -76.274467
0037,GRANBY & SUBURBAN,  36.912267, -76.273557
0038,GRANBY & LITTLE CREEK,  36.914211, -76.272741
0039,WARDS CORNER TRANSFER,  36.917739, -76.272298
0042,GRANBY & BAYVIEW,  36.934614, -76.264119
0043,GRANBY & WESTMONT,  36.937827, -76.262320
0044,GRANBY & CHESTER,  36.939627, -76.261315
0045,GRANBY & BAY,  36.941428, -76.260372
0046,GRANBY & RANDALL,  36.943412, -76.259704
0047,GRANBY & GILPIN,  36.944748, -76.259306
0048,GRANBY & BATTERSEA,  36.948112, -76.256337
0050,GRANBY & DUPRE,  36.949468, -76.254811
0051,GRANBY & GOVERNMENT,  36.949960, -76.254256
0052,GRANBY & SEAVIEW,  36.951412, -76.252635
0053,DUFFYS & GRANBY,  36.953607, -76.251765
0054,OCEAN VIEW & HAMMETT,  36.951094, -76.247920
0055,OCEAN VIEW & NORFOLK,  36.949835, -76.245845
0056,OCEAN VIEW & CHESAPEAKE ST,  36.947332, -76.240696
0058,OCEAN VIEW & ATLANS,  36.946000, -76.238834
0059,OCEAN VIEW & WARWICK,  36.944830, -76.236879
0060,OCEAN VIEW & BEACH VIEW,  36.944108, -76.235676
0062,OCEAN VIEW & STURGIS,  36.942041, -76.231897
0064,OCEAN VIEW & BEAUMONT,  36.940393, -76.228606
0065,OCEAN VIEW & GROVE,  36.939201, -76.225376
0067,OCEAN VIEW & INLET,  36.937464, -76.220250
0068,OCEAN VIEW & 1ST BAY,  36.936460, -76.217217
0069,OCEAN VIEW & 2ND BAY,  36.935461, -76.214595
0070,OCEAN VIEW & 4TH BAY,  36.934843, -76.212337
0071,OCEAN VIEW & 7TH BAY,  36.933892, -76.208629
0072,OCEAN VIEW & 10TH BAY,  36.933113, -76.205600
0074,OCEAN VIEW & 14TH BAY,  36.931927, -76.201005
0075,OCEAN VIEW & 16TH BAY,  36.931388, -76.198729
0077,OCEAN VIEW & 19TH BAY,  36.930727, -76.194977
0079,SHORE & PLEASANT,  36.928998, -76.191608
0080,SHORE & DUNNING,  36.921090, -76.192663
0081,JOINT EXP BASE LITTLE CREEK,  36.918122, -76.191178
0082,SHORE & FLOWERFIELD,  36.914880, -76.191230
0083,SHORE & HEUTTE,  36.912544, -76.189919
0084,SHORE & DIAMOND SPRINGS,  36.905519, -76.177235
0086,SHORE & LAKE SMITH,  36.906618, -76.172686
0087,SHORE & KIMBALL,  36.907103, -76.169554
0088,SHORE & LAKE SHORES,  36.906801, -76.161363
0089,SHORE & JACK FROST,  36.906886, -76.155726
0090,SHORE & GELA,  36.906302, -76.150714
0092,SHORE & WELLINGS,  36.905568, -76.145225
0093,SHORE & PLEASURE HOUSE (near),  36.904538, -76.137683
0094,PLEASURE HOUSE & VICTORY,  36.901785, -76.136599
0095,PLEASURE HOUSE & FIRST COURT,  36.897829, -76.138231
0096,PLEASURE HOUSE & INDEPENDENCE,  36.894425, -76.141963
0097,INDEPENDENCE & EWELL,  36.884175, -76.134740
0098,INDEPENDENCE & PAUL REVERE,  36.879789, -76.133334
0099,INDEPENDENCE & HAYGOOD,  36.874325, -76.134715
0101,INDEPENDENCE & WITCHDUCK,  36.867917, -76.133031
0102,INDEPENDENCE & PEMBROKE (near side),  36.863657, -76.132309
0103,INDEPENDENCE & JERICHO,  36.855420, -76.135008
0104,INDEPENDENCE & HINSDALE (far side),  36.851439, -76.136786
0105,INDEPENDENCE & JEANNE,  36.847922, -76.136920
0106,CORPORATION & CONSTITUTION,  36.847022, -76.129759
0107,SHORE & WINDWARD,  36.903957, -76.131464
0108,NIMMO & UPTON,  36.761450, -76.006788
0109,ELSON GREEN & UPTON,  36.756522, -76.008031
0110,INDEPENDENCE & BROAD,  36.845897, -76.136516
0111,INDEPENDENCE & JEANNE,  36.848502, -76.136456
0112,INDEPENDENCE & CONSTITUTION,  36.855842, -76.134337
0113,INDEPENDENCE & HESSIAN,  36.858140, -76.133317
0114,INDEPENDENCE & PEMBROKE (mdblk),  36.863763, -76.131852
0115,INDEPENDENCE & WITCHDUCK (mdblk),  36.867784, -76.132700
0116,INDEPENDENCE & WISHART,  36.875222, -76.134300
0117,INDEPENDENCE & WAKEFIELD,  36.880604, -76.132937
0118,INDEPENDENCE & FIVE FORKS,  36.888059, -76.136686
0120,INDEPENDENCE & SMOKEY,  36.892718, -76.139921
0121,PLEASURE HOUSE & ANDREW JACKSON,  36.894915, -76.141174
0122,SHORE & GELA,  36.906458, -76.150441
0123,SHORE & JACK FROST,  36.907174, -76.155949
0124,SHORE & LAKE SHORES,  36.907077, -76.162429
0125,SHORE & KIMBALL,  36.907361, -76.170241
0126,SHORE & LAKE SMITH,  36.906904, -76.172561
0127,SHORE & DIAMOND SPRINGS,  36.905767, -76.178925
0128,SHORE & FLOWERFIELD,  36.915169, -76.191105
0129,SHORE & DUNNING,  36.920870, -76.192389
0132,OCEAN VIEW & 18TH BAY,  36.931061, -76.196192
0133,OCEAN VIEW & 16TH BAY,  36.931477, -76.198664
0135,OCEAN VIEW & 12TH BAY,  36.932569, -76.203077
0136,OCEAN VIEW & 10TH BAY,  36.933158, -76.205345
0137,OCEAN VIEW & 9TH BAY,  36.933568, -76.206962
0138,OCEAN VIEW & 6TH BAY,  36.934439, -76.210354
0139,OCEAN VIEW & 1ST BAY (mdblk),  36.936544, -76.217136
0140,OCEAN VIEW & CAPEVIEW,  36.937822, -76.220979
0141,OCEAN VIEW & GROVE,  36.939381, -76.225573
0143,OCEAN VIEW & WILLOW,  36.941484, -76.230514
0145,OCEAN VIEW & BEACH VIEW 1,  36.943167, -76.233852
0147,OCEAN VIEW & ATLANS,  36.946248, -76.238969
0148,OCEAN VIEW & CHESAPEAKE BLVD,  36.949210, -76.243221
0149,OCEAN VIEW & NORFOLK,  36.950132, -76.246141
0151,FIRST VIEW & DUPRE,  36.951452, -76.258186
0153,FIRST VIEW & MAPLE,  36.949578, -76.260186
0156,FIRST VIEW & GOVERNMENT,  36.952024, -76.257625
0157,FIRST VIEW & D VIEW,  36.952857, -76.256789
0159,GRANBY & SEAVIEW,  36.951713, -76.252814
0160,GRANBY & GOVERNMENT,  36.950183, -76.254526
0161,GRANBY & CHERRY,  36.949120, -76.255732
0162,GRANBY & LEICESTER,  36.943015, -76.260167
0163,GRANBY & OCEAN,  36.942518, -76.260333
0164,GRANBY & CHESTER,  36.939572, -76.261724
0165,GRANBY & WESTMONT,  36.937639, -76.262808
0166,GRANBY & EVANS,  36.934890, -76.264350
0167,GRANBY & I-64 EAST,  36.925114, -76.269036
0168,GRANBY & CEMETARY,  36.922194, -76.269823
0169,GRANBY & LITTLE CREEK,  36.915562, -76.272732
0170,GRANBY & NORTH SHORE,  36.912690, -76.273695
0171,GRANBY & WARREN,  36.908971, -76.275300
0173,GRANBY & THOLE,  36.906368, -76.276426
0174,GRANBY & BRACKENRIDGE,  36.904766, -76.277117
0175,GRANBY & OAK GROVE,  36.903011, -76.277880
0176,GRANBY & TALBOT HALL,  36.901512, -76.278532
0177,GRANBY & WHITING,  36.900586, -76.278929
0178,GRANBY & KINGSLEY,  36.897906, -76.279887
0179,GRANBY & BELVEDERE,  36.895324, -76.279483
0180,GRANBY & ARDEN,  36.892887, -76.279052
0181,GRANBY & WILLOW WOOD,  36.890626, -76.279180
0182,GRANBY & 42ND,  36.885567, -76.281455
0183,GRANBY & 37TH,  36.880070, -76.282239
0184,GRANBY & 35TH,  36.878639, -76.282239
0185,GRANBY & 33RD,  36.876840, -76.281953
0186,GRANBY & MONTICELLO,  36.873794, -76.281311
0187,MONTICELLO & 29TH,  36.872853, -76.281492
0188,MONTICELLO & 25TH,  36.870229, -76.282790
0189,MONTICELLO & 19TH,  36.866128, -76.284582
0190,MONTICELLO & 18TH,  36.864740, -76.285159
0191,MONTICELLO & 15TH,  36.862431, -76.286122
0192,MONTICELLO & PRINCESS ANNE,  36.860250, -76.286986
0194,MONTICELLO & VIRGINIA BEACH,  36.857609, -76.286862
0195,MONTICELLO & STARKE,  36.855119, -76.287057
0197,WOODLAKE & OLD GREENBRIAR,  36.790502, -76.235280
0198,OLD GREENBRIAR & JUNIPER,  36.794453, -76.234589
0199,OLD GREENBRIAR & JUNIPER,  36.794141, -76.234475
0203,OLNEY & COLONIAL,  36.858805, -76.296391
0204,OLNEY & STOCKLEY GARDENS,  36.859818, -76.298497
0205,OLNEY & NORFOLK GENERAL,  36.861623, -76.302489
0208,HAMPTON & GRAYDON,  36.865750, -76.301135
0209,HAMPTON & PRINCESS ANNE,  36.866635, -76.300449
0211,HAMPTON & SPOTSWOOD,  36.869029, -76.300657
0212,HAMPTON & GATES,  36.870389, -76.300980
0213,HAMPTON & 25TH,  36.875442, -76.301819
0214,HAMPTON & 27TH,  36.877077, -76.301918
0216,HAMPTON & 37TH,  36.878857, -76.302017
0217,HAMPTON & 39TH,  36.880911, -76.302125
0219,HAMPTON & 45TH,  36.884354, -76.302323
0220,HAMPTON & 46TH,  36.885859, -76.302416
0221,HAMPTON & 48TH,  36.887229, -76.302516
0222,HAMPTON & BOLLING,  36.891152, -76.303799
0223,HAMPTON & ROCKBRIDGE,  36.894316, -76.303149
0224,HAMPTON & MAGNOLIA,  36.895436, -76.302762
0225,HAMPTON & SURRY,  36.896809, -76.302703
0226,HAMPTON & BEDFORD,  36.899700, -76.303034
0227,HAMPTON & ESCADRILLE,  36.901952, -76.303742
0228,HAMPTON & HELENA,  36.910131, -76.305609
0229,HAMPTON & LITTLE CREEK,  36.915504, -76.307766
0230,HAMPTON & DANIEL,  36.916510, -76.308808
0231,HAMPTON & STAFF COLLEGE,  36.919918, -76.312443
0233,HAMPTON & BAKER,  36.923410, -76.316007
0234,HAMPTON & FORREST,  36.928032, -76.317516
0235,HAMPTON & BEECHWOOD,  36.929474, -76.317649
