service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
4666_muwtf_RRoff,20140302,20140531,0,0,0,0,0,0,0
4653_w_RFon,20140302,20140531,0,0,1,0,0,0,0
4649_muwtf_RTon,20140302,20140531,1,1,1,1,1,0,0
4678_muwtf_RAoff,20140302,20140531,0,0,0,0,0,0,0
4486_w_RCon,20140116,20140301,0,0,1,0,0,0,0
4667_w_RUon,20140302,20140531,0,0,1,0,0,0,0
4532_w_RGon,20140116,20140301,0,0,1,0,0,0,0
4503_mutf_RUon,20140116,20140301,1,1,0,1,1,0,0
4552_muwtf_RPon,20140116,20140301,1,1,1,1,1,0,0
4480_muwtf_RSon,20140116,20140301,1,1,1,1,1,0,0
4550_w_RTon,20140116,20140301,0,0,1,0,0,0,0
4696_mutf_RVon,20140302,20140531,1,1,0,1,1,0,0
4516_muwtf_RGoff,20140116,20140301,0,0,0,0,0,0,0
4702_muwtf_RLon,20140302,20140531,1,1,1,1,1,0,0
4548_w_RVon,20140116,20140301,0,0,1,0,0,0,0
4694_muwtf_RJon,20140302,20140531,1,1,1,1,1,0,0
4515_u,20140116,20140301,0,1,0,0,0,0,0
4518_muwtf_RUoff,20140116,20140301,0,0,0,0,0,0,0
4655_mutf_RFon,20140302,20140531,1,1,0,1,1,0,0
4661_muwtf_RQon,20140302,20140531,1,1,1,1,1,0,0
4523_muwtf_RIon,20140116,20140301,1,1,1,1,1,0,0
4703_muwtf_RRon,20140302,20140531,1,1,1,1,1,0,0
4693_muwtf_RCoff,20140302,20140531,0,0,0,0,0,0,0
4671_muwtf_RKon,20140302,20140531,1,1,1,1,1,0,0
4633_muwtf_RGoff,20140302,20140531,0,0,0,0,0,0,0
4690_uwtf_RQon,20140302,20140531,0,1,1,1,1,0,0
4664_muwtf,20140302,20140531,1,1,1,1,1,0,0
4681_w_RCon,20140302,20140531,0,0,1,0,0,0,0
4675_a,20140302,20140531,0,0,0,0,0,1,0
4497_s_AZoff,20140116,20140301,0,0,0,0,0,0,0
4509_mwtf,20140116,20140301,1,0,1,1,1,0,0
4691_mut_RCon,20140302,20140531,1,1,0,1,0,0,0
4512_muwtf_RPoff,20140116,20140301,0,0,0,0,0,0,0
4527_muwtf_PHoff,20140116,20140301,0,0,0,0,0,0,0
4481_muwtf_RJon,20140116,20140301,1,1,1,1,1,0,0
4551_muwt,20140116,20140301,1,1,1,1,0,0,0
4540_uwtf_RQon,20140116,20140301,0,1,1,1,1,0,0
4484_muwtf_RAoff,20140116,20140301,0,0,0,0,0,0,0
4631_muwtf_RFoff,20140302,20140531,0,0,0,0,0,0,0
4495_muwtf_RSoff,20140116,20140301,0,0,0,0,0,0,0
4507_muwtf_RKon,20140116,20140301,1,1,1,1,1,0,0
4688_utf_RDon,20140302,20140531,0,1,0,1,1,0,0
4531_w_RFon,20140116,20140301,0,0,1,0,0,0,0
4482_muwtf_RJoff,20140116,20140301,0,0,0,0,0,0,0
4554_mwf_ROon,20140116,20140301,1,0,1,0,1,0,0
4658_w_RIon,20140302,20140531,0,0,1,0,0,0,0
4535_mwf_REon,20140116,20140301,1,0,1,0,1,0,0
4533_mutf_RGon,20140116,20140301,1,1,0,1,1,0,0
4635_muwtf_RKoff,20140302,20140531,0,0,0,0,0,0,0
4632_mwtf,20140302,20140531,1,0,1,1,1,0,0
4660_muwtf_RSoff,20140302,20140531,0,0,0,0,0,0,0
4529_muwtf_RAon,20140116,20140301,1,1,1,1,1,0,0
4651_w_RRon,20140302,20140531,0,0,1,0,0,0,0
4489_utf_RDon,20140116,20140301,0,1,0,1,1,0,0
4490_muwtf_REoff,20140116,20140301,0,0,0,0,0,0,0
4705_muwtf_RPon,20140302,20140531,1,1,1,1,1,0,0
4487_muwtf_PHon,20140116,20140301,1,1,1,1,1,0,0
4650_muwtf_PHoff,20140302,20140531,0,0,0,0,0,0,0
4634_mutf_RNon,20140302,20140531,1,1,0,1,1,0,0
4534_muwtf_RRon,20140116,20140301,1,1,1,1,1,0,0
4684_muwtf_PHon,20140302,20140531,1,1,1,1,1,0,0
4549_s_AZon,20140116,20140301,0,0,0,0,0,0,1
4511_muwtf_UMoff,20140116,20140301,0,0,0,0,0,0,0
4502_w_RUon,20140116,20140301,0,0,1,0,0,0,0
4493_muwtf,20140116,20140301,1,1,1,1,1,0,0
4520_muwtf_RTon,20140116,20140301,1,1,1,1,1,0,0
4505_muwtf_RRoff,20140116,20140301,0,0,0,0,0,0,0
4647_mutf_RAon,20140302,20140531,1,1,0,1,1,0,0
4648_w_RNon,20140302,20140531,0,0,1,0,0,0,0
4686_mutf_RGon,20140302,20140531,1,1,0,1,1,0,0
4673_mw_RDon,20140302,20140531,1,0,1,0,0,0,0
4521_w_RAon,20140116,20140301,0,0,1,0,0,0,0
4700_mwf_REon,20140302,20140531,1,0,1,0,1,0,0
4528_mutf_RFon,20140116,20140301,1,1,0,1,1,0,0
4526_w_RRon,20140116,20140301,0,0,1,0,0,0,0
4545_ut_REon,20140116,20140301,0,1,0,1,0,0,0
4510_muwtf_RQoff,20140116,20140301,0,0,0,0,0,0,0
4539_muwtf_RIoff,20140116,20140301,0,0,0,0,0,0,0
4685_muwtf_RNoff,20140302,20140531,0,0,0,0,0,0,0
4654_muwtf_RAon,20140302,20140531,1,1,1,1,1,0,0
4488_a,20140116,20140301,0,0,0,0,0,1,0
4636_ut_ROon,20140302,20140531,0,1,0,1,0,0,0
4499_mutf_RAoff,20140116,20140301,0,0,0,0,0,0,0
4652_mutf_RRon,20140302,20140531,1,1,0,1,1,0,0
4659_w_RGon,20140302,20140531,0,0,1,0,0,0,0
4541_mutf_RTon,20140116,20140301,1,1,0,1,1,0,0
4530_w_RIon,20140116,20140301,0,0,1,0,0,0,0
4692_ut_REon,20140302,20140531,0,1,0,1,0,0,0
4674_muwtf_RUon,20140302,20140531,1,1,1,1,1,0,0
4699_mutf_RTon,20140302,20140531,1,1,0,1,1,0,0
4483_f,20140116,20140301,0,0,0,0,1,0,0
4657_m_RQon,20140302,20140531,1,0,0,0,0,0,0
4646_muwtf_RIon,20140302,20140531,1,1,1,1,1,0,0
4498_smuwtfa,20140116,20140301,0,0,0,0,0,0,0
4506_f_RCon,20140116,20140301,0,0,0,0,1,0,0
4677_f,20140302,20140531,0,0,0,0,1,0,0
4517_muwtf_RVon,20140116,20140301,1,1,1,1,1,0,0
4500_muwtf_RGon,20140116,20140301,1,1,1,1,1,0,0
4501_muwtf_RLoff,20140116,20140301,0,0,0,0,0,0,0
4492_m_RQon,20140116,20140301,1,0,0,0,0,0,0
4508_muwtf_RFoff,20140116,20140301,0,0,0,0,0,0,0
4537_muwtf_UMon,20140116,20140301,1,1,1,1,1,0,0
4676_muwtf_RSon,20140302,20140531,1,1,1,1,1,0,0
4642_muwtf_RUoff,20140302,20140531,0,0,0,0,0,0,0
4494_muwtf_RQon,20140116,20140301,1,1,1,1,1,0,0
4695_w_RVon,20140302,20140531,0,0,1,0,0,0,0
4485_muwtf_ROoff,20140116,20140301,0,0,0,0,0,0,0
4525_mutf_RRon,20140116,20140301,1,1,0,1,1,0,0
4643_muwtf_RToff,20140302,20140531,0,0,0,0,0,0,0
4697_w_RTon,20140302,20140531,0,0,1,0,0,0,0
4638_muwtf_RQoff,20140302,20140531,0,0,0,0,0,0,0
4519_muwtf_RToff,20140116,20140301,0,0,0,0,0,0,0
4538_mutf_RIon,20140116,20140301,1,1,0,1,1,0,0
4644_u,20140302,20140531,0,1,0,0,0,0,0
4701_mwf_ROon,20140302,20140531,1,0,1,0,1,0,0
4513_ut_ROon,20140116,20140301,0,1,0,1,0,0,0
4683_muwtf_RDoff,20140302,20140531,0,0,0,0,0,0,0
4637_w_RAon,20140302,20140531,0,0,1,0,0,0,0
4687_muwtf_UMon,20140302,20140531,1,1,1,1,1,0,0
4504_muwtf_RVoff,20140116,20140301,0,0,0,0,0,0,0
4682_muwtf_ROoff,20140302,20140531,0,0,0,0,0,0,0
