block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_8-001_4704,8,1,WAIKIKI BEACH & HOTELS,80023,4704_s,6022516.803.1003883
b_434-001_4704,90,0,VILLAGE PARK,4340022,4704_s,6032663.4341.1009763
b_44-001_4665,30,1,WAIPAHU - Leoku Street,440006,4665_smuwtfa,6034470.4405.1010805
a_1-006_4498,1,0,KALIHI TRANSIT CENTER,10208,4498_smuwtfa,5895922.107.990752
b_43-003_4664,29,0,WAIPAHU via H-1 Freeway,430024,4664_muwtf,6016034.4309.1000086
b_40-008_4664,26,1,HONOLULU - Ala Moana Center,400291,4664_muwtf,6028611.4005.1007720
b_3-003_4675,3,0,SALT LAKE,30158,4675_a,6020104.314.1002247
b_8-005_4664,8,1,WAIKIKI BEACH & HOTELS,80023,4664_muwtf,6017849.803.1001477
b_8-002_4664,8,1,WAIKIKI BEACH & HOTELS,80022,4664_muwtf,6017852.803.1001480
b_A-002_4664,22,0,CityExpress! WAIPAHU,A0071,4664_muwtf,6027681.2505.1007026
a_8-005_4493,8,1,WAIKIKI BEACH & HOTELS,80023,4493_muwtf,5927401.803.997517
b_2-037_4675,2,0,SCHOOL STREET - Middle Street,20120,4675_a,6020535.207.1002607
b_54-004_4664,33,1,ALAPAI TRANSIT CENTER via Red Hill,540059,4664_muwtf,6017982.5404.1001566
a_403-001_4493,82,0,LUALUALEI HOMESTEADS,4020006,4493_muwtf,5898818.4022.992475
b_A-004_4704,22,0,CityExpress! WAIPAHU,A0071,4704_s,6032754.2505.1009850
a_42-008_4536,28,1,WAIKIKI BEACH & HOTELS,420143,4536_s,5903434.4209.994527
b_13-010_4665,127,0,LILIHA - Puunui Avenue,130120,4665_smuwtfa,6026299.1306.1006458
b_1-014_4664,1,1,KAHALA MALL,10203,4664_muwtf,6094742.105.1012916
b_8-007_4664,8,0,ALA MOANA CENTER,80021,4664_muwtf,6017773.801.1001401
a_43-004_4493,29,0,WAIPAHU via H-1 Freeway,430024,4493_muwtf,5887436.4309.986530
a_10-001_4498,10,1,ALEWA HEIGHTS,100002,4498_smuwtfa,5895350.1001.990333
a_2-042_4498,2,1,WAIKIKI - KCC,20124,4498_smuwtfa,5896790.213.991429
