route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
4679,1,982385,1 FT McHENRY,0,189019,59139
4679,1,982386,1 FT McHENRY,0,189020,59136
4679,1,982387,1 FT McHENRY,0,189021,59136
4679,1,982388,1 FT McHENRY,0,189022,59136
4679,1,982389,1 FT McHENRY,0,189023,59136
4679,1,982390,1 FT McHENRY,0,189019,59135
4679,1,982391,1 FT McHENRY,0,189020,59136
4679,1,982392,1 McHENRY VIA NEWTOWN,0,189024,59140
4679,1,982393,1 FT McHENRY,0,189022,59136
4679,1,982394,1 FT McHENRY,0,189021,59135
4679,1,982395,1 FT McHENRY,0,189025,59135
4679,1,982396,1 FT McHENRY,0,189019,59136
4679,1,982397,1 FT McHENRY,0,189023,59135
4679,1,982398,1 FT McHENRY,0,189026,59136
4679,1,982399,1 McHENRY VIA NEWTOWN,0,189020,59140
4679,1,982422,1 FT McHENRY,0,189021,59135
4679,1,982423,1 FT McHENRY,0,189019,59135
4679,1,982424,1 FT McHENRY,0,189026,59135
4679,1,982425,1 FT McHENRY,0,189020,59135
4679,1,982426,1 FT McHENRY,0,189021,59135
4679,1,982427,1 FT McHENRY,0,189019,59135
4679,1,982428,1 FT McHENRY,0,189026,59135
4679,1,982400,1 FT McHENRY,0,189027,59139
4679,1,982421,1 McHENRY VIA NEWTOWN,0,189020,59140
4679,1,982401,1 FT McHENRY,0,189021,59135
4679,1,982402,1 FT McHENRY,0,189028,59139
4679,1,982403,1 McHENRY VIA NEWTOWN,0,189019,59140
4679,1,1071580,1 CHARLES ST,0,200514,59141
4679,1,982404,1 FT McHENRY,0,189026,59135
4679,1,982405,1 FT McHENRY,0,189029,59135
4679,1,982406,1 FT McHENRY,0,189020,59135
4679,1,982407,1 FT McHENRY,0,189028,59135
4679,1,982408,1 FT McHENRY,0,189026,59136
4679,1,982409,1 FT McHENRY,0,189030,59135
4679,1,982410,1 FT McHENRY,0,189031,59136
4679,1,982411,1 FT McHENRY,0,189032,59135
4679,1,982412,1 FT McHENRY,0,189033,59136
4679,1,982413,1 FT McHENRY,0,189030,59135
4679,1,982414,1 FT McHENRY,0,189031,59136
4679,1,982415,1 FT McHENRY,0,189032,59135
4679,1,982416,1 FT McHENRY,0,189030,59135
4679,1,982417,1 FT McHENRY,0,189032,59135
4679,1,982418,1 FT McHENRY,0,189030,59135
4679,1,982419,1 FT McHENRY,0,189032,59135
4679,1,982420,1 PACA STREET,0,189030,59138
4679,1,982430,1 SINAI HOSPITAL,1,189019,59143
4679,1,982431,1 MONDAWMIN,1,189020,59142
4679,1,982433,1 SINAI HOSPITAL,1,189024,59149
4679,1,982432,1 SINAI HOSPITAL,1,189021,59143
4679,1,982434,1 MONDAWMIN,1,189022,59142
4679,1,982436,1 SINAI HOSPITAL,1,189025,59149
4679,1,982435,1 SINAI HOSPITAL,1,189023,59143
4679,1,982437,1 MONDAWMIN,1,189019,59142
4679,1,1071579,1 CALHOUN & EDMONDSON,1,200513,59150
4679,1,982438,1 SINAI VIA NEWTOWN,1,189020,59144
4679,1,982439,1 MONDAWMIN,1,189024,59142
4679,1,982440,1 CAREY STREET,1,189022,59147
4679,1,982441,1 SINAI HOSPITAL,1,189021,59143
4679,1,982466,1 SINAI HOSPITAL,1,189019,59143
4679,1,982467,1 SINAI HOSPITAL,1,189026,59143
4679,1,982468,1 SINAI HOSPITAL,1,189020,59143
4679,1,982469,1 SINAI HOSPITAL,1,189021,59143
4679,1,982470,1 SINAI HOSPITAL,1,189019,59143
4679,1,982471,1 SINAI HOSPITAL,1,189026,59143
4679,1,982472,1 SINAI HOSPITAL,1,189020,59143
4679,1,982473,1 SINAI VIA NEWTOWN,1,189021,59144
4679,1,982474,1 SINAI HOSPITAL,1,189019,59143
4679,1,982475,1 SINAI HOSPITAL,1,189026,59143
4679,1,982442,1 MONDAWMIN,1,189027,59142
4679,1,982444,1 SINAI HOSPITAL,1,189029,59149
4679,1,982443,1 SINAI VIA NEWTOWN,1,189020,59144
4679,1,982445,1 MONDAWMIN,1,189021,59142
4679,1,982446,1 SINAI HOSPITAL,1,189028,59143
4679,1,982477,1 CAREY STREET,1,189031,59151
4679,1,982447,1 MONDAWMIN,1,189019,59142
4679,1,982448,1 MONDAWMIN,1,189026,59142
4679,1,982449,1 SINAI VIA NEWTOWN,1,189030,59144
4679,1,982450,1 MONDAWMIN,1,189029,59142
4679,1,982451,1 MONDAWMIN,1,189031,59142
4679,1,982452,1 SINAI HOSPITAL,1,189032,59143
4679,1,982464,1 MONDAWMIN,1,189028,59142
4679,1,982453,1 CAREY STREET,1,189026,59147
4679,1,982454,1 SINAI HOSPITAL,1,189030,59143
4679,1,982455,1 MONDAWMIN,1,189031,59142
4679,1,982456,1 SINAI HOSPITAL,1,189032,59143
4679,1,982457,1 MONDAWMIN,1,189033,59142
4679,1,982458,1 SINAI HOSPITAL,1,189030,59143
4679,1,982465,1 MONDAWMIN,1,189031,59142
4679,1,982459,1 SINAI HOSPITAL,1,189032,59143
4679,1,982460,1 SINAI HOSPITAL,1,189030,59143
4679,1,982461,1 SINAI HOSPITAL,1,189032,59143
4679,1,982462,1 MONDAWMIN,1,189030,59142
4679,1,982463,1 MONDAWMIN,1,189032,59142
4680,1,982627,3 INNER HARBOR,0,189072,59153
4680,1,982626,3 INNER HARBOR,0,189075,59153
4680,1,982625,3 INNER HARBOR,0,189059,59153
4680,1,982624,3 INNER HARBOR,0,189074,59153
4680,1,982623,3 INNER HARBOR,0,189061,59154
4680,1,982622,3 INNER HARBOR,0,189062,59153
4680,1,982621,3 INNER HARBOR,0,189045,59154
4680,1,982620,3 INNER HARBOR,0,189073,59152
4680,1,982619,3 INNER HARBOR,0,189072,59154
4680,1,982618,3 INNER HARBOR,0,189067,59153
4680,1,982617,3 INNER HARBOR,0,191724,59152
4680,1,982616,3 INNER HARBOR,0,189071,59153
4680,1,982611,3 INNER HARBOR,0,189066,59153
4680,1,982610,3 INNER HARBOR,0,189065,59152
4680,1,982608,3 INNER HARBOR,0,189063,59153
4680,1,982607,3 INNER HARBOR,0,189059,59152
4680,1,982606,3 INNER HARBOR,0,189062,59154
4680,1,982602,3 INNER HARBOR,0,189061,59152
4680,1,982604,3 INNER HARBOR,0,189054,59154
4680,1,982603,3 INNER HARBOR,0,191724,59153
4680,1,982601,3 INNER HARBOR,0,189045,59152
4680,1,982595,3 INNER HARBOR,0,189056,59154
4680,1,982612,3 NORTH AVE,0,189067,59158
4680,1,982597,3 INNER HARBOR,0,189058,59153
4680,1,982592,3 INNER HARBOR,0,189053,59152
4680,1,982598,3 INNER HARBOR,0,189059,59153
4680,1,982594,3 INNER HARBOR,0,189055,59154
4680,1,982599,3 INNER HARBOR,0,189060,59152
4680,1,982600,3 INNER HARBOR,0,189057,59153
4680,1,982581,3 INNER HARBOR,0,189045,59154
4680,1,982582,3 INNER HARBOR,0,191724,59152
4680,1,982629,3 INNER HARBOR,0,189059,59153
4680,1,982630,3 INNER HARBOR,0,189053,59154
4680,1,982638,3 INNER HARBOR,0,189058,59152
4680,1,982639,3 INNER HARBOR,0,189057,59153
4680,1,982631,3 INNER HARBOR,0,189054,59154
4680,1,982640,3 INNER HARBOR,0,189060,59152
4680,1,982641,3 INNER HARBOR,0,189059,59153
4680,1,982632,3 INNER HARBOR,0,189056,59154
4680,1,982642,3 INNER HARBOR,0,191724,59152
4680,1,982643,3 INNER HARBOR,0,189076,59153
4680,1,982633,3 INNER HARBOR,0,189055,59154
4680,1,982645,3 INNER HARBOR,0,189047,59153
4680,1,982644,3 INNER HARBOR,0,189057,59154
4680,1,982672,3 INNER HARBOR,0,189085,59155
4680,1,982637,3 INNER HARBOR,0,189058,59152
4680,1,982674,3 25TH STREET,0,189087,59156
4680,1,982648,3 INNER HARBOR,0,189054,59154
4680,1,982650,3 INNER HARBOR,0,189068,59152
4680,1,982651,3 INNER HARBOR,0,189079,59154
4680,1,982673,3 25TH STREET,0,189086,59157
4680,1,982652,3 INNER HARBOR,0,190233,59153
4680,1,982653,3 INNER HARBOR,0,189060,59152
4680,1,982655,3 INNER HARBOR,0,189076,59153
4680,1,982656,3 INNER HARBOR,0,191734,59152
4680,1,982657,3 INNER HARBOR,0,189055,59154
4680,1,982658,3 INNER HARBOR,0,189057,59153
4680,1,982659,3 INNER HARBOR,0,189081,59152
4680,1,982660,3 INNER HARBOR,0,189047,59152
4680,1,982663,3 INNER HARBOR,0,189082,59154
4680,1,982661,3 INNER HARBOR,0,189077,59152
4680,1,982613,3 NORTH AVE,0,189068,59158
4680,1,982664,3 INNER HARBOR,0,189076,59154
4680,1,982666,3 INNER HARBOR,0,189083,59152
4680,1,982667,3 INNER HARBOR,0,189047,59154
4680,1,982668,3 INNER HARBOR,0,189069,59152
4680,1,982670,3 INNER HARBOR,0,189070,59152
4680,1,982671,3 INNER HARBOR,0,189049,59154
4680,1,982614,3 33RD STREET,0,189069,59159
4680,1,982583,3 INNER HARBOR,0,189047,59152
4680,1,982615,3 33RD STREET,0,189070,59159
4680,1,982584,3 INNER HARBOR,0,189048,59152
4680,1,982587,3 INNER HARBOR,0,189051,59154
4680,1,982585,3 INNER HARBOR,0,189049,59152
4680,1,982589,3 INNER HARBOR,0,189050,59154
4680,1,982588,3 INNER HARBOR,0,189051,59154
4680,1,982590,3 INNER HARBOR,0,189052,59153
4680,1,982591,3 INNER HARBOR,0,189052,59153
4680,1,982708,3 SHEPPARD PRATT,1,189073,59160
4680,1,982707,3 CROMWELL BRIDGE,1,189072,59162
4680,1,982706,3 SHEPPARD PRATT,1,189059,59160
4680,1,1003985,3 CROMWELL BRIDGE,1,189056,59162
4680,1,982704,3 SHEPPARD PRATT,1,189061,59160
4680,1,982703,3 CROMWELL BRIDGE,1,189062,59162
4680,1,982702,3 SHEPPARD PRATT,1,189045,59160
4680,1,982701,3 CROMWELL BRIDGE,1,189073,59162
4680,1,982699,3 SHEPPARD PRATT,1,189067,59160
4680,1,982760,3 PIONEER LOOP,1,189094,59163
4680,1,982698,3 GOUCHER & TAYLOR,1,189088,59161
4680,1,982697,3 GOUCHER & TAYLOR,1,191724,59161
4680,1,982696,3 CROMWELL BRIDGE,1,189056,59162
4680,1,982695,3 SHEPPARD PRATT,1,189066,59160
4680,1,982759,3 PLYMOUTH LOOP,1,189093,59164
4680,1,982694,3 GOUCHER & TAYLOR,1,189058,59161
4680,1,982692,3 SHEPPARD PRATT,1,189060,59160
4680,1,982691,3 GOUCHER & TAYLOR,1,189059,59161
4680,1,982689,3 CROMWELL BRIDGE,1,189055,59162
4680,1,982747,3 SHEPPARD PRATT,1,191724,59160
4680,1,982746,3 CROMWELL BRIDGE,1,189045,59162
4680,1,982712,3 GOUCHER & TAYLOR,1,189057,59161
4680,1,982675,3 SHEPPARD PRATT,1,189058,59160
4680,1,982718,3 CROMWELL BRIDGE,1,189053,59162
4680,1,982713,3 GOUCHER & TAYLOR,1,189059,59161
4680,1,982676,3 SHEPPARD PRATT,1,189060,59160
4680,1,982720,3 CROMWELL BRIDGE,1,189054,59162
4680,1,982714,3 GOUCHER & TAYLOR,1,189057,59161
4680,1,982709,3 SHEPPARD PRATT,1,191724,59160
4680,1,982722,3 CROMWELL BRIDGE,1,189056,59162
4680,1,982715,3 GOUCHER & TAYLOR,1,189059,59161
4680,1,982710,3 SHEPPARD PRATT,1,189058,59160
4680,1,982724,3 GOUCHER & TAYLOR,1,189055,59161
4680,1,982716,3 CROMWELL BRIDGE,1,189057,59162
4680,1,982711,3 SHEPPARD PRATT,1,189060,59160
4680,1,982727,3 SHEPPARD PRATT,1,191734,59160
4680,1,982761,3 CROMWELL BRIDGE,1,189079,59165
4680,1,1004080,3 CROMWELL BRIDGE,1,189056,59162
4680,1,982728,3 GOUCHER & TAYLOR,1,190233,59161
4680,1,982730,3 SHEPPARD PRATT,1,189089,59160
4680,1,982731,3 GOUCHER & TAYLOR,1,189076,59161
4680,1,982732,3 CROMWELL BRIDGE,1,189055,59162
4680,1,982733,3 SHEPPARD PRATT,1,189047,59160
4680,1,982734,3 GOUCHER & TAYLOR,1,189057,59161
4680,1,982736,3 SHEPPARD PRATT,1,189077,59160
4680,1,982737,3 GOUCHER & TAYLOR,1,189054,59161
4680,1,982740,3 SHEPPARD PRATT,1,189068,59160
4680,1,982739,3 GOUCHER & TAYLOR,1,189086,59161
4680,1,982741,3 GOUCHER & TAYLOR,1,189091,59161
4680,1,982758,3 GOUCHER & TAYLOR,1,189092,59161
4680,1,982742,3 SHEPPARD PRATT,1,189083,59160
4680,1,982743,3 CROMWELL BRIDGE,1,189076,59162
4680,1,982748,3 GOUCHER & TAYLOR,1,189033,59161
4680,1,982749,3 CROMWELL BRIDGE,1,189055,59162
4680,1,982750,3 GOUCHER & TAYLOR,1,189057,59161
4680,1,982752,3 SHEPPARD PRATT,1,189069,59160
4680,1,982753,3 CROMWELL BRIDGE,1,189047,59162
4680,1,982754,3 GOUCHER & TAYLOR,1,189082,59161
4680,1,982756,3 SHEPPARD PRATT,1,189076,59160
4680,1,982757,3 GOUCHER & TAYLOR,1,189055,59161
4680,1,982677,3 CROMWELL BRIDGE,1,189083,59162
4680,1,982678,3 SHEPPARD PRATT,1,189047,59160
4680,1,982679,3 CROMWELL BRIDGE,1,189069,59162
4680,1,982680,3 SHEPPARD PRATT,1,189084,59160
4680,1,982681,3 CROMWELL BRIDGE,1,189070,59162
4680,1,982682,3 SHEPPARD PRATT,1,189049,59160
4680,1,982684,3 CROMWELL BRIDGE,1,189050,59162
4680,1,982685,3 GOUCHER & TAYLOR,1,189048,59161
4680,1,982686,3 CROMWELL BRIDGE,1,189051,59162
4680,1,982687,3 GOUCHER & TAYLOR,1,189050,59161
4680,1,982688,3 GOUCHER & TAYLOR,1,189052,59161
4681,1,982965,4 CCBC ESSEX CAMPUS,0,197637,59166
4681,1,982966,4 CCBC ESSEX CAMPUS,0,189115,59166
4681,1,982967,4 CCBC ESSEX CAMPUS,0,189116,59166
4681,1,982968,4 CCBC ESSEX CAMPUS,0,189117,59166
4681,1,982984,4 CCBC ESSEX CAMPUS,0,189115,59166
4681,1,982969,4 CCBC ESSEX CAMPUS,0,189118,59166
4681,1,982970,4 CCBC ESSEX CAMPUS,0,189116,59166
4681,1,982971,4 CCBC ESSEX CAMPUS,0,189115,59166
4681,1,982972,4 CCBC ESSEX CAMPUS,0,189118,59166
4681,1,982973,4 CCBC ESSEX CAMPUS,0,189116,59166
4681,1,982974,4 CCBC ESSEX CAMPUS,0,189115,59166
4681,1,982975,4 CCBC ESSEX CAMPUS,0,189118,59166
4681,1,982976,4 CCBC ESSEX CAMPUS,0,189116,59166
4681,1,982977,4 CCBC ESSEX CAMPUS,0,189119,59166
4681,1,982985,4 CCBC ESSEX CAMPUS,0,189121,59166
4681,1,982978,4 CCBC ESSEX CAMPUS,0,189118,59166
4681,1,982979,4 CCBC ESSEX CAMPUS,0,189120,59166
4681,1,982980,4 CCBC ESSEX CAMPUS,0,189121,59166
4681,1,982981,4 CCBC ESSEX CAMPUS,0,197646,59166
4681,1,982982,4 CCBC ESSEX CAMPUS,0,189123,59166
4681,1,982983,4 CCBC ESSEX CAMPUS,0,189124,59166
4681,1,982986,4 TURNER STATION ,1,189116,59168
4681,1,982987,4 TURNER STATION ,1,189117,59168
4681,1,982988,4 TURNER STATION ,1,189115,59168
4681,1,983005,4 TURNER STATION ,1,189118,59168
4681,1,982989,4 TURNER STATION ,1,189116,59168
4681,1,982990,4 TURNER STATION ,1,189115,59168
4681,1,982991,4 TURNER STATION ,1,189118,59168
4681,1,982992,4 TURNER STATION ,1,189116,59168
4681,1,982993,4 TURNER STATION ,1,189115,59168
4681,1,982994,4 TURNER STATION ,1,189118,59168
4681,1,982995,4 TURNER STATION ,1,189116,59168
4681,1,982996,4 TURNER STATION ,1,189115,59168
4681,1,982997,4 TURNER STATION ,1,189118,59168
4681,1,982998,4 TURNER STATION ,1,189116,59168
4681,1,983006,4 TURNER STATION ,1,189119,59168
4681,1,982999,4 TURNER STATION ,1,189121,59168
4681,1,983000,4 TURNER STATION ,1,197646,59168
4681,1,983001,4 TURNER STATION ,1,189123,59168
4681,1,983002,4 TURNER STATION ,1,189124,59168
4681,1,983003,4 TURNER STATION ,1,189125,59168
4681,1,983004,4 TURNER STATION ,1,189124,59168
4682,1,983131,5 CEDONIA LOOP,0,189146,59170
4682,1,983132,5 CEDONIA VIA HOPKINS,0,189170,59171
4682,1,983098,5 CEDONIA LOOP,0,189141,59170
4682,1,983072,5 CEDONIA LOOP,0,189138,59170
4682,1,983073,5 CEDONIA VIA HOPKINS,0,189139,59171
4682,1,983104,5 CEDONIA LOOP,0,189158,59170
4682,1,983105,5 CEDONIA VIA HOPKINS,0,189159,59171
4682,1,983106,5 CEDONIA VIA LAKEVIEW,0,189160,59175
4682,1,983107,5 FEDERAL ST,0,189146,59172
4682,1,983108,5 CEDONIA VIA HOPKINS,0,189150,59171
4682,1,983109,5 FEDERAL ST,0,189148,59172
4682,1,983110,5 CEDONIA VIA HOPKINS,0,189161,59171
4682,1,983111,5 CEDONIA VIA LAKEVIEW,0,189141,59175
4682,1,983112,5 CEDONIA VIA HOPKINS,0,189142,59171
4682,1,983113,5 FEDERAL ST,0,189140,59172
4682,1,983114,5 CEDONIA VIA HOPKINS,0,189144,59171
4682,1,983145,5 CEDONIA VIA LAKEVIEW,0,189145,59175
4682,1,983146,5 CEDONIA VIA HOPKINS,0,189146,59171
4682,1,983147,5 CEDONIA LOOP,0,189147,59170
4682,1,983148,5 CEDONIA VIA HOPKINS,0,189148,59171
4682,1,983149,5 CEDONIA VIA LAKEVIEW,0,189149,59175
4682,1,983150,5 CEDONIA VIA HOPKINS,0,189150,59171
4682,1,983151,5 CEDONIA LOOP,0,189117,59170
4682,1,983074,5 CEDONIA VIA HOPKINS,0,189140,59171
4682,1,983075,5 CEDONIA VIA LAKEVIEW,0,189141,59175
4682,1,983076,5 CEDONIA VIA HOPKINS,0,189142,59171
4682,1,983077,5 CEDONIA LOOP,0,189143,59170
4682,1,983078,5 CEDONIA VIA HOPKINS,0,189144,59171
4682,1,983079,5 CEDONIA VIA LAKEVIEW,0,189145,59175
4682,1,983080,5 CEDONIA VIA HOPKINS,0,189146,59171
4682,1,983081,5 CEDONIA LOOP,0,189147,59170
4682,1,983082,5 CEDONIA VIA HOPKINS,0,189148,59171
4682,1,983083,5 CEDONIA VIA LAKEVIEW,0,189149,59175
4682,1,983084,5 CEDONIA VIA HOPKINS,0,189150,59171
4682,1,983085,5 CEDONIA LOOP,0,189117,59170
4682,1,983086,5 CEDONIA VIA HOPKINS,0,189140,59171
4682,1,983087,5 CEDONIA LOOP,0,189141,59170
4682,1,983088,5 CEDONIA VIA LAKEVIEW,0,189142,59175
4682,1,983089,5 CEDONIA VIA HOPKINS,0,189143,59171
4682,1,983090,5 CEDONIA LOOP,0,189144,59170
4682,1,983091,5 CEDONIA LOOP,0,189145,59170
4682,1,983092,5 CEDONIA VIA LAKEVIEW,0,189151,59175
4682,1,983093,5 CEDONIA VIA HOPKINS,0,189152,59171
4682,1,983094,5 CEDONIA LOOP,0,189153,59170
4682,1,983095,5 CEDONIA LOOP,0,189148,59170
4682,1,983152,5 CHARLES ST,0,189165,59174
4682,1,983096,5 CEDONIA VIA LAKEVIEW,0,189149,59175
4682,1,983097,5 CEDONIA VIA HOPKINS,0,189150,59171
4682,1,983099,5 FEDERAL ST,0,189154,59172
4682,1,983100,5 CEDONIA VIA HOPKINS,0,189155,59171
4682,1,983101,5 FEDERAL ST,0,189156,59172
4682,1,983102,5 CEDONIA VIA LAKEVIEW,0,189157,59175
4682,1,983103,5 CEDONIA VIA HOPKINS,0,189143,59171
4682,1,983133,5 CEDONIA LOOP,0,189144,59170
4682,1,983134,5 CEDONIA VIA HOPKINS,0,189162,59176
4682,1,983135,5 CEDONIA LOOP,0,189156,59170
4682,1,983136,5 CEDONIA VIA HOPKINS,0,189171,59171
4682,1,983137,5 CEDONIA LOOP,0,189172,59170
4682,1,983138,5 CEDONIA VIA HOPKINS,0,189149,59176
4682,1,983139,5 CEDONIA LOOP,0,189165,59170
