stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
6,6,AIRPARK RD & ORBIT DR,,39.171065,-77.157423,,,,
8,8,AIRPARK RD & WOODFIELD RD,,39.169734,-77.155316,,,,
10,10,AIRPARK RD & WOODFIELD RD,,39.168659,-77.153669,,,,
12,12,AIRPARK RD & MUNCASTER MILL RD,,39.14914,-77.146686,,,,
14,14,AIRPARK RD & MUNCASTER MILL RD,,39.14893,-77.146369,,,,
16,16,AIRPARK RD & WOODFIELD RD,,39.169897,-77.155256,,,,
18,18,AIRPARK RD & ORBIT DR,,39.1713,-77.158022,,,,
20,20,AIRPARK RD & CESSNA AVE,,39.170412,-77.15996,,,,
22,22,AMHERST AVE & UNIVERSITY BLVD,,39.040574,-77.048348,,,,
26,26,AMHERST AVE & BLUERIDGE AVE,,39.043216,-77.047826,,,,
28,28,AMHERST AVE & ELKINS ST,,39.044732,-77.047854,,,,
30,30,AMHERST AVE & ARCOLA AVE,,39.046961,-77.048458,,,,
32,32,AMHERST AVE & ARCOLA AVE,,39.046696,-77.048582,,,,
34,34,AMHERST AVE & ELKINS ST,,39.045125,-77.048134,,,,
36,36,AMHERST AVE & BLUERIDGE AVE,,39.043486,-77.047945,,,,
38,38,AMHERST AVE & UNIVERSITY BLVD,,39.04046,-77.048616,,,,
40,40,APPLE RIDGE RD & DARLINGTON DR,,39.184983,-77.209167,,,,
44,44,APPLE RIDGE RD & SHADOW OAK DR,,39.185812,-77.202415,,,,
46,46,APPLE RIDGE RD & MONTGOMERY VILLAGE,,39.187043,-77.199177,,,,
48,48,APPLE RIDGE RD & SHADOW OAK DR,,39.186006,-77.202393,,,,
50,50,APPLE RIDGE RD & DELLCASTLE RD,,39.185156,-77.206775,,,,
52,52,APPLE RIDGE RD & DARLINGTON DR,,39.185138,-77.209182,,,,
54,54,ARCOLA AVE & GALT AVE,,39.047637,-77.055124,,,,
56,56,ARCOLA AVE & GRANDVIEW AVE,,39.047102,-77.053017,,,,
58,58,ARCOLA AVE & NAIRN RD,,39.047176,-77.04284,,,,
60,60,ARCOLA AVE & CHANNING DR,,39.047228,-77.040684,,,,
62,62,ARCOLA AVE & OREBAUGH AVE,,39.046984,-77.037027,,,,
64,64,ARCOLA AVE & KEMP MILL RD,,39.046038,-77.032436,,,,
66,66,ARCOLA AVE & KERSEY RD,,39.043701,-77.030748,,,,
68,68,ARCOLA AVE & LAMBERTON DR,,39.041426,-77.029351,,,,
70,70,ARCOLA AVE & KENBROOK DR,,39.039234,-77.027904,,,,
72,72,ARCOLA AVE & HOYT ST,,39.037571,-77.026774,,,,
74,74,ARCOLA AVE & UNIVERSITY BLVD,,39.036572,-77.025915,,,,
76,76,ARCOLA AVE & HOYT ST,,39.036803,-77.02586,,,,
78,78,ARCOLA AVE & HOYT ST,,39.037798,-77.026747,,,,
80,80,ARCOLA AVE & KENBROOK DR,,39.039053,-77.027603,,,,
82,82,ARCOLA AVE & LAMBERTON DR,,39.040968,-77.028841,,,,
84,84,ARCOLA AVE & KERSEY RD,,39.043538,-77.030466,,,,
86,86,ARCOLA AVE & KEMP MILL RD,,39.04622,-77.032484,,,,
88,88,ARCOLA AVE & OREBAUGH AVE,,39.047102,-77.037073,,,,
90,90,ARCOLA AVE & CHANNING DR,,39.047328,-77.04078,,,,
92,92,ARCOLA AVE & NAIRN RD,,39.047295,-77.042773,,,,
96,96,ARCOLA AVE & GALT AVE,,39.047788,-77.05518,,,,
98,98,ARCOLA AVE & PARKER AVE,,39.048788,-77.056939,,,,
99,99,UNIVERSITY BlVD & ARCOLA  AVE,,39.037103,-77.028271,,,,
100,100,UNIVERSITY BLV & #1135 (ARCOLA TOWE,,39.039044,-77.030486,,,,
102,102,ARDENNES AVE & HALPINE RD,,39.064891,-77.118065,,,,
104,104,ARDENNES AVE & VANDEGRIFT AVE,,39.066557,-77.118341,,,,
106,106,ARDENNES AVE & WAINWRIGHT AVE,,39.069151,-77.118523,,,,
108,108,ARDENNES AVE & LEMAY RD,,39.070557,-77.119516,,,,
110,110,ARDENNES AVE & CRAWFORD DR,,39.071923,-77.119956,,,,
112,112,ARDENNES AVE & ST LO AVE,,39.074673,-77.12026,,,,
114,114,ARDENNES AVE & CORAL SEA AVE,,39.073303,-77.120229,,,,
116,116,ARDENNES AVE & CRAWFORD DR,,39.072356,-77.120089,,,,
118,118,ARDENNES AVE & LEMAY RD,,39.070734,-77.119732,,,,
120,120,ARDENNES AVE & WAINWRIGHT AVE,,39.069465,-77.118685,,,,
122,122,ARDENNES AVE & VANDEGRIFT AVE,,39.066824,-77.118435,,,,
124,124,ARDENNES AVE & HALPINE RD,,39.064858,-77.118163,,,,
126,126,ARLINGTON RD & KENWOOD FOREST LA,,38.975948,-77.099761,,,,
128,128,ARLINGTON RD & BRADLEY BLVD,,38.978371,-77.098646,,,,
132,132,ARLINGTON RD & ELM ST,,38.981871,-77.098353,,,,
134,134,ARLINGTON RD & MONTGOMERY LA,,38.983596,-77.098483,,,,
136,136,ARLINGTON RD & MONTGOMERY LA,,38.983431,-77.098668,,,,
138,138,ARLINGTON RD & ELM ST,,38.982197,-77.098583,,,,
140,140,ARLINGTON RD & BETHESDA AVE,,38.981041,-77.098526,,,,
142,142,ARLINGTON RD & BRADLEY BLVD,,38.978575,-77.098819,,,,
144,144,ARMORY AVE & KNOWLES AVE,,39.026686,-77.075088,,,,
146,146,ARROWHEAD RD & QUILL PL,,39.186389,-77.195201,,,,
148,148,ARROWHEAD RD & MONTGOMERY VILLAGE A,,39.187488,-77.196617,,,,
150,150,ARROWHEAD RD & BRIAR GLEN WAY,,39.186655,-77.195769,,,,
152,152,ASPEN HILL RD & ADRIAN ST,,39.06986,-77.104034,,,,
154,154,ASPEN HILL RD & MARGOT DR,,39.070909,-77.102107,,,,
156,156,ASPEN HILL RD & ARCTIC AVE,,39.071332,-77.098535,,,,
158,158,ASPEN HILL RD & EADES ST,,39.073892,-77.094966,,,,
160,160,ASPEN HILL RD & IRIS PL,,39.075487,-77.093438,,,,
162,162,ASPEN HILL RD & JUSTICE RD,,39.077717,-77.091343,,,,
164,164,ASPEN HILL RD & MARIANNA DR,,39.078986,-77.089672,,,,
166,166,ASPEN HILL RD & PARKLAND DR,,39.079093,-77.087613,,,,
168,168,ASPEN HILL RD & GENOBLE DR,,39.079392,-77.084149,,,,
170,170,ASPEN HILL RD & CONNECTICUT AVE,,39.080004,-77.082381,,,,
172,172,ASPEN HILL RD & CONNECTICUT AVE,,39.080251,-77.081749,,,,
174,174,ASPEN HILL RD & FRANKFORT DR,,39.079733,-77.083593,,,,
176,176,ASPEN HILL RD & PARKLAND DR,,39.07921,-77.087521,,,,
178,178,ASPEN HILL RD & KEMPER ST,,39.078516,-77.09076,,,,
180,180,ASPEN HILL RD & IRIS PL,,39.075581,-77.09362,,,,
182,182,ASPEN HILL RD & EADES ST,,39.073924,-77.095101,,,,
184,184,ASPEN HILL RD & ARCTIC AVE,,39.07145,-77.098603,,,,
186,186,ASPEN HILL RD & BALTIC AVE,,39.071105,-77.101757,,,,
188,188,ASPEN HILL RD & ADRIAN ST,,39.06982,-77.104334,,,,
190,190,AVENEL RD & STATESIDE DR,,39.010231,-76.980218,,,,
192,192,AVENEL RD & HAMPSHIRE WEST CT,,39.007878,-76.980592,,,,
194,194,AZALEA DR & #747,,39.095714,-77.175052,,,,
195,195,CARNATION DR & WOODLEY DR,,39.099945,-77.176827,,,,
196,196,AZALEA DR & #748,,39.095534,-77.175248,,,,
198,198,BALTIMORE RD & GRANDIN AVE,,39.083336,-77.142162,,,,
200,200,BALTIMORE RD & HORNERS LA,,39.08433,-77.139413,,,,
202,202,BALTIMORE RD & TAYLOR AVE,,39.084536,-77.138133,,,,
204,204,BALTIMORE RD & DENHAM RD,,39.0844,-77.134824,,,,
206,206,BALTIMORE RD & WOODBURN RD,,39.084109,-77.133164,,,,
208,208,BALTIMORE RD & EDMONSTON DR,,39.083805,-77.13062,,,,
210,210,BALTIMORE RD & GLADSTONE DR,,39.084073,-77.12789,,,,
212,212,BALTIMORE RD & BROADWOOD DR,,39.083406,-77.120238,,,,
214,214,BALTIMORE RD & COVE LN,,39.084102,-77.119158,,,,
216,216,BALTIMORE RD & COVE LA,,39.084425,-77.118859,,,,
218,218,BALTIMORE RD & BROADWOOD DR,,39.083699,-77.119961,,,,
220,220,BALTIMORE RD & AVERY RD,,39.084324,-77.127448,,,,
222,222,BALTIMORE RD & EDMONSTON DR,,39.083909,-77.130658,,,,
224,224,BALTIMORE RD & WOODBURN RD,,39.084175,-77.133103,,,,
226,226,BALTIMORE RD & FIRST ST,,39.084548,-77.135352,,,,
228,228,BALTIMORE RD & TAYLOR AVE,,39.084657,-77.137624,,,,
230,230,BALTIMORE RD & HORNERS LA,,39.084547,-77.139329,,,,
232,232,BALTIMORE RD & GRANDIN AVE,,39.08367,-77.141743,,,,
234,234,BATTERY LA & OLD GEORGETOWN RD,,38.991002,-77.103036,,,,
236,236,BATTERY LA & KEYSTONE AVE,,38.99188,-77.102469,,,,
238,238,BATTERY LA & #4998,,38.992258,-77.101277,,,,
240,240,BATTERY LA & #4890,,38.992513,-77.098574,,,,
242,242,BATTERY LA & #4890,,38.992651,-77.098516,,,,
244,244,BATTERY LA & #4977,,38.992402,-77.101103,,,,
246,246,BATTERY LA & KEYSTONE AVE,,38.991718,-77.102682,,,,
248,248,BEACH DR & WOODBINE ST,,38.987499,-77.063118,,,,
250,250,BEACH DR & EAST WEST HWY,,38.992347,-77.06352,,,,
252,252,BEACH DR & WOODBINE ST,,38.987419,-77.063226,,,,
254,254,BEDFORDSHIRE AVE & WILDEN LA,,39.041448,-77.204069,,,,
256,256,BEDFORDSHIRE AVE & COLEBROOK AVE,,39.04536,-77.205014,,,,
260,260,BEDFORDSHIRE AVE & BARSTOW CT,,39.045973,-77.204282,,,,
262,262,BEDFORDSHIRE AVE & COLEBROOK AVE,,39.045066,-77.205335,,,,
264,264,BEDFORDSHIRE AVE & WILDEN LA,,39.041418,-77.204183,,,,
266,266,BEECH AVE & EDGELEY RD,,39.010279,-77.114334,,,,
268,268,BEECH AVE & FOREST RD,,39.011102,-77.112603,,,,
270,270,BEECH AVE & PAGE AVE,,39.011894,-77.110724,,,,
272,272,BEECH AVE & LINDEN AVE,,39.012019,-77.108569,,,,
274,274,BEECH AVE & PAGE AVE,,39.011696,-77.111486,,,,
276,276,BEECH AVE & FOREST RD,,39.010925,-77.113296,,,,
278,278,BEECH AVE & OLD GEORGETOWN RD,,39.010288,-77.114569,,,,
280,280,BEL PRE RD & GRAND PRE RD,,39.09363,-77.075818,,,,
282,282,BEL PRE RD & DUNSINANE DR,,39.093011,-77.073146,,,,
284,284,BEL PRE RD & PEARTREE LN,,39.091314,-77.0688,,,,
286,286,BEL PRE RD & WEEPING WILLOW DR,,39.091287,-77.066142,,,,
288,288,BEL PRE RD & LAYHILL RD,,39.090645,-77.045859,,,,
290,290,BEL PRE RD & PLAZA DEL MERCADO,,39.09061,-77.048256,,,,
292,292,BEL PRE RD & NORTH GATE DR,,39.090537,-77.050925,,,,
294,294,BEL PRE RD & RIPPLING BROOK DR,,39.090482,-77.053222,,,,
296,296,BEL PRE RD & HOMECREST RD,,39.091478,-77.063256,,,,
298,298,BEL PRE RD & WEEPING WILLOW DR,,39.091465,-77.065898,,,,
300,300,BETHESDA STATION & BAY A,,38.984761,-77.095447,,,,
306,306,BETHESDA STATION & BAY D,,38.984797,-77.095451,,,,
308,308,BETHESDA STATION & BAY E,,38.984797,-77.095371,,,,
312,312,BLAIR MILL RD & EASTERN AVE,,38.989984,-77.033138,,,,
314,314,BLAIR MILL RD & EASTERN DR,,38.990094,-77.030848,,,,
316,316,BLAIR MILL RD & EAST WEST HWY,,38.989978,-77.029742,,,,
320,320,BLAIR MILL RD & #1401,,38.990151,-77.031358,,,,
322,322,BOILING BROOK PKW & PARKLAWN DR,,39.048124,-77.100788,,,,
324,324,BOILING BROOK PKW & ROCKINGHORSE RD,,39.047237,-77.098383,,,,
326,326,BOILING BROOK PKW & ROCKINGHORSE RD,,39.047569,-77.098026,,,,
328,328,BOILING BROOK PKW & PARKLAWN DR,,39.048224,-77.100112,,,,
330,330,LAYHILL RD & BEL PRE RD,BONIFANT RD & LAYHILL RD,39.090614,-77.044326,,,,
332,332,BONIFANT RD & ALDERTON RD,,39.09342,-77.0359,,,,
334,334,BONIFANT RD & CARONA DR,,39.094257,-77.027163,,,,
336,336,BONIFANT RD & PEBBLESTONE DR,,39.094145,-77.022791,,,,
338,338,BONIFANT RD & PEBBLESTONE DR,,39.093206,-77.018273,,,,
340,340,BONIFANT RD & NOTLEY RD,,39.092866,-77.015542,,,,
344,344,BONIFANT RD & MARINE DR,,39.092981,-77.009436,,,,
346,346,BONIFANT RD & OLD BONIFANT RD,,39.09426,-77.005176,,,,
348,348,BONIFANT RD & NEW HAMPSHIRE AVE,,39.095826,-77.002678,,,,
350,350,BONIFANT RD & OLD BONIFANT RD,,39.094206,-77.005464,,,,
352,352,BONIFANT RD & MARINE DR,,39.093126,-77.009384,,,,
354,354,BONIFANT RD & SANDY RIDGE RD,,39.093049,-77.013536,,,,
356,356,BONIFANT RD & NOTLEY RD,,39.093061,-77.015623,,,,
358,358,BONIFANT RD & PEBBLESTONE DR,,39.093665,-77.018939,,,,
360,360,BONIFANT RD & PEBBLESTONE DR,,39.094268,-77.022903,,,,
362,362,BONIFANT RD & CARONA DR,,39.094409,-77.027068,,,,
364,364,BONIFANT RD & ALDERTON RD,,39.093668,-77.03535,,,,
366,366,BONIFANT RD & ROSETREE CT,,39.091406,-77.042893,,,,
368,368,BOWIE MILL RD & WILLOW HILL LA,,39.13529,-77.121036,,,,
370,370,BOWIE MILL RD & WILLOW KNOLL DR,,39.138981,-77.119409,,,,
372,372,BOWIE MILL RD & FRALEY FARM RD,,39.148497,-77.112659,,,,
374,374,BOWIE MILL RD & OCTOBER CT,,39.150154,-77.106498,,,,
392,392,BOWIE MILL RD & OCTOBER CT,,39.150286,-77.106386,,,,
394,394,BOWIE MILL RD & FRALEY FARM RD,,39.148633,-77.112598,,,,
396,396,BOWIE MILL RD & WILLOW KNOLL DR,,39.139028,-77.119608,,,,
398,398,BOWIE MILL RD & WILLOW HILL LA,,39.135352,-77.121211,,,,
400,400,BRADLEY BLV & RIVER RD,,39.002501,-77.180431,,,,
402,402,BRADLEY BLV & MERCY HOLLOW LA,,39.006929,-77.174077,,,,
406,406,BRADLEY BLV & ALDERSHOT DR,,39.008628,-77.171221,,,,
408,408,BRADLEY BLV & HOLLYOAK DR,,39.010406,-77.164477,,,,
410,410,BRADLEY BLV & SEVEN LOCKS RD,,39.012049,-77.159536,,,,
412,412,BRADLEY BLV & #7601,,39.011632,-77.155425,,,,
414,414,BRADLEY BLV & #7501,,39.010068,-77.153569,,,,
418,418,BRADLEY BLV & REDWOOD AVE,,39.00692,-77.148355,,,,
420,420,BRADLEY BLV & OAK FOREST LA,,39.005148,-77.145611,,,,
422,422,BRADLEY BLV & #6912,,39.005432,-77.14188,,,,
423,423,BRADLEY BLV & BURDETTE RD,,39.005225,-77.140233,,,,
424,424,BRADLEY BLV & BURNING TREE RD,,39.003757,-77.137442,,,,
426,426,BRADLEY BLV & FERNWOOD RD,,39.003215,-77.135051,,,,
428,428,BRADLEY BLV & HILLMEAD RD,,39.001007,-77.132419,,,,
430,430,BRADLEY BLV & HOWELL RD,,38.998168,-77.131178,,,,
432,432,BRADLEY BLV & WOODHAVEN BLVD,,38.996475,-77.129125,,,,
434,434,BRADLEY BLV & VALLEY RD,,38.995776,-77.126507,,,,
436,436,BRADLEY BLV & #6115,,38.994814,-77.124003,,,,
438,438,BRADLEY BLV & SELVYN RD,,38.993721,-77.122415,,,,
440,440,BRADLEY BLV & RAYBURN RD,,38.993147,-77.120729,,,,
442,442,BRADLEY BLV & ABERDEEN RD,,38.991217,-77.11768,,,,
444,444,BRADLEY BLV & ENGLISH CT,,38.988109,-77.115551,,,,
446,446,BRADLEY BLV & WILSON LA,,38.986016,-77.115375,,,,
448,448,BRADLEY BLV & OLD CHESTER RD,,38.984352,-77.114979,,,,
450,450,BRADLEY BLV & DURBIN RD,,38.983387,-77.11443,,,,
452,452,BRADLEY BLV & BEAM CT,,38.981709,-77.112994,,,,
454,454,BRADLEY BLV & BRITE DR,,38.980603,-77.111788,,,,
456,456,BRADLEY BLV & AUDUBON RD,,38.979536,-77.110654,,,,
458,458,BRADLEY BLV & PEMBROKE RD,,38.978149,-77.109493,,,,
460,460,BRADLEY BLV & GOLDSBORO RD,,38.977124,-77.107084,,,,
462,462,BRADLEY BLV & GLENBROOK RD,,38.977044,-77.105201,,,,
464,464,BRADLEY BLV & FAIRFAX RD,,38.977556,-77.101227,,,,
470,470,BRADLEY BLV & GLENBROOK RD,,38.977358,-77.104787,,,,
472,472,BRADLEY BLV & GOLDSBORO RD,,38.977349,-77.106999,,,,
474,474,BRADLEY BLV & PEMBROKE RD,,38.978233,-77.109339,,,,
476,476,BRADLEY BLV & AUDUBON RD,,38.979488,-77.110433,,,,
478,478,BRADLEY BLV & BRITE DR,,38.980771,-77.111792,,,,
480,480,BRADLEY BLV & CORNISH RD,,38.981578,-77.11266,,,,
482,482,BRADLEY BLV & DURBIN RD,,38.983353,-77.114268,,,,
484,484,BRADLEY BLV & OLD CHESTER RD,,38.984243,-77.114764,,,,
486,486,BRADLEY BLV & WILSON LA,,38.986005,-77.115269,,,,
488,488,BRADLEY BLV & YORK LA,,38.989222,-77.116061,,,,
490,490,BRADLEY BLV & ABERDEEN RD,,38.991265,-77.117601,,,,
492,492,BRADLEY BLV & HUNTINGTON PKWY,,38.992682,-77.11837,,,,
494,494,BRADLEY BLV & RAYBURN RD,,38.99329,-77.120369,,,,
496,496,BRADLEY BLV & EWING DR,,38.99428,-77.122956,,,,
498,498,BRADLEY BLV & #6115,,38.995006,-77.124159,,,,
500,500,BRADLEY BLV & VALLEY RD,,38.995861,-77.126587,,,,
502,502,BRADLEY BLV & WOODHAVEN BLVD,,38.99664,-77.129212,,,,
504,504,BRADLEY BLV & FALLEN OAK  DR,,38.998129,-77.130969,,,,
506,506,BRADLEY BLV & HILLMEAD RD,,39.001153,-77.1323,,,,
508,508,BRADLEY BLV & FERNWOOD RD,,39.003254,-77.134784,,,,
510,510,BRADLEY BLV & BURNING TREE RD,,39.003869,-77.137501,,,,
512,512,BRADLEY BLV & BURDETTE RD,,39.005381,-77.140319,,,,
514,514,BRADLEY BLV & OAK FOREST LA,,39.005204,-77.145365,,,,
516,516,BRADLEY BLV & REDWOOD AVE,,39.006764,-77.147895,,,,
518,518,BRADLEY BLV & #7327,,39.008234,-77.149801,,,,
520,520,BRADLEY BLV & #7501,,39.010181,-77.153325,,,,
522,522,BRADLEY BLV & #7601,,39.011795,-77.15543,,,,
523,523,BRADLEY BLV & #7701,,39.01261,-77.157492,,,,
524,524,BRADLEY BLV & SEVEN LOCKS RD,,39.012218,-77.159369,,,,
526,526,BRADLEY BLV & RIVER RD,,39.001803,-77.181456,,,,
528,528,BRADMOOR DR & ROOSEVELT ST,,38.99418,-77.119132,,,,
530,530,BRADMOOR DR & MCKINLEY ST,,38.996118,-77.118958,,,,
532,532,BRADMOOR DR & MADISON ST,,38.997723,-77.119364,,,,
534,534,BRADMOOR DR & GREENTREE RD,,39.000805,-77.121193,,,,
536,536,BRADMOOR DR & ROLSTON RD,,39.001835,-77.121156,,,,
538,538,BRADMOOR DR & EWING DR,,39.003018,-77.123098,,,,
540,540,BRADMOOR DR & LINDALE DR,,39.002035,-77.121563,,,,
542,542,BRADMOOR DR & GREENTREE RD,,39.000791,-77.121293,,,,
544,544,BRADMOOR DR & MADISON ST,,38.99801,-77.119924,,,,
546,546,BRADMOOR DR & MCKINLEY ST,,38.996548,-77.119121,,,,
548,548,BRADMOOR DR & ROOSEVELT ST,,38.994385,-77.119368,,,,
550,550,BRADMOOR DR & BRADLEY BLVD,,38.993348,-77.119027,,,,
552,552,BRIGGS CHANEY RD & HAROLD RD,,39.100221,-76.976936,,,,
554,554,BRIGGS CHANEY RD & CLAUDE LN,,39.098913,-76.973444,,,,
556,556,BRIGGS CHANEY RD & STURTEVANT RD,,39.097064,-76.971316,,,,
558,558,BRIGGS CHANEY RD & PEACH ORCHARD RD,,39.095201,-76.969303,,,,
560,560,BRIGGS CHANEY RD & CANTRELL RD,,39.093388,-76.96805,,,,
562,562,BRIGGS CHANEY RD & CREST HILL LN,,39.091115,-76.966792,,,,
564,564,BRIGGS CHANEY RD & NEES LN,,39.08726,-76.961213,,,,
566,566,BRIGGS CHANEY RD & FAIRDALE RD,,39.086823,-76.958404,,,,
568,568,BRIGGS CHANEY RD & OLD COLUMBIA PIK,BRIGGS CHANEY RD & OLD COLUMBIA PIKE,39.084673,-76.952037,,,,
570,570,BRIGGS CHANEY RD & AVONSHIRE LN,,39.08395,-76.950483,,,,
574,574,BRIGGS CHANEY RD & CASTLE BLVD,,39.081494,-76.946486,,,,
578,578,BRIGGS CHANEY RD & OLD COLUMBIA PK,,39.0847,-76.951778,,,,
580,580,BRIGGS CHANEY RD & FAIRDALE RD,,39.087017,-76.958845,,,,
582,582,BRIGGS CHANEY RD & NEES LN,,39.08728,-76.960615,,,,
584,584,BRIGGS CHANEY RD & GREAT OAK LN,,39.090989,-76.96653,,,,
586,586,BRIGGS CHANEY RD & CANTRELL RD,,39.092951,-76.96763,,,,
588,588,BRIGGS CHANEY RD & PEACH ORCHARD RD,,39.095094,-76.969004,,,,
590,590,BRIGGS CHANEY RD & STURTEVANT RD,,39.097063,-76.97114,,,,
594,594,BRIGGS CHANEY RD & FIRESIDE DR,,39.100938,-76.978554,,,,
596,596,BRIGGS CHANEY RD & GOOD HOPE RD,,39.101616,-76.980409,,,,
600,600,BROAD ST & 61ST ST,,38.94055,-77.119217,,,,
602,602,BROAD ST & 63RD ST,,38.942059,-77.120058,,,,
604,604,BROAD ST & MARYLAND AVE,,38.944196,-77.121186,,,,
606,606,BROAD GREEN DR & BEDFORDSHIRE AVE,,39.039615,-77.203629,,,,
608,608,BROAD GREEN DR & BEDFORDSHIRE AVE,,39.039592,-77.203849,,,,
610,610,BROADWOOD DR & LEWIS AVE,,39.0728,-77.131461,,,,
612,612,BROADWOOD DR & HENRY RD,,39.073323,-77.128734,,,,
614,614,BROADWOOD DR & CRAWFORD DR,,39.074836,-77.126609,,,,
616,616,BROADWOOD DR & CORAL SEA AVE,,39.075535,-77.125582,,,,
618,618,BROADWOOD DR & VEIRS MILL RD,,39.076931,-77.123779,,,,
620,620,BROADWOOD DR & CORAL SEA DR,,39.07573,-77.125417,,,,
622,622,BROADWOOD DR & CRAWFORD DR,,39.075127,-77.126284,,,,
624,624,BROADWOOD DR & HENRY RD,,39.073347,-77.12888,,,,
626,626,BROADWOOD DR & LEWIS AVE,,39.072841,-77.131602,,,,
628,628,BROCK DR & DEVERE DR,,39.021534,-76.989777,,,,
632,632,CRESTHAVEN DR & #1001,,39.019518,-76.99237,,,,
634,634,LYTTONVILLE POERATIONS CNTR.,,38.998525,-77.057,,,,
638,638,BROOKVILLE RD & LYTTONSVILLE PL,,39.000231,-77.05483,,,,
642,642,BROOKVILLE RD & BROOKVILLE RD,,38.998863,-77.05639,,,,
644,644,BROSCHART RD & MEDICAL CENTER DR,,39.098988,-77.201653,,,,
646,646,BROSCHART RD & #14901,,39.09997,-77.20114,,,,
652,652,BROSCHART RD & MEDICAL CENTER DR,,39.099063,-77.201892,,,,
654,654,BRUNETT AVE & LYCOMING ST,,39.010898,-77.021681,,,,
656,656,BRUNETT AVE & LORAIN AVE,,39.012644,-77.021717,,,,
658,658,BRUNETT AVE & GRAYSON AVE,,39.015446,-77.021145,,,,
660,660,BRUNETT AVE & FOREST GLEN RD,,39.017088,-77.021638,,,,
662,662,BRUNETT AVE & GUILFORD ST,,39.015848,-77.021574,,,,
664,664,BRUNETT AVE & LORAIN AVE,,39.012255,-77.021734,,,,
666,666,BRUNETT AVE & LYCOMING ST,,39.010303,-77.02186,,,,
680,680,BULLS RUN PKW & WILMETT RD,,39.00875,-77.126179,,,,
682,682,BULLS RUN PKW & MELVERN DR,,39.010378,-77.125114,,,,
684,684,BULLS RUN PKW & NOWELL DR,,39.011834,-77.123602,,,,
686,686,BULLS RUN PKW & RYLAND DR,,39.013068,-77.122999,,,,
688,688,BULLS RUN PKW & SINGLETON DR,,39.014234,-77.123153,,,,
690,690,BULLS RUN PKW & BECK CT,,39.012734,-77.123428,,,,
692,692,BULLS RUN PKW & NOWELL DR,,39.011824,-77.123961,,,,
694,694,BULLS RUN PKW & MELVERN DR,,39.010729,-77.125072,,,,
696,696,BULLS RUN PKW & WILMETT RD,,39.008783,-77.126391,,,,
702,702,BURLINGTON AVE & RR BRIDGE,,38.987307,-77.026009,,,,
704,704,BURLINGTON AVE & SELIM RD,,38.987772,-77.024465,,,,
706,706,BURRIS RD & BROADWOOD DR,,39.076558,-77.123949,,,,
708,708,CABIN JOHN PKW & LYNFIELD DR,,39.074982,-77.151489,,,,
710,710,CABIN JOHN PKW & MONROE ST,,39.075496,-77.152771,,,,
712,712,CABIN JOHN PKW & LYNFIELD DR,,39.074861,-77.151411,,,,
714,714,CABIN JOHN PKW & EDMONSTON DR,,39.072618,-77.150972,,,,
716,716,CAPITOL VIEW AVE & MEREDITH AVE,,39.023046,-77.066188,,,,
718,718,CAPITOL VIEW AVE & #10225,,39.023229,-77.064946,,,,
720,720,CAPITOL VIEW AVE & VIRGINIA AVE,,39.02248,-77.062425,,,,
722,722,CAPITOL VIEW AVE & PRATT PL,,39.020523,-77.060844,,,,
724,724,CAPITOL VIEW AVE & LEAFY AVE,,39.018493,-77.059073,,,,
726,726,CAPITOL VIEW AVE & BEECHBANK RD,,39.016127,-77.057905,,,,
728,728,CAPITOL VIEW AVE & BEECHBANK RD,,39.016133,-77.057762,,,,
730,730,CAPITOL VIEW AVE & LEAFY AVE,,39.018606,-77.058973,,,,
732,732,CAPITOL VIEW AVE & GRANT AVE,,39.020644,-77.060829,,,,
734,734,CAPITOL VIEW AVE & LEE AVE,,39.022257,-77.062309,,,,
736,736,CAPITOL VIEW AVE & DRUMM AVE,,39.023301,-77.062443,,,,
738,738,CAPITOL VIEW AVE & #10225,,39.023302,-77.065163,,,,
740,740,CAPITOL VIEW AVE & MEREDITH AVE,,39.023127,-77.066088,,,,
742,742,CARROLL AVE & MAPLE AVE,,38.974843,-77.014511,,,,
744,744,CARROLL AVE & LAUREL AVE,,38.97466,-77.012549,,,,
746,746,CARROLL AVE & TULIP AVE,,38.975206,-77.010102,,,,
748,748,CARROLL AVE & PHILADELPHIA AVE,,38.977577,-77.007555,,,,
750,750,CARROLL AVE & ETHAN ALLEN AVE,,38.978326,-77.00587,,,,
752,752,CARROLL AVE & BOYD AVE,,38.980368,-77.004181,,,,
754,754,CARROLL AVE & LINCOLN AVE,,38.981358,-77.00327,,,,
756,756,CARROLL AVE & OLD CARROLL AVE,,38.982247,-77.00151,,,,
758,758,CARROLL AVE & SLIGO CREEK BRIDGES,,38.983783,-76.999954,,,,
760,760,CARROLL AVE & FLOWER AVE,,38.985002,-76.998024,,,,
764,764,CARROLL AVE & ANNE ST,,38.987663,-76.994553,,,,
772,772,CARROLL AVE & PINEY BRANCH RD,,38.999157,-76.990914,,,,
774,774,CARROLL AVE & PINEY BRANCH RD,,38.999415,-76.990822,,,,
776,776,CARROLL AVE & TAKOMA ACADEMY DWY,,38.992289,-76.993062,,,,
778,778,CARROLL AVE & CHESTER ST,,38.989727,-76.993636,,,,
786,786,CARROLL AVE & FLOWER AVE,,38.985069,-76.998164,,,,
