"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"ttaex_crx_1_20120213_1-1TWKD","06:00:00","06:00:00","3383","1","Raleigh","0","1",""
"ttaex_crx_1_20120213_1-1TWKD","06:08:00","06:08:00","3149","2","Raleigh","0","1",""
"ttaex_crx_1_20120213_1-1TWKD","06:43:00","06:43:00","1807","3","Raleigh","1","0",""
"ttaex_crx_1_20120213_1-1TWKD","06:45:00","06:45:00","8274","4","Raleigh","1","0",""
"ttaex_crx_1_20120213_1-1TWKD","06:54:00","06:54:00","8063","5","Raleigh","1","0",""
"ttaex_crx_1_20120213_1-1TWKD","06:55:00","06:55:00","1734","6","Raleigh","1","0",""
"ttaex_crx_1_20120213_2-1TWKD","06:30:00","06:30:00","3383","1","Raleigh","0","1",""
"ttaex_crx_1_20120213_2-1TWKD","06:38:00","06:38:00","3149","2","Raleigh","0","1",""
"ttaex_crx_1_20120213_2-1TWKD","07:13:00","07:13:00","1807","3","Raleigh","1","0",""
"ttaex_crx_1_20120213_2-1TWKD","07:15:00","07:15:00","8274","4","Raleigh","1","0",""
"ttaex_crx_1_20120213_2-1TWKD","07:24:00","07:24:00","8063","5","Raleigh","1","0",""
"ttaex_crx_1_20120213_2-1TWKD","07:25:00","07:25:00","1734","6","Raleigh","1","0",""
"ttaex_crx_1_20120213_3-1TWKD","07:00:00","07:00:00","3383","1","Raleigh","0","1",""
"ttaex_crx_1_20120213_3-1TWKD","07:08:00","07:08:00","3149","2","Raleigh","0","1",""
"ttaex_crx_1_20120213_3-1TWKD","07:43:00","07:43:00","1807","3","Raleigh","1","0",""
"ttaex_crx_1_20120213_3-1TWKD","07:45:00","07:45:00","8274","4","Raleigh","1","0",""
"ttaex_crx_1_20120213_3-1TWKD","07:54:00","07:54:00","8063","5","Raleigh","1","0",""
"ttaex_crx_1_20120213_3-1TWKD","07:55:00","07:55:00","1734","6","Raleigh","1","0",""
"ttaex_crx_1_20120213_4-1TWKD","07:30:00","07:30:00","3383","1","Raleigh","0","1",""
"ttaex_crx_1_20120213_4-1TWKD","07:41:00","07:41:00","3149","2","Raleigh","0","1",""
"ttaex_crx_1_20120213_4-1TWKD","08:13:00","08:13:00","1807","3","Raleigh","1","0",""
"ttaex_crx_1_20120213_4-1TWKD","08:15:00","08:15:00","8274","4","Raleigh","1","0",""
"ttaex_crx_1_20120213_4-1TWKD","08:24:00","08:24:00","8063","5","Raleigh","1","0",""
"ttaex_crx_1_20120213_4-1TWKD","08:25:00","08:25:00","1734","6","Raleigh","1","0",""
"ttaex_crx_1_20120213_5-1TWKD","08:00:00","08:00:00","3383","1","Raleigh","0","1",""
"ttaex_crx_1_20120213_5-1TWKD","08:11:00","08:11:00","3149","2","Raleigh","0","1",""
"ttaex_crx_1_20120213_5-1TWKD","08:43:00","08:43:00","1807","3","Raleigh","1","0",""
"ttaex_crx_1_20120213_5-1TWKD","08:45:00","08:45:00","8274","4","Raleigh","1","0",""
"ttaex_crx_1_20120213_5-1TWKD","08:54:00","08:54:00","8063","5","Raleigh","1","0",""
"ttaex_crx_1_20120213_5-1TWKD","08:55:00","08:55:00","1734","6","Raleigh","1","0",""
"ttaex_crx_1_20120213_6-1TWKD","08:30:00","08:30:00","3383","1","Raleigh","0","1",""
"ttaex_crx_1_20120213_6-1TWKD","08:41:00","08:41:00","3149","2","Raleigh","0","1",""
"ttaex_crx_1_20120213_6-1TWKD","09:13:00","09:13:00","1807","3","Raleigh","1","0",""
"ttaex_crx_1_20120213_6-1TWKD","09:15:00","09:15:00","8274","4","Raleigh","1","0",""
"ttaex_crx_1_20120213_6-1TWKD","09:24:00","09:24:00","8063","5","Raleigh","1","0",""
"ttaex_crx_1_20120213_6-1TWKD","09:25:00","09:25:00","1734","6","Raleigh","1","0",""
"ttaex_crx_1_20120213_10-1TWKD","17:05:00","17:05:00","3421","1","Raleigh","0","1",""
"ttaex_crx_1_20120213_10-1TWKD","17:16:00","17:16:00","3359","2","Raleigh","0","1",""
