route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100,tta,100,Raleigh-Airport-RTC,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
102,tta,102,Raleigh-Garner,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
105,tta,105,Raleigh-RTC,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
201,tta,201,North Raleigh-RTC,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
301,tta,301,Raleigh-Cary-RTC,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
303,tta,303,Cary-Raleigh,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
303sat,tta,303sat,Cary-Raleigh (operated by Cary Transit),,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
305,tta,305,Lake Pine-Cary-Raleigh,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
311,tta,311,Apex-RTC,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
400,tta,400,Durham-New Hope Commons-Chapel Hill,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
405,tta,405,Durham-Chapel Hill,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
42,tta,42,RTP Shuttle 42,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
420,tta,420,Hillsborough-Chapel Hill (operated by CHT),,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
46,tta,46,RTP Shuttle 46,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
47,tta,47,RTP Shuttle 47,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
49,tta,49,RTP Shuttle 49,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
700,tta,700,Durham-RTC,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
800,tta,800,Chapel Hill-Southpoint-RTC,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
805,tta,805,Chapel Hill-Woodcroft-RTC,,3,http://triangletransit.org/bus/maps-and-schedules/,458B00,
