trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
300-SCHED EFF 11-08-2010,05:05:00,05:05:00,0000000000000000000000000000000C,1,,,,
300-SCHED EFF 11-08-2010,05:12:00,05:12:00,0000000000000000000000000000000B,2,,,,
300-SCHED EFF 11-08-2010,05:18:00,05:18:00,0000000000000000000000000000000A,3,,,,
300-SCHED EFF 11-08-2010,05:40:00,05:40:00,00000000000000000000000000000007,4,,,,
300-SCHED EFF 11-08-2010,06:07:00,06:07:00,00000000000000000000000000000004,5,,,,
300-SCHED EFF 11-08-2010,06:15:00,06:15:00,00000000000000000000000000000003,6,,,,
300-SCHED EFF 11-08-2010,06:23:00,06:23:00,00000000000000000000000000000002,7,,,,
300-SCHED EFF 11-08-2010,06:29:00,06:29:00,00000000000000000000000000000001,8,,,,
301-SCHED EFF 11-08-2010,12:55:00,12:55:00,00000000000000000000000000000001,1,,,,
301-SCHED EFF 11-08-2010,13:01:00,13:01:00,00000000000000000000000000000002,2,,,,
301-SCHED EFF 11-08-2010,13:07:00,13:07:00,00000000000000000000000000000003,3,,,,
301-SCHED EFF 11-08-2010,13:15:00,13:15:00,00000000000000000000000000000004,4,,,,
301-SCHED EFF 11-08-2010,13:25:00,13:25:00,00000000000000000000000000000005,5,,,,
301-SCHED EFF 11-08-2010,13:32:00,13:32:00,00000000000000000000000000000006,6,,,,
301-SCHED EFF 11-08-2010,13:40:00,13:40:00,00000000000000000000000000000007,7,,,,
301-SCHED EFF 11-08-2010,13:45:00,13:45:00,00000000000000000000000000000008,8,,,,
301-SCHED EFF 11-08-2010,13:54:00,13:54:00,00000000000000000000000000000009,9,,,,
301-SCHED EFF 11-08-2010,14:12:00,14:12:00,0000000000000000000000000000000A,10,,,,
301-SCHED EFF 11-08-2010,14:20:00,14:20:00,0000000000000000000000000000000B,11,,,,
301-SCHED EFF 11-08-2010,14:26:00,14:26:00,0000000000000000000000000000000C,12,,,,
302-SCHED EFF 11-08-2010,05:15:00,05:15:00,0000000000000000000000000000000C,1,,,,
302-SCHED EFF 11-08-2010,05:22:00,05:22:00,0000000000000000000000000000000B,2,,,,
302-SCHED EFF 11-08-2010,05:28:00,05:28:00,0000000000000000000000000000000A,3,,,,
302-SCHED EFF 11-08-2010,05:40:00,05:40:00,00000000000000000000000000000009,4,,,,
302-SCHED EFF 11-08-2010,05:49:00,05:49:00,00000000000000000000000000000008,5,,,,
302-SCHED EFF 11-08-2010,05:56:00,05:56:00,00000000000000000000000000000007,6,,,,
302-SCHED EFF 11-08-2010,06:03:00,06:03:00,00000000000000000000000000000006,7,,,,
302-SCHED EFF 11-08-2010,06:11:00,06:11:00,00000000000000000000000000000005,8,,,,
302-SCHED EFF 11-08-2010,06:24:00,06:24:00,00000000000000000000000000000004,9,,,,
302-SCHED EFF 11-08-2010,06:34:00,06:34:00,00000000000000000000000000000003,10,,,,
302-SCHED EFF 11-08-2010,06:44:00,06:44:00,00000000000000000000000000000002,11,,,,
302-SCHED EFF 11-08-2010,06:52:00,06:52:00,00000000000000000000000000000001,12,,,,
303-SCHED EFF 11-08-2010,15:35:00,15:35:00,00000000000000000000000000000001,1,,,,
303-SCHED EFF 11-08-2010,15:43:00,15:43:00,00000000000000000000000000000002,2,,,,
303-SCHED EFF 11-08-2010,15:50:00,15:50:00,00000000000000000000000000000003,3,,,,
303-SCHED EFF 11-08-2010,15:57:00,15:57:00,00000000000000000000000000000004,4,,,,
303-SCHED EFF 11-08-2010,16:08:00,16:08:00,00000000000000000000000000000005,5,,,,
303-SCHED EFF 11-08-2010,16:15:00,16:15:00,00000000000000000000000000000006,6,,,,
303-SCHED EFF 11-08-2010,16:23:00,16:23:00,00000000000000000000000000000007,7,,,,
303-SCHED EFF 11-08-2010,16:28:00,16:28:00,00000000000000000000000000000008,8,,,,
303-SCHED EFF 11-08-2010,16:38:00,16:38:00,00000000000000000000000000000009,9,,,,
303-SCHED EFF 11-08-2010,16:52:00,16:52:00,0000000000000000000000000000000A,10,,,,
303-SCHED EFF 11-08-2010,17:01:00,17:01:00,0000000000000000000000000000000B,11,,,,
303-SCHED EFF 11-08-2010,17:09:00,17:09:00,0000000000000000000000000000000C,12,,,,
304-SCHED EFF 11-08-2010,05:40:00,05:40:00,0000000000000000000000000000000C,1,,,,
304-SCHED EFF 11-08-2010,05:47:00,05:47:00,0000000000000000000000000000000B,2,,,,
304-SCHED EFF 11-08-2010,05:53:00,05:53:00,0000000000000000000000000000000A,3,,,,
304-SCHED EFF 11-08-2010,06:05:00,06:05:00,00000000000000000000000000000009,4,,,,
304-SCHED EFF 11-08-2010,06:14:00,06:14:00,00000000000000000000000000000008,5,,,,
304-SCHED EFF 11-08-2010,06:21:00,06:21:00,00000000000000000000000000000007,6,,,,
304-SCHED EFF 11-08-2010,06:28:00,06:28:00,00000000000000000000000000000006,7,,,,
304-SCHED EFF 11-08-2010,06:36:00,06:36:00,00000000000000000000000000000005,8,,,,
304-SCHED EFF 11-08-2010,06:49:00,06:49:00,00000000000000000000000000000004,9,,,,
304-SCHED EFF 11-08-2010,06:58:00,06:58:00,00000000000000000000000000000003,10,,,,
304-SCHED EFF 11-08-2010,07:06:00,07:06:00,00000000000000000000000000000002,11,,,,
304-SCHED EFF 11-08-2010,07:14:00,07:14:00,00000000000000000000000000000001,12,,,,
305-SCHED EFF 11-08-2010,16:10:00,16:10:00,00000000000000000000000000000001,1,,,,
305-SCHED EFF 11-08-2010,16:18:00,16:18:00,00000000000000000000000000000002,2,,,,
305-SCHED EFF 11-08-2010,16:25:00,16:25:00,00000000000000000000000000000003,3,,,,
305-SCHED EFF 11-08-2010,16:32:00,16:32:00,00000000000000000000000000000004,4,,,,
305-SCHED EFF 11-08-2010,16:43:00,16:43:00,00000000000000000000000000000005,5,,,,
305-SCHED EFF 11-08-2010,16:50:00,16:50:00,00000000000000000000000000000006,6,,,,
305-SCHED EFF 11-08-2010,16:57:00,16:57:00,00000000000000000000000000000007,7,,,,
305-SCHED EFF 11-08-2010,17:02:00,17:02:00,00000000000000000000000000000008,8,,,,
305-SCHED EFF 11-08-2010,17:12:00,17:12:00,00000000000000000000000000000009,9,,,,
305-SCHED EFF 11-08-2010,17:25:00,17:25:00,0000000000000000000000000000000A,10,,,,
305-SCHED EFF 11-08-2010,17:34:00,17:34:00,0000000000000000000000000000000B,11,,,,
305-SCHED EFF 11-08-2010,17:42:00,17:42:00,0000000000000000000000000000000C,12,,,,
306-SCHED EFF 11-08-2010,06:05:00,06:05:00,0000000000000000000000000000000C,1,,,,
306-SCHED EFF 11-08-2010,06:12:00,06:12:00,0000000000000000000000000000000B,2,,,,
306-SCHED EFF 11-08-2010,06:18:00,06:18:00,0000000000000000000000000000000A,3,,,,
306-SCHED EFF 11-08-2010,06:30:00,06:30:00,00000000000000000000000000000009,4,,,,
306-SCHED EFF 11-08-2010,06:39:00,06:39:00,00000000000000000000000000000008,5,,,,
306-SCHED EFF 11-08-2010,06:46:00,06:46:00,00000000000000000000000000000007,6,,,,
306-SCHED EFF 11-08-2010,06:53:00,06:53:00,00000000000000000000000000000006,7,,,,
306-SCHED EFF 11-08-2010,07:00:00,07:00:00,00000000000000000000000000000005,8,,,,
306-SCHED EFF 11-08-2010,07:12:00,07:12:00,00000000000000000000000000000004,9,,,,
306-SCHED EFF 11-08-2010,07:21:00,07:21:00,00000000000000000000000000000003,10,,,,
306-SCHED EFF 11-08-2010,07:29:00,07:29:00,00000000000000000000000000000002,11,,,,
306-SCHED EFF 11-08-2010,07:37:00,07:37:00,00000000000000000000000000000001,12,,,,
307-SCHED EFF 11-08-2010,16:40:00,16:40:00,00000000000000000000000000000001,1,,,,
307-SCHED EFF 11-08-2010,16:48:00,16:48:00,00000000000000000000000000000002,2,,,,
307-SCHED EFF 11-08-2010,16:55:00,16:55:00,00000000000000000000000000000003,3,,,,
307-SCHED EFF 11-08-2010,17:03:00,17:03:00,00000000000000000000000000000004,4,,,,
307-SCHED EFF 11-08-2010,17:14:00,17:14:00,00000000000000000000000000000005,5,,,,
307-SCHED EFF 11-08-2010,17:21:00,17:21:00,00000000000000000000000000000006,6,,,,
