block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_E-003_4013,109,1,CountryExpress! ALAPAI TRANSIT CENTER,E0035,4013_muwtf,5814582.6806.921514
b_54-003_4088,33,0,LOWER PEARL CITY,540061,4088_s,5807435.5408.929108
a_432-002_4013,88,0,WEST WAIPAHU - Leoku Street,4320017,4013_muwtf,5812409.4323.920269
a_403-001_3978,83,0,WAIANAE TRANSIT CENTER,4030025,3978_s,5818303.4034.923292
a_57-001_4013,36,1,HONOLULU - Ala Moana Center,570091,4013_muwtf,5801789.5702.915904
b_9-003_4039,126,0,NAVY - Nimitz Gate,90175,4039_a,5805906.909.928305
b_2-041_4088,2,0,SCHOOL STREET - Middle Street,20120,4088_s,5808565.207.930079
b_14-002_4037,13,0,WAIKIKI - SAINT LOUIS HEIGHTS,140039,4037_muwtf,5848268.1409.935151
b_55-004_4039,130,0,KANEOHE - NORTH SHORE HALEIWA,550077,4039_a,5816836.5511.932603
b_42-008_4037,28,1,WAIKIKI BEACH & HOTELS,420109,4037_muwtf,5813256.4209.931071
b_5-001_4088,5,1,MANOA VALLEY,50011,4088_s,5807355.503.929041
a_411-002_3941,85,1,MAKAKILO PANANA ST,4120006,3941_a,5815737.4122.921643
a_62-001_4013,131,0,WAHIAWA HEIGHTS,620162,4013_muwtf,5814199.6208.921275
b_13-003_4088,127,1,WAIKIKI - UH Manoa,130118,4088_s,5830748.1312.934668
b_13-007_4037,127,1,WAIKIKI - UH Manoa,130118,4037_muwtf,5830444.1312.934416
a_70-001_3941,41,1,LANIKAI,700005,3941_a,5804790.7001.917184
a_3-008_4013,3,1,KAPIOLANI COMM COLLEGE,30161,4013_muwtf,5802974.311.916720
a_23-001_3978,103,0,WAIKIKI - Ala Moana Center,230040,3978_s,5807834.2306.919318
a_2-036_4013,2,1,WAIKIKI - KCC,20112,4013_muwtf,5802733.213.916548
b_31-002_4037,24,1,TRIPLER via Kalihi Transit Center,310019,4037_muwtf,5801579.3103.925890
a_22-004_3942,21,0,TheBeachBus - WAIKIKI BEACH,220052,3942_mwtf,5800762.2208.915172
b_19-027_4088,19,1,WAIKIKI BEACH & HOTELS,200069,4088_s,5808429.2009.929961
a_14-001_4013,13,1,MAUNALANI HEIGHTS via Waialae,140003,4013_muwtf,5848216.1406.924958
b_433-002_4037,89,0,WAIPAHU TRANSIT CENTER,4330014,4037_muwtf,5837916.4333.934785
a_24-001_3978,128,1,UPPER AINA HAINA,240001,3978_s,5808055.2402.919489
a_62-002_3941,131,0,WAHIAWA HEIGHTS,620157,3941_a,5816741.6208.922364
a_9s-001_3978,125,1,PALOLO VALLEY,9s0003,3978_s,5808791.9A01.920009
a_41-001_4013,27,1,EWA BEACH TRANSIT CENTER,410045,4013_muwtf,5813080.4102.920759
