service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
 1,0,0,0,0,0,1,0,20100723,20101225
 2,0,0,0,0,0,0,1,20100723,20101225
 3,1,1,1,1,1,0,0,20100723,20101225
 4,0,0,0,0,1,0,0,20100723,20101225
 5,1,1,1,1,0,0,0,20100723,20101225
 6,0,0,0,0,0,1,0,20100723,20100904
 7,0,0,0,0,0,1,0,20100723,20110119
 8,0,0,0,0,0,0,1,20100723,20110119
 9,1,1,1,1,0,0,0,20100723,20110119
10,0,0,0,0,1,0,0,20100723,20110119
11,0,0,0,0,0,1,1,20100723,20110119
12,0,0,0,0,0,1,0,20100723,20110119
13,0,0,0,0,0,0,1,20100723,20110119
14,1,1,1,1,1,0,0,20100723,20110119
15,0,0,0,0,1,0,0,20100723,20110119
16,0,0,0,0,0,0,0,20100723,20110119
17,1,1,1,1,0,0,0,20100723,20110119
18,0,0,0,0,0,0,0,20100723,20110119
19,0,0,0,0,1,0,0,20100723,20110119
20,1,1,1,1,1,0,0,20100723,20110119
21,0,0,0,0,0,1,0,20100723,20101231
22,0,0,0,0,0,0,1,20100723,20101231
23,1,1,1,1,1,0,0,20100723,20101231
