service_id,date,exception_type
1,20101225,2
2,20100906,1
2,20101125,1
2,20101225,1
3,20100906,2
3,20101125,2
4,20100906,2
4,20101125,2
5,20100906,2
5,20101125,2
7,20101225,2
8,20100906,1
8,20101125,1
8,20101225,1
9,20100906,2
9,20101125,2
10,20100906,2
10,20101125,2
14,20100906,2
14,20101125,2
16,20101011,1
16,20101111,1
17,20100906,2
17,20101011,2
17,20101111,2
17,20101125,2
18,20100906,2
18,20101011,2
18,20101111,2
18,20101125,2
19,20100906,2
19,20101011,2
19,20101111,2
19,20101125,2
20,20100906,2
20,20101011,2
20,20101111,2
20,20101125,2
21,20101225,2
22,20100906,1
22,20101125,1
22,20101225,1
23,20100906,2
23,20101125,2
