service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1311-Collier-Weekday-24,1,1,1,1,1,0,0,20131124,20140315
1311-Collier-Saturday-72,0,0,0,0,0,1,0,20131124,20140315
1311-Collier-Sunday-11,0,0,0,0,0,0,1,20131124,20140315
1311-Liberty-Weekday-28,1,1,1,1,1,0,0,20131124,20140315
1311-Liberty-Saturday-71,0,0,0,0,0,1,0,20131124,20140315
1311-Liberty-Sunday-11,0,0,0,0,0,0,1,20131124,20140315
1311-Mifflin-Weekday-26,1,1,1,1,1,0,0,20131124,20140315
1311-Mifflin-Saturday-71,0,0,0,0,0,1,0,20131124,20140315
1311-Mifflin-Sunday-11,0,0,0,0,0,0,1,20131124,20140315
1311-Ross-Weekday-21,1,1,1,1,1,0,0,20131124,20140315
1311-Ross-Saturday-71,0,0,0,0,0,1,0,20131124,20140315
1311-Ross-Sunday-11,0,0,0,0,0,0,1,20131124,20140315
1311-Village-Weekday-27,1,1,1,1,1,0,0,20131124,20140315
1311-Village-Saturday-71,0,0,0,0,0,1,0,20131124,20140315
1311-Village-Sunday-11,0,0,0,0,0,0,1,20131124,20140315
W,1,1,1,1,1,0,0,20131124,20140315
S,0,0,0,0,0,1,0,20131124,20140315
U,0,0,0,0,0,0,1,20131124,20140315
1311-Village-ThanksgivingHoliday-14,0,0,0,1,0,0,0,20131128,20131128
1311-Village-XmasHoliday-13,0,0,1,0,0,0,0,20131225,20131225
1311-Village-NewYearsHoliday-13,0,0,1,0,0,0,0,20140101,20140101
