route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
020-150,1311-Collier-Weekday-24,7385447-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133379,0200029
020-150,1311-Collier-Weekday-24,7385448-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133382,0200029
020-150,1311-Collier-Weekday-24,7385449-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133385,0200029
020-150,1311-Collier-Weekday-24,7385450-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133445,0200029
020-150,1311-Collier-Weekday-24,7385451-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133380,0200029
020-150,1311-Collier-Weekday-24,7385452-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133382,0200029
020-150,1311-Collier-Weekday-24,7385453-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133385,0200029
020-150,1311-Collier-Weekday-24,7385454-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133542,0200029
020-150,1311-Collier-Weekday-24,7385455-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133388,0200029
020-150,1311-Collier-Weekday-24,7385456-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133462,0200029
020-150,1311-Collier-Weekday-24,7385457-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133450,0200029
020-150,1311-Collier-Weekday-24,7385458-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133492,0200029
020-150,1311-Collier-Weekday-24,7385459-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133493,0200029
020-150,1311-Collier-Weekday-24,7385460-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133448,0200029
020-150,1311-Collier-Weekday-24,7385461-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133564,0200029
020-150,1311-Collier-Weekday-24,7385462-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133532,0200029
020-150,1311-Collier-Weekday-24,7385463-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133553,0200029
020-150,1311-Collier-Weekday-24,7385464-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133390,0200029
020-150,1311-Collier-Weekday-24,7385465-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133487,0200029
020-150,1311-Collier-Weekday-24,7385466-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133389,0200029
020-150,1311-Collier-Weekday-24,7385467-1311-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1133535,0200029
020-150,1311-Collier-Weekday-24,7385468-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133379,0200028
020-150,1311-Collier-Weekday-24,7385469-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133382,0200028
020-150,1311-Collier-Weekday-24,7385470-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133385,0200028
020-150,1311-Collier-Weekday-24,7385471-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133445,0200028
020-150,1311-Collier-Weekday-24,7385472-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133380,0200028
020-150,1311-Collier-Weekday-24,7385473-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133382,0200028
020-150,1311-Collier-Weekday-24,7385474-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133385,0200028
020-150,1311-Collier-Weekday-24,7385475-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133542,0200028
020-150,1311-Collier-Weekday-24,7385476-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133388,0200028
020-150,1311-Collier-Weekday-24,7385477-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133462,0200028
020-150,1311-Collier-Weekday-24,7385478-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133450,0200028
020-150,1311-Collier-Weekday-24,7385479-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133492,0200028
020-150,1311-Collier-Weekday-24,7385480-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133493,0200028
020-150,1311-Collier-Weekday-24,7385481-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133448,0200028
020-150,1311-Collier-Weekday-24,7385482-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133564,0200028
020-150,1311-Collier-Weekday-24,7385483-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133532,0200028
020-150,1311-Collier-Weekday-24,7385484-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133553,0200028
020-150,1311-Collier-Weekday-24,7385485-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133390,0200028
020-150,1311-Collier-Weekday-24,7385486-1311-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1133487,0200028
