service_id,date,exception_type
486A1578,20140526,2
479A1575,20140526,2
485A1577,20140101,2
485A1577,20140526,2
486A1578,20140704,2
475A1575,20141127,2
485A1577,20141127,2
486A1578,20131225,2
479A1575,20140101,2
486A1578,20141127,2
479A1575,20141127,2
475A1575,20140526,2
483A1577,20140526,2
486A1578,20140101,2
463A1574,20140101,2
536A1574,20140101,2
462A1574,20140101,2
463A1574,20140526,2
536A1574,20140526,2
462A1574,20140526,2
463A1574,20140704,2
536A1574,20140704,2
462A1574,20140704,2
463A1574,20140901,2
536A1574,20140901,2
462A1574,20140901,2
463A1574,20141127,2
536A1574,20141127,2
462A1574,20141127,2
463A1574,20131225,2
536A1574,20131225,2
462A1574,20131225,2
475A1575,20140101,2
462A1574,20140120,2
483A1577,20140101,2
462A1574,20140217,2
484A1577,20140526,2
481A1576,20140526,2
482A1576,20140526,2
479A1575,20140704,2
475A1575,20140704,2
483A1577,20140704,2
483A1577,20141127,2
481A1576,20140901,2
482A1576,20140901,2
484A1577,20141127,2
481A1576,20141127,2
482A1576,20141127,2
479A1575,20131225,2
475A1575,20131225,2
483A1577,20131225,2
484A1577,20140101,2
481A1576,20140101,2
482A1576,20140101,2
485A1577,20131225,2
484A1577,20131225,2
481A1576,20131225,2
482A1576,20131225,2
485A1577,20140704,2
484A1577,20140704,2
481A1576,20140704,2
482A1576,20140704,2
