from_stop_id,to_stop_id,transfer_type,min_transfer_time
26760,26760,1,
26759,26759,1,
26957,26957,1,
26956,26956,1,
27296,27296,1,
26900,26900,1,
27469,27469,1,
26916,26916,1,
26917,26917,1,
26918,26918,1,
26919,26919,1,
26920,26920,1,
27347,27347,1,
26816,26816,1,
27515,27515,1,
27358,27358,1,
26921,26921,1,
27348,27348,1,
26922,26922,1,
27349,27349,1,
26923,26923,1,
27350,27350,1,
27351,27351,1,
26914,26914,1,
26915,26915,1,
27294,27294,1,
26934,26934,1,
26899,26899,1,
26840,26840,1,
26833,26833,1,
26839,26839,1,
26815,26815,1,
26803,26803,1,
27535,27535,1,
27626,27626,1,
26856,26856,1,
27627,27627,1,
26848,26848,1,
26849,26849,1,
27504,27504,1,
26779,26779,1,
26780,26780,1,
27439,27439,1,
26786,26786,1,
27628,27628,1,
27512,27512,1,
27142,27142,1,
27633,27633,1,
22202,22202,1,
26961,26961,1,
26960,26960,1,
26959,26959,1,
26958,26958,1,
27254,27254,1,
27252,27252,1,
27000,27000,1,
26989,26989,1,
26988,26988,1,
26987,26987,1,
27655,27655,1,
26991,26991,1,
26990,26990,1,
27033,27033,1,
27042,27042,1,
27014,27014,1,
27013,27013,1,
27067,27067,1,
27001,27001,1,
27203,27203,1,
27211,27211,1,
27209,27209,1,
27208,27208,1,
27624,27624,1,
27036,27036,1,
27066,27066,1,
27093,27093,1,
27201,27201,1,
27092,27092,1,
27091,27091,1,
27120,27120,1,
27148,27148,1,
27115,27115,1,
27114,27114,1,
27153,27153,1,
27065,27234,1,
