route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
12288,1,Parx Casino to 54th-City,3,,,
12289,10,13th-Market to 63rd-Malvern,0,66CC33,000000,
12395,101,Media to 69th St TC,0,66CC33,000000,
12397,102,Sharon Hill to 69th St TC,0,66CC33,000000,
12398,103,Ardmore to 69th St TC,3,,,
12424,104,West Chester U to 69th St TC,3,,,
12400,105,Paoli & Ardmore to 69th St TC,3,,,
12401,106,Paoli & Ardmore to 69th St TC,3,,,
12402,107,Lawrence Park to 69th St TC,3,,,
12403,108,UPS or Airport to 69th St TC,3,,,
12404,109,Chester TC to 69th St TC,3,,,
12291,10B,33rd-Market to 63rd-Malvern,3,,,
12292,11,13th-Market to Darby Trans Cntr,0,66CC33,000000,
12405,110,Penn State U to 69th St TC,3,,,
12406,111,Chadds Ford to 69th St TC,3,,,
12407,112,DCCC to 69th St TC,3,,,
12408,113,Tri State Mall to 69th St TC,3,,,
12409,114,Granite Run Mall to Darby TC,3,,,
12410,115,DCCC & Darby TC to Airport,3,,,
12411,116,USPS Eastwick to 69th St TC,3,,,
12412,117,Penn State U to I-95 Industrial Pk,3,,,
12413,118,Newtown Square to Chester TC,3,,,
12414,119,Cheyney U to Chester TC,3,,,
12293,12,3rd-Pine to 50th-Woodland,3,,,
12415,120,Cheyney U to 69th St TC,3,,,
12416,123,King of Prussia to 69th St TC,3,,,
12425,124,Chesterbrook to 13th & Market   ,3,,,
12417,125,Valley Forge to 13th-Market,3,,,
12418,126,Lawrence Park to 69th St TC,3,,,
12426,127,Trenton TC to Oxford Valley Mall,3,,,
12427,128,Neshaminy to Oxford Valley Mall,3,,,
12448,129,Frankford-Knights to Oxford Valley,3,,,
12294,13,13th-Market to Yeadon-Darby ,0,66CC33,000000,
12429,130,BCCC to Frankford & Knights,3,,,
12430,131,Audubon to Norristown TC,3,,,
12431,132,Telford to Montgomery Mall,3,,,
12432,133,Frankford & Knights to Bensalem,3,,,
12433,139,Limerick to King of Prussia,3,,,
12295,14,Oxford Vally/Neshaminy Malls to FTC,3,,,
12296,15,63rd-Girard to Richmond-Westmorelnd,0,66CC33,000000,
12434,150,Parx Casino to Plymouth Meeting,3,,,
12297,15B,Frankfrd-Girard to Rchmnd-Westmrlnd,3,,,
12298,16,Brd-Patt to Chelthm-Ogtz /F RK TC,3,,,
12299,17,Front-Mkt to 20-Johnston/Broad-Pat,3,,,
12300,18,Fox Chase to Cedarbrook Plaza,3,,,
12301,19,Torresdale Station to FTC,3,,,
12302,2,20-Johnston to Pulaski-Hntg Park   ,3,,,
12303,20,Franklin Mills Mall to FTC,3,,,
12435,201,Ft Wash Office Ctr to Fort Wash Sta,3,,,
12455,204,Eagleview to Paoli Train Station,3,,,
12456,205,Phoenixville to Paoli Train Station,3,,,
12436,206,Great Valley Corp Ctr to Paoli Sta,3,,,
12305,21,Penn's Landing to 69th St TC,3,,,
12307,22,Warminster/Willow Grove to OTC,3,,,
12308,23,Broad-Oregon to Chestnut Hill    ,3,,,
12309,24,Southampton/Rockledge to FTC ,3,,,
12310,25,FTC to Columbus Commons,3,,,
12311,26,FTC to Chelten Av Station,3,,,
12312,27,Broad-Carpenter to PlymouthMtgMall,3,,,
12313,28,Fern Rock TC to Torresdale-Cottman,3,,,
12314,29,Pier 70 to 33rd-Dickinson,3,,,
12315,3,33rd-Cecil B Moore to FTC,3,,,
12316,30,Amtrak 30th St Sta to 69th St TC,3,,,
12317,31,City Hall to 76th-City,3,,,
12457,310,Horsham Breeze        ,3,,,
12318,32,Broad-Carpenter to Ridge-Lyceum,3,,,
12319,33,Penn's Landing to 23rd-Venango,3,,,
12321,34,13th-Market to 61st-Baltimore   ,0,66CC33,000000,
12322,35,Manayunk Roxborough Loop,3,,,
12323,36,13th-Market to 80th-Eastwick    ,0,66CC33,000000,
12324,37,ChesterTC to Broad-Snyder,3,,,
12325,38,5th-Market to Wissahickon TC,3,,,
12326,39,Richmond-Cumberland to 33rd-Dauphin,3,,,
12327,4,Brd-Patt to Chelthm-Ogtz /F RK TC,3,,,
12329,40,2nd-Lombard to Conshohocken-Monumnt,3,,,
12330,42,Penn's Landing to Wycombe,3,,,
12331,43,Richmond-Cumberland to 50th-Parksde,3,,,
12332,44,5th-Market to Ardmore,3,,,
12333,46,58th-Baltimore to 63rd-Malvern,3,,,
12334,47,Whitman Plaza to 5th-Godfrey,3,,,
12335,47M,Whitman Plaza to Spg Grd via 9th St,3,,,
12336,48,Front-Market to 27th-Allegheny,3,,,
12337,5,Front-Market to Frankford TC,3,,,
12338,50,Parx/FrankMillMall to Frankford TC,3,,,
12339,52,49th-Wdland to 54th-City/50th-PrkSd,3,,,
12340,53,Wayne-Carpenter to Broad-Hunting Pk,3,,,
12341,54,Richmond-Cambria to 33rd-Dauphin,3,,,
12342,55,Doylestown/Willow Grove to OTC,3,,,
12343,56,23rd-Venango to Torresdale-Cottman,3,,,
12344,57,WhitmanPlaza to Fern Rock Trans Ctr,3,,,
12345,58,NeshaminyMall/Somerton to Fkd TC,3,,,
12346,59,Castor-Bustleton to Arrott TC,3,,,
12347,6,Cheltenham-Ogontz to OTC           ,3,,,
12348,60,35th-Allegheny to Rich-Westmoreland,3,,,
12349,61,9th-Market to Manayunk,3,,,
12351,62,9th-Market to Andorra,3,,,
12352,64,50th-Parkside to Pier 70,3,,,
12353,65,Germantown-Chelten to 69th St TC,3,,,
12354,66,Frankfd TC to Frankford-Knights,3,,,
12355,67,Frank Mills Mall & Bustleton to FTC,3,,,
12356,68,UPS to Broad-Oregon,3,,,
12357,7,Pier 70 to 33rd Dauphin,3,,,
12358,70,Fkd-Gregg/Torr-Cottmn to FRTC,3,,,
12359,73,FTC to Richmond-Westmoreland,3,,,
12360,75,Wayne Junction to Arrott Trans Ctr,3,,,
12361,77,Roosevelt-St Vincent to ChestntHill,3,,,
12362,78,Express Cornwells Hgts to Cnt City,3,,,
12363,79,Columbus Commons to 29th-Snyder,3,,,
12364,8,Olney TC to Frankford TC,3,,,
12365,80,Express Horsham to Olney TC,3,,,
12366,84,Bustleton-CntyLn/FranMillMal to FTC,3,,,
12367,88,Bethayres&Holme-Pennypack to FTC,3,,,
12369,89,Front-Dauphin to Arrott TC,3,,,
12370,9,4th-Walnut to Andorra,3,,,
