route_id,agency_id,route_short_name,route_long_name,route_type,route_url
"1_41",1,"41","Columbia Pike-Ballston-Court House",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=41"
"1_42",1,"42","Ballston-Pentagon",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=42"
"1_45",1,"45","Columbia Pike-DHS/Sequoia-Rosslyn",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=45"
"1_51",1,"51","Ballston-Virginia Hospital Center",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=51"
"1_52",1,"52","Ballston-Virginia Hospital-East Falls Church",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=52"
"1_53A",1,"53A","Ballston Metro-Old Glebe-East Falls Church Metro",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=53A"
"1_53B",1,"53B","Ballston Metro-Old Glebe-East Falls Church Metro",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=53B"
"1_61A",1,"61A","Rosslyn-Court House Metro Shuttle",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=61A"
"1_61B",1,"61B","Rosslyn-Court House Metro Shuttle",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=61B"
"1_62",1,"62","Court House Metro-Lorcom Lane-Ballston Metro",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=62"
"1_74",1,"74","Douglas Park-Arlington Village/View-Pentagon City",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=74"
"1_75",1,"75","Shirlington-Ballston-VA Square",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=75"
"1_77",1,"77","Shirlington-Lyon Park-Court House",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=77"
"1_84",1,"84","Douglas Park-Nauck-Pentagon City",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=84"
"1_87",1,"87","Pentagon Metro-Army Navy Drive-Shirlington",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=87"
"1_87A",1,"87A","Pentagon Metro-Army Navy Drive-Shirlington",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=87A"
"1_87X",1,"87X","Pentagon Metro-Army Navy Drive-Shirlington",3,"http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=87X"
