stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
83,51001,"Ballston Metro, Fairfax Dr, EB @ N Stafford St, NS",38.882092,-77.110876,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51001#realTimeResultsContainer"
84,51002,"Fairfax Drive, WB @ N Taylor Street, NS",38.882281,-77.112455,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51002#realTimeResultsContainer"
85,51003,"Fairfax Drive, WB @ N Utah Street, FS",38.882254,-77.114353,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51003#realTimeResultsContainer"
87,51005,"16th Street N, WB @ N Glebe Road, FS",38.889456,-77.119528,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51005#realTimeResultsContainer"
88,51006,"16th Street N, WB @ N Abingdon Street, NS",38.889263,-77.120423,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51006#realTimeResultsContainer"
89,51007,"16th Street N, WB @ N Buchanan Street, NS",38.888870,-77.122233,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51007#realTimeResultsContainer"
90,51008,"16th Street N, WB @ N Edison Street, NS",38.888282,-77.125114,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51008#realTimeResultsContainer"
91,51009,"N George Mason Dr, NB @ Virginia Hospital Ctr, MB",38.888909,-77.128507,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51009#realTimeResultsContainer"
92,51010,"N George Mason Drive, NB @ 19th Street N, NS",38.891314,-77.129508,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51010#realTimeResultsContainer"
93,51011,"N George Mason Drive, NB @ 20th Street N, NS",38.892847,-77.130516,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51011#realTimeResultsContainer"
94,51012,"Patrick Henry Drive, WB @ N Harrison Street, NS",38.893437,-77.133429,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51012#realTimeResultsContainer"
95,51013,"N Harrison Street, NB @ Lee Highway, NS",38.896116,-77.137309,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51013#realTimeResultsContainer"
96,51014,"Lee Highway, EB @ N George Mason Drive, MB",38.896282,-77.136024,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51014#realTimeResultsContainer"
97,51201,"N George Mason Drive, SB @ Lee Highway, FS",38.895711,-77.133587,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51201#realTimeResultsContainer"
98,51202,"N George Mason Drive, SB @ Patrick Henry Drive, NS",38.894408,-77.132048,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51202#realTimeResultsContainer"
99,51203,"N George Mason Drive, SB @ 20th Street N, FS",38.892639,-77.130724,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51203#realTimeResultsContainer"
100,51209,"N George Mason Drive, SB @ 19th Street N, FS",38.891075,-77.129646,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51209#realTimeResultsContainer"
101,51210,"N George Mason Dr, SB @ Virginia Hospital Ctr, MB",38.889413,-77.128931,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51210#realTimeResultsContainer"
102,51211,"16th Street N, EB @ N Edison Street, NS",38.888122,-77.125513,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51211#realTimeResultsContainer"
103,51212,"16th Street N, EB @ N Buchanan Street, NS",38.888716,-77.122516,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51212#realTimeResultsContainer"
104,51213,"16th Street N, EB @ N Abingdon, NS",38.889080,-77.120731,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51213#realTimeResultsContainer"
105,51214,"16th Street N, EB @ N Glebe Road, NS",38.889364,-77.119311,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51214#realTimeResultsContainer"
106,51215,"N Glebe Road, SB @ 15th Street N, NS",38.888619,-77.118886,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51215#realTimeResultsContainer"
107,51216,"N Glebe Road, SB @ 13th Street N, NS",38.886987,-77.118130,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51216#realTimeResultsContainer"
108,51217,"N Glebe Road, SB @ Washington Blvd, FS",38.884699,-77.117061,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51217#realTimeResultsContainer"
109,51218,"Fairfax Drive, EB @ N Vermont Street, FS",38.881980,-77.114572,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51218#realTimeResultsContainer"
110,51219,"Fairfax Drive, EB @ N Taylor Street, NS",38.882021,-77.112980,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A51219#realTimeResultsContainer"
111,52001,"N Quincy Street, NB @ 10th Street N, FS",38.883656,-77.107762,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52001#realTimeResultsContainer"
112,52002,"Washington Blvd, WB @ N Stafford Street, NS",38.885665,-77.110737,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52002#realTimeResultsContainer"
114,52004,"Washington Blvd, WB @ N Utah Street, NS",38.885565,-77.113960,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52004#realTimeResultsContainer"
115,52005,"Washington Blvd, WB @ N Vermont Street, NS",38.885505,-77.116057,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52005#realTimeResultsContainer"
116,52006,"Washington Blvd, WB @ N Glebe Road, FS",38.885482,-77.117833,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52006#realTimeResultsContainer"
117,52007,"Washington Blvd, WB @ N Buchanan Street, NS",38.885340,-77.121054,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52007#realTimeResultsContainer"
118,52008,"Washington Blvd, WB @ N Evergreen Street, FS",38.885192,-77.125861,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52008#realTimeResultsContainer"
119,52009,"N George Mason Drive, NB @ 22nd Street N, NS",38.894542,-77.131840,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52009#realTimeResultsContainer"
120,52010,"N George Mason Drive, NB @ Lee Highway, FS",38.896653,-77.133500,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52010#realTimeResultsContainer"
121,52011,"N George Mason Drive, NB @ 25th Street N, NS",38.898361,-77.133641,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52011#realTimeResultsContainer"
122,52012,"N George Mason Drive, NB @ 25th Place N, NS",38.899407,-77.134855,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52012#realTimeResultsContainer"
