route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"1_42",1,8717,"Pentagon Metro",0,4205,39
"1_42",1,8718,"Ballston Metro",1,4205,40
"1_42",1,8719,"Pentagon Metro",0,4205,39
"1_42",1,8720,"Ballston Metro",1,4205,40
"1_42",1,8721,"Pentagon Metro",0,4205,39
"1_42",1,8722,"Ballston Metro",1,4205,40
"1_42",1,8723,"Pentagon Metro",0,4205,39
"1_42",1,8724,"Ballston Metro",1,4205,40
"1_42",1,8725,"Pentagon Metro",0,4205,39
"1_42",1,8726,"Ballston Metro",1,4205,40
"1_42",1,8727,"Pentagon Metro",0,4205,39
"1_42",1,8728,"Ballston Metro",1,4205,40
"1_87",3,9858,"Shirlington Station",0,8702,218
"1_87",3,9859,"Shirlington Station",0,8702,218
"1_87",3,9860,"Shirlington Station",0,8702,218
"1_87",3,9861,"Shirlington Station",0,8702,218
"1_87",3,9862,"Shirlington Station",0,8711,218
"1_87",3,9863,"Shirlington Station",0,8711,218
"1_87X",3,9864,"Shirlington Station",0,8711,234
"1_87X",3,9866,"Shirlington Station",0,8711,234
"1_87",3,9868,"Shirlington Station",0,8711,218
"1_87",3,9869,"Shirlington Station",0,8711,218
"1_87",3,9870,"Shirlington Station",0,8711,218
"1_87",3,9871,"Shirlington Station",0,8711,218
"1_87A",3,9872,"Pentagon Metro",0,8703,221
"1_87X",3,9873,"Shirlington Station",0,8703,234
"1_87A",3,9874,"Pentagon Metro",0,8703,221
"1_87A",3,9875,"Pentagon Metro",0,8704,221
"1_87X",3,9876,"Shirlington Station",0,8704,234
"1_87",3,9877,"Shirlington Station",0,8704,218
"1_87",3,9878,"Shirlington Station",0,8704,218
"1_87",3,9879,"Shirlington Station",0,8704,218
"1_87",3,9880,"Shirlington Station",0,8704,218
"1_87",3,9881,"Shirlington Station",0,8710,218
"1_87",3,9882,"Shirlington Station",0,8710,218
"1_87",3,9883,"Shirlington Station",0,8710,218
"1_87X",3,9884,"Shirlington Station",0,8710,234
"1_87X",3,9886,"Shirlington Station",0,8710,234
"1_87",3,9887,"Shirlington Station",0,8710,218
"1_87",3,9888,"Shirlington Station",0,8712,218
"1_87A",3,9889,"Pentagon Metro",0,8712,221
"1_87X",3,9890,"Shirlington Station",0,8712,234
"1_87X",3,9892,"Shirlington Station",0,8712,234
"1_87X",3,9893,"Shirlington Station",0,8712,234
"1_87",3,9894,"Shirlington Station",0,8712,218
"1_87",3,9895,"Shirlington Station",0,8712,218
"1_87",3,9896,"Shirlington Station",0,8712,218
"1_87X",3,9897,"Shirlington Station",0,8713,234
"1_87X",3,9899,"Shirlington Station",0,8713,234
"1_87",3,9900,"Shirlington Station",0,8713,218
"1_87",3,9901,"Pentagon Metro",1,8701,215
"1_87A",3,9902,"Pentagon Metro",1,8701,220
"1_87",3,9903,"Pentagon Metro",1,8701,215
"1_87A",3,9904,"Pentagon Metro",1,8701,220
"1_87",3,9905,"Pentagon Metro",1,8701,215
"1_87",3,9906,"Pentagon Metro",1,8701,215
"1_87",3,9907,"Pentagon Metro",1,8702,215
"1_87A",3,9908,"Pentagon Metro",1,8702,220
"1_87",3,9909,"Pentagon Metro",1,8702,215
"1_87A",3,9910,"Pentagon Metro",1,8702,220
"1_87",3,9911,"Pentagon Metro",1,8702,215
"1_87",3,9912,"Pentagon Metro",1,8702,215
"1_87",3,9913,"Pentagon Metro",1,8702,215
"1_87",3,9914,"Pentagon Metro",1,8702,215
"1_87",3,9915,"Pentagon Metro",1,8702,215
"1_87",3,9916,"Pentagon Metro",1,8711,215
"1_87",3,9917,"Pentagon Metro",1,8711,215
"1_87",3,9918,"Pentagon Metro",1,8711,215
"1_87",3,9919,"Pentagon Metro",1,8711,215
"1_87",3,9921,"Pentagon Metro",1,8711,215
"1_87",3,9923,"Pentagon Metro",1,8711,215
"1_87",3,9924,"Pentagon Metro",1,8711,215
"1_87",3,9925,"Pentagon Metro",1,8711,215
"1_87",3,9926,"Pentagon Metro",1,8703,215
"1_87A",3,9927,"Pentagon Metro",1,8703,220
"1_87",3,9928,"Pentagon Metro",1,8703,215
"1_87A",3,9929,"Pentagon Metro",1,8703,220
"1_87",3,9930,"Pentagon Metro",1,8704,215
"1_87A",3,9931,"Pentagon Metro",1,8704,220
"1_87",3,9932,"Pentagon Metro",1,8704,215
"1_87",3,9933,"Pentagon Metro",1,8704,215
"1_87",3,9934,"Pentagon Metro",1,8704,215
"1_87",3,9935,"Pentagon Metro",1,8704,215
"1_87",3,9936,"Pentagon Metro",1,8710,215
"1_87",3,9937,"Pentagon Metro",1,8710,215
"1_87",3,9938,"Pentagon Metro",1,8710,215
"1_87",3,9939,"Pentagon Metro",1,8710,215
"1_87",3,9940,"Pentagon Metro",1,8710,215
"1_87",3,9942,"Pentagon Metro",1,8710,215
"1_87X",3,9943,"Pentagon Metro",1,8712,235
"1_87A",3,9944,"Pentagon Metro",1,8712,220
"1_87",3,9945,"Pentagon Metro",1,8712,215
"1_87",3,9947,"Pentagon Metro",1,8712,215
"1_87",3,9948,"Pentagon Metro",1,8712,215
"1_87",3,9949,"Pentagon Metro",1,8712,215
"1_87",3,9950,"Pentagon Metro",1,8712,215
"1_87",3,9951,"Pentagon Metro",1,8713,215
"1_87A",3,9952,"Pentagon Metro",1,8713,220
"1_87",3,9953,"Pentagon Metro",1,8713,215
"1_87A",3,9954,"Pentagon Metro",0,8701,221
"1_87X",3,9955,"Shirlington Station",0,8701,234
"1_87A",3,9956,"Pentagon Metro",0,8701,221
"1_87X",3,9957,"Shirlington Station",0,8701,234
"1_87",3,9958,"Shirlington Station",0,8701,218
"1_87A",3,9959,"Pentagon Metro",0,8702,221
"1_87X",3,9960,"Shirlington Station",0,8702,234
"1_87A",3,9961,"Pentagon Metro",0,8702,221
"1_87X",3,9962,"Shirlington Station",0,8702,234
"1_87",3,9963,"Shirlington Station",0,8702,218
"1_87A",3,10173,"Pentagon Metro",1,8711,12
"1_87A",3,10174,"Pentagon Metro",1,8711,12
"1_87A",3,10175,"Pentagon Metro",1,8710,12
"1_87A",3,10176,"Pentagon Metro",1,8712,12
"1_87A",3,10177,"Pentagon Metro",0,8711,11
"1_87A",3,10178,"Pentagon Metro",0,8711,11
"1_87A",3,10179,"Pentagon Metro",0,8710,11
"1_87A",3,10180,"Pentagon Metro",0,8712,11
"1_87A",3,10181,"Pentagon Metro",0,8713,11
"1_87A",3,10182,"Pentagon Metro",1,8713,12
"1_87A",3,10183,"Pentagon Metro",1,8713,12
"1_87A",3,10184,"Pentagon Metro",0,8713,11
"1_87A",3,10185,"Pentagon Metro",0,8713,11
"1_87",1,10253,"Pentagon Metro",1,8705,215
"1_87",1,10254,"Pentagon Metro",1,8706,215
"1_87",1,10255,"Pentagon Metro",1,8705,215
"1_87",1,10256,"Pentagon Metro",1,8706,215
"1_87",1,10257,"Pentagon Metro",1,8705,215
"1_87",1,10258,"Pentagon Metro",1,8706,215
"1_87",1,10259,"Pentagon Metro",1,8705,215
"1_87",1,10260,"Pentagon Metro",1,8706,215
"1_87",1,10261,"Pentagon Metro",1,8705,215
"1_87",1,10262,"Pentagon Metro",1,8706,215
"1_87",1,10263,"Pentagon Metro",1,8705,215
"1_87",1,10264,"Pentagon Metro",1,8706,215
"1_87",1,10265,"Pentagon Metro",1,8705,215
"1_87",1,10266,"Pentagon Metro",1,8706,215
"1_87",1,10269,"Pentagon Metro",1,8715,215
"1_87",1,10270,"Pentagon Metro",1,8716,215
"1_87",1,10271,"Pentagon Metro",1,8715,215
"1_87",1,10272,"Pentagon Metro",1,8716,215
"1_87",1,10273,"Pentagon Metro",1,8715,215
"1_87",1,10274,"Pentagon Metro",1,8716,215
"1_87",1,10275,"Pentagon Metro",1,8715,215
"1_87",1,10276,"Pentagon Metro",1,8716,215
"1_87",1,10277,"Pentagon Metro",1,8715,215
"1_87",1,10278,"Pentagon Metro",1,8716,215
"1_87",1,10279,"Pentagon Metro",1,8715,215
"1_87",1,10280,"Pentagon Metro",1,8716,215
"1_87",1,10281,"Shirlington Station",0,8705,218
"1_87",1,10282,"Shirlington Station",0,8706,218
"1_87",1,10283,"Shirlington Station",0,8705,218
"1_87",1,10284,"Shirlington Station",0,8706,218
"1_87",1,10285,"Shirlington Station",0,8705,218
"1_87",1,10286,"Shirlington Station",0,8706,218
"1_87",1,10287,"Shirlington Station",0,8705,218
"1_87",1,10288,"Shirlington Station",0,8706,218
"1_87",1,10289,"Shirlington Station",0,8705,218
"1_87",1,10290,"Shirlington Station",0,8706,218
"1_87",1,10291,"Shirlington Station",0,8705,218
"1_87",1,10292,"Shirlington Station",0,8706,218
"1_87",1,10293,"Shirlington Station",0,8705,218
"1_87",1,10294,"Shirlington Station",0,8706,218
"1_87",1,10297,"Shirlington Station",0,8715,218
"1_87",1,10298,"Shirlington Station",0,8716,218
"1_87",1,10299,"Shirlington Station",0,8715,218
"1_87",1,10300,"Shirlington Station",0,8716,218
"1_87",1,10301,"Shirlington Station",0,8715,218
"1_87",1,10302,"Shirlington Station",0,8716,218
"1_87",1,10303,"Shirlington Station",0,8715,218
"1_87",1,10304,"Shirlington Station",0,8716,218
"1_87",1,10305,"Shirlington Station",0,8715,218
"1_87",1,10306,"Shirlington Station",0,8716,218
"1_87",1,10307,"Shirlington Station",0,8715,218
"1_87",1,10308,"Shirlington Station",0,8716,218
"1_41",3,10488,"Court House Metro",1,4104,15
"1_87",3,10489,"Shirlington Station",0,8714,218
"1_87X",3,10490,"Pentagon Metro",1,8714,235
"1_87",3,10491,"Shirlington Station",0,8714,218
"1_87X",3,10492,"Pentagon Metro",1,8714,235
"1_87",3,10493,"Shirlington Station",0,8714,218
"1_41",3,10494,"Court House Metro",1,4102,15
"1_41",3,10495,"Court House Metro",1,4103,15
"1_41",3,10496,"Court House Metro",1,4105,15
"1_41",3,10497,"Court House Metro",1,4101,15
"1_41",3,10498,"Court House Metro",1,4104,15
"1_41",3,10499,"Court House Metro",1,4102,15
"1_41",3,10500,"Court House Metro",1,4103,15
"1_41",3,10501,"Court House Metro",1,4105,15
"1_41",3,10502,"Court House Metro",1,4101,15
"1_41",3,10503,"Court House Metro",1,4104,15
"1_41",3,10504,"Court House Metro",1,4102,15
"1_41",3,10505,"Court House Metro",1,4105,15
"1_41",3,10506,"Court House Metro",1,4101,15
"1_41",3,10507,"Court House Metro",1,4104,15
"1_41",3,10508,"Court House Metro",1,4102,15
"1_41",3,10509,"Court House Metro",1,4105,15
"1_41",3,10510,"Court House Metro",1,4101,15
"1_41",3,10511,"Court House Metro",1,4104,15
"1_41",3,10550,"Columbia Pike & Dinwiddie",0,4101,14
"1_41",3,10551,"Columbia Pike & Dinwiddie",0,4102,14
"1_41",3,10552,"Columbia Pike & Dinwiddie",0,4103,14
"1_41",3,10553,"Columbia Pike & Dinwiddie",0,4101,14
"1_41",3,10554,"Columbia Pike & Dinwiddie",0,4104,14
"1_41",3,10555,"Columbia Pike & Dinwiddie",0,4102,14
"1_41",3,10556,"Columbia Pike & Dinwiddie",0,4103,14
"1_41",3,10557,"Columbia Pike & Dinwiddie",0,4105,14
"1_41",3,10558,"Columbia Pike & Dinwiddie",0,4101,14
"1_41",3,10559,"Columbia Pike & Dinwiddie",0,4104,14
"1_41",3,10560,"Columbia Pike & Dinwiddie",0,4102,14
"1_41",3,10561,"Columbia Pike & Dinwiddie",0,4103,14
"1_41",3,10562,"Columbia Pike & Dinwiddie",0,4105,14
"1_41",3,10563,"Columbia Pike & Dinwiddie",0,4101,14
"1_41",3,10564,"Columbia Pike & Dinwiddie",0,4104,14
"1_41",3,10566,"Columbia Pike & Dinwiddie",0,4105,14
"1_41",3,10567,"Columbia Pike & Dinwiddie",0,4101,14
"1_41",3,10568,"Columbia Pike & Dinwiddie",0,4104,14
"1_41",3,10569,"Columbia Pike & Dinwiddie",0,4102,14
"1_41",3,10570,"Columbia Pike & Dinwiddie",0,4105,14
"1_41",3,10571,"Columbia Pike & Dinwiddie",0,4101,14
"1_41",3,10572,"Columbia Pike & Dinwiddie",0,4104,14
"1_41",3,10614,"Court House Metro",1,4101,15
"1_41",3,10615,"Court House Metro",1,4101,15
"1_41",3,10616,"Court House Metro",1,4102,15
"1_41",3,10617,"Court House Metro",1,4103,15
"1_87",1,10662,"Shirlington Station",0,8706,218
"1_87",1,10663,"Pentagon Metro",1,8705,215
"1_87",1,10664,"Shirlington Station",0,8705,218
"1_87",1,10665,"Pentagon Metro",1,8706,215
"1_41",1,10683,"Court House Metro",1,4122,15
"1_41",1,10684,"Columbia Pike & Dinwiddie",0,4120,14
"1_41",2,10685,"Court House Metro",1,4153,15
"1_51",1,10688,"Ballston Metro",0,5118,35
"1_51",2,10689,"Ballston Metro",0,5109,35
"1_41",3,10691,"Columbia Pike & Dinwiddie",0,4112,14
"1_41",3,10692,"Columbia Pike & Dinwiddie",0,4102,14
"1_41",3,10693,"Columbia Pike & Dinwiddie",0,4105,14
"1_41",3,10694,"Columbia Pike & Dinwiddie",0,4111,14
"1_41",3,10695,"Columbia Pike & Dinwiddie",0,4112,14
"1_41",3,10697,"Columbia Pike & Dinwiddie",0,4114,14
"1_41",3,10698,"Columbia Pike & Dinwiddie",0,4111,14
"1_41",3,10699,"Columbia Pike & Dinwiddie",0,4115,14
"1_41",3,10700,"Columbia Pike & Dinwiddie",0,4112,14
"1_41",3,10701,"Columbia Pike & Dinwiddie",0,4113,14
"1_41",3,10702,"Columbia Pike & Dinwiddie",0,4114,14
"1_41",3,10703,"Columbia Pike & Dinwiddie",0,4111,14
"1_41",3,10704,"Columbia Pike & Dinwiddie",0,4115,14
"1_41",3,10705,"Columbia Pike & Dinwiddie",0,4112,14
"1_41",3,10706,"Columbia Pike & Dinwiddie",0,4113,14
"1_41",3,10707,"Columbia Pike & Dinwiddie",0,4114,14
"1_41",3,10708,"Columbia Pike & Dinwiddie",0,4111,14
"1_41",3,10709,"Columbia Pike & Dinwiddie",0,4115,14
"1_41",3,10710,"Columbia Pike & Dinwiddie",0,4112,14
"1_41",3,10711,"Columbia Pike & Dinwiddie",0,4113,14
"1_41",3,10712,"Columbia Pike & Dinwiddie",0,4114,14
"1_41",3,10713,"Columbia Pike & Dinwiddie",0,4111,14
"1_41",3,10714,"Columbia Pike & Dinwiddie",0,4115,14
"1_41",3,10715,"Columbia Pike & Dinwiddie",0,4112,14
"1_41",3,10716,"Columbia Pike & Dinwiddie",0,4113,14
"1_41",3,10717,"Columbia Pike & Dinwiddie",0,4114,14
"1_41",3,10718,"Columbia Pike & Dinwiddie",0,4116,14
"1_41",3,10719,"Columbia Pike & Dinwiddie",0,4115,14
"1_41",3,10720,"Columbia Pike & Dinwiddie",0,4117,14
"1_41",3,10721,"Columbia Pike & Dinwiddie",0,4116,14
"1_41",3,10722,"Columbia Pike & Dinwiddie",0,4117,14
"1_41",3,10723,"Columbia Pike & Dinwiddie",0,4116,14
"1_41",3,10724,"Columbia Pike & Dinwiddie",0,4117,14
"1_41",3,10725,"Columbia Pike & Dinwiddie",0,4116,14
