route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Red,regular,redloop1,Downtown to Willowbrook Rd,,,redloop1_shp
Red,regular,redloop2,Downtown to South Cumberland,,,redloop2_shp
Blue,regular,blueloop1,Downtown to White Oaks,,,blueloop1_shp
Blue,regular,blueloop2,Downtown to Willowbrook Rd,,,blueloop2_shp
Green,regular,greenloop1,Downtown to Bedford Rd,,,greenloop1_shp
Green,regular,greenloop2,"Downtown to LaVale, Mall, Cresaptown, and Cumberland",,,greenloop2_shp
Gold,regular,goldfirst,Downtown Express to Frostburg,,,goldfirst_shp
Gold,regular,goldregular,"Downtown to Mall, LaVale and Frostburg",,,gold_shp
Gold,nonfsu,goldnofsu,Mall to Frostburg,,,gold_shp
Gold,regular,goldlast,Frostburg to Cumberland Express,,,goldlast_shp
Purple,tuesfri,purple,"Downtown, Seton Dr, Mall, Westernport, Lonaconing, Midland",,,purple_shp
FSUDay,fsu,fsuday,FSU Campus Loop,,,fsuday_shp
FSUEvening,fsu,fsueveing,"FSU Campus, Frostburg, LaVale, Mall",,,fsueve_shp
FSUSaturday,fsu,fsusat,"FSU Campus, Frostburg, LaVale, Mall",,,fsueve_shp
Morning,regular,morningsocumb,South Cumberland to Downtown,,,morningso_shp
Morning,regular,morningwillowbrook,Downtown to Willowbrook Rd,,,blueloop2_shp
Morning,regular,morninglavlae,"Downtown to LaVale, Mall,",,,morninglavale_shp
Morning,regular,morning frostburg,Mall to Frostburg to LaVale,,,morningfrost_shp
Morning,regular,morningcreasptown,Mall to Cresaptown and Cumberland,,,morningcreasp_shp
Morning,regular,morningmallexpress,Downtown to Dingle to Mall,,,mallexpress_shp
Evening,regular,eveningsocumb,South Cumberland to Downtown,,,morningso_shp
Evening,regular,eveningnaves,Downtown to Frederick St to Willowbrook Rd,,,bluegreen_shp
Evening,regular,eveningmallexpress,Downtown to Dingle to Mall,,,mallexpress_shp
Evening,regular,eveningwillowbrook,Downtown to Willowbrook Rd,,,evewillow_shp
Evening,regular,eveningsocombo,"Downtown to Oldtown Rd, White Oaks and South Cumberland",,,evesouthcumb_shp
Evening,regular,eveningfsufillin,Downtown to Mall and Frostburg,,,fsueve_shp
Evening,regular,eveninglast,Downtown to South Cumberland,,,evesouthcumb_shp
