route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
a0f1f124-5c77-41bb-b312-7242d49b2020,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"MSS","Main Street - South","",3,,483D8B,000000
cf821134-abca-4d66-bbc1-4023bbd2f205,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"PRG","Progress Street","",3,,556B2F,000000
9bc1d1b6-3772-475d-a41e-cf193502113f,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"TTT","Two Town Trolley","",3,,800080,FFFFFF
1dc9909d-79a7-4d0d-b91b-1365beaad132,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"UMS","University Mall","",3,,20B2AA,000000
a49d46f4-519b-4091-b53d-15781233b841,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"PHL","Patrick Henry - Late Nights","",3,,FF69B4,000000
4aa00e2f-6528-452d-b77b-74e19ab059c6,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"TCB","Toms Creek B","",3,,DC143C,000000
31c7d4ef-3113-409d-8648-9dfbde536d13,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"CRCH","Corporate Research Center/Hospital","",3,,DC143C,000000
ef69094a-e7eb-42e0-b3a1-9c318354e84c,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"HXP","Hokie Express","",3,,CD5C5C,000000
5e87fef4-644b-4403-bab2-5381d227d4ac,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"UCB","University City Blvd","",3,,228B22,000000
eb9ccc07-b97c-475a-965c-eef2c0766770,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"TC","Toms Creek","",3,,006400,FFFFFF
39a132bb-cb32-47ee-b2fb-57857b145c95,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"MSN","Main Street - North","",3,,4682B4,000000
0e85f99e-3be5-480f-a61c-2b18c55442e5,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"HDG","Harding Ave","",3,,DAA520,000000
02784abd-5808-4e5b-9742-07b3625b2664,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"CRC","Corporate Research Center","",3,,FF0000,000000
fbee5eab-b83c-4fa2-8cc5-ef3e4dcd7832,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"HWD","Hethwood","",3,,DAA520,000000
03982fd9-e886-4d32-ae54-1acd949e0e93,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"PHD","Patrick Henry","",3,,FF69B4,000000
310a62f0-5818-48ab-b2f2-0f2964a66329,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"BTC","BT Commuter","",3,,800080,FFFFFF
e278d03c-0f38-43d3-a95b-276244adb530,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"TE","The Explorer","",3,,0000FF,FFFFFF
4d82ebed-ef3b-4a9c-bdb0-53ceeea6ecb5,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"BTC","BT Commuter","",3,,800080,FFFFFF
2ab4b9cf-48e2-4b7b-8138-b09d050138e6,F1FB7E1D-9018-44B2-9016-8B624721B9E5,"TE","The Explorer","",3,,0000FF,FFFFFF
