stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1228,1228,Harrison Ave at Weston Pkwy,,35.828941,-78.769517,tta,
1313,1313,Dillard Dr at Walnut St,,35.755828,-78.740692,tta,
1360,1360,Harrison Ave at Homestead Dr,,35.8139,-78.776441,tta,
1361,1361,Harrison Ave at Dynasty Dr,,35.809522,-78.781567,tta,
1362,1362,Harrison Ave at Northwoods Market,,35.801085,-78.78311,tta,
1363,1363,Harrison Ave at Queen Elizabeth Dr,,35.796497,-78.7832,tta,
1364,1364,Harrison Ave at Johnson St,,35.793965,-78.783051,tta,
1365,1365,Academy St at Chatham St,,35.786811,-78.781112,tta,
1366,1366,Kildaire Farm Rd at Cornwall Rd,,35.775725,-78.781731,tta,
1369,1369,Maynard Rd at Hampton Valley Rd,,35.766912,-78.773829,tta,
1370,1370,Maynard Rd at Greenwood Cir,,35.765934,-78.76999,tta,
1371,1371,Maynard Rd at Tanglewood Dr,,35.767325,-78.767471,tta,
1372,1372,Maynard Rd at Ashe Ave,,35.768618,-78.764554,tta,
1373,1373,Maynard Rd at Collington Dr,,35.768943,-78.76409,tta,
1375,1375,Walnut St at Barnes & Noble,,35.770144,-78.761708,tta,
1376,1376,Walnut St at Sturdivant Dr,,35.766986,-78.757551,tta,
1377,1377,Donaldson Dr at Patrick Cir,,35.765778,-78.74889,tta,
1378,1378,Donaldson Dr at Nottingham Dr,,35.767158,-78.747797,tta,
1379,1379,Buck Jones Rd at Nottingham Dr,,35.768561,-78.740592,tta,
1380,1380,Buck Jones Rd at Nottingham Dr,,35.7687,-78.74082,tta,
1381,1381,Buck Jones Rd at Farm Gate Rd,,35.773299,-78.736283,tta,
1383,1383,Buck Jones Rd at Xebec Way,,35.783864,-78.723147,tta,
1385,1385,Buck Jones Rd at Farm Gate Rd,,35.773578,-78.736195,tta,
1386,1386,Buck Jones Rd at Barclay Dr,,35.778585,-78.731258,tta,
1388,1388,Nottingham Dr at Buck Jones Rd,,35.767787,-78.741484,tta,
1389,1389,Nottingham Dr at Harlon Dr,,35.76743,-78.746802,tta,
1390,1390,Donaldson Dr at Patrick Cir,,35.766085,-78.748603,tta,
1391,1391,Walnut St at Sturdivant Dr,,35.767139,-78.75744,tta,
1392,1392,Kildaire Farm Rd at Medcon Ct,,35.773103,-78.781593,tta,
1394,1394,Maynard Rd at Ellynn Dr,,35.766097,-78.770001,tta,
1397,1397,Kildaire Farm Rd at Cornwall Rd,,35.775978,-78.781533,tta,
1398,1398,Cary Train Station,,35.78826,-78.782201,tta,
1399,1399,Harrison Ave at Johnson St,,35.794064,-78.783239,tta,
1400,1400,Harrison Ave at Queen Elizabeth Dr,,35.796326,-78.783001,tta,
1403,1403,Harrison Ave at Dynasty Dr,,35.809938,-78.780848,tta,
1404,1404,Harrison Ave at Homestead Dr,,35.814189,-78.776387,tta,
1459,1459,NC 55 at High House Rd,,35.787481,-78.870655,tta,
1580,1580,Harrison Ave at Reedy Creek Rd,,35.816244,-78.77378,tta,
1581,1581,Harrison Ave at Reedy Creek Rd,,35.81658,-78.773769,tta,
1582,1582,Harrison Ave at Cary Pkwy,,35.818367,-78.772046,tta,
1583,1583,Maynard Rd at Tanglewood Dr,,35.767172,-78.76736,tta,
1585,1585,Nottingham Dr at Buck Jones Rd,,35.76766,-78.741799,tta,
1704,1704,Walnut St at Lawrence Rd,,35.764968,-78.752511,tta,
1705,1705,Walnut St at Nottingham Dr,,35.764906,-78.751559,tta,
1710,1710,Kildaire Farm Rd at Shirley Dr,,35.778411,-78.781737,tta,
1711,1711,Kildaire Farm Rd at Dowell Dr,,35.778596,-78.781546,tta,
1713,1713,Harrison Ave at Grande Heights Dr,,35.807935,-78.782637,tta,
1714,1714,Harrison Ave at Harrison Point Shopping Center,,35.805603,-78.782734,tta,
1775,1775,Academy St at Chatham St,,35.787,-78.781312,tta,
1789,1789,Buck Jones Rd at Orchard St,,35.780777,-78.728584,tta,
1880,1880,Buck Jones Rd at Barclay Dr,,35.778603,-78.730982,cat,
9061,9061,Buck Jones Rd at Portree Pl,,35.779731,-78.729789,cat,
9062,9062,Buck Jones Rd at Fieldspring Ln,,35.783548,-78.72371,cat,
9322,9322,Western Blvd at Hunt Club Ln,,35.78533,-78.71938,cat,
9325,9325,Buck Jones Rd at Chest Hill Dr,,35.781662,-78.726661,cat,
11001,11001,E Chatham St at Lake Dr (across),,35.791782,-78.766817,ctran,
11002,11002,E Chatham St at Lake Dr,,35.79138,-78.76689,ctran,
11003,11003,E Chatham St at S Walker St,,35.787326,-78.778919,ctran,
11004,11004,E Chatham St at N Academy St,,35.787482,-78.780637,ctran,
11005,11005,E Chatham St at S Academy St,,35.787245,-78.780883,ctran,
11014,11014,High House Rd at Old Apex Rd,,35.783332,-78.800759,ctran,
11015,11015,High House Rd at Sourwood Forest Ln,,35.783768,-78.806203,ctran,
11016,11016,High House Rd at Edgehill Pky,,35.783232,-78.807293,ctran,
11017,11017,Maynard Crossing at Kroger,,35.785375,-78.811681,ctran,
11018,11018,High House Rd at Castalia Dr,,35.784692,-78.818713,ctran,
11019,11019,High House Rd at Castalia Dr,,35.785084,-78.818656,ctran,
11020,11020,High House Rd at Bond Park Dr,,35.785924,-78.821656,ctran,
11021,11021,High House Rd at Bond Park Dr,,35.785351,-78.821245,ctran,
11022,11022,Bond Park at Cary Senior Center,,35.785597,-78.82631,ctran,
11024,11024,Buck Jones Rd at Grand Asia Market,,35.766238,-78.741393,ctran,
11025,11025,Buck Jones Rd at South Hills Mall,,35.765168,-78.742523,ctran,
11026,11026,Crossroads Blvd at Movie Theater,,35.758641,-78.735198,ctran,
11027,11027,Nottingham Dr at Karen Ct,,35.767204,-78.746206,ctran,
11028,11028,Green Level Rd W at Wellesley Trade Ln,,35.787696,-78.871823,ctran,
11030,11030,E Chatham St at Hunter St,,35.7875,-78.775516,ctran,
11031,11031,E Chatham St at Templeton St,,35.787737,-78.776578,ctran,
11032,11032,E Chatham St at E Circle Dr,,35.789167,-78.772768,ctran,
11033,11033,E Chatham St at W Circle Dr,,35.78961,-78.772994,ctran,
11034,11034,Dillard Dr at Meeting St,,35.75619,-78.743855,ctran,
11036,11036,High House Rd at Darbytown Pl,,35.783605,-78.814875,ctran,
11037,11037,Crossroads Plaza at Remington Grill,,35.76035,-78.740385,ctran,
11038,11038,Cary Towne Center Mall at Sears,,35.774365,-78.758085,ctran,
11039,11039,SE Maynard Rd at Cary Towne Blvd,,35.775608,-78.763996,ctran,
11040,11040,SE Maynard Rd at Cary Village Square,,35.777259,-78.764368,ctran,
11041,11041,SE Maynard Rd at Village Greenway,,35.780636,-78.763912,ctran,
11042,11042,SE Maynard Rd at East Cary Middle,,35.780977,-78.764367,ctran,
11043,11043,SE Maynard Rd at Sloan Dr,,35.784785,-78.76451,ctran,
11044,11044,SE Maynard Rd at Quinard Dr,,35.784798,-78.763915,ctran,
11045,11045,SE Maynard Rd at Freeman Center,,35.788252,-78.76412,ctran,
11046,11046,SE Maynard Rd at Tate St,,35.788195,-78.763644,ctran,
11047,11047,SE Maynard Rd at Chatham St,,35.790339,-78.763937,ctran,
11048,11048,SE Maynard Rd at Reed St,,35.790167,-78.763585,ctran,
11049,11049,NW Maynard Rd at Northwoods Market,,35.802313,-78.783379,ctran,
11050,11050,NE Maynard Rd at Reedy Creek Rd,,35.799986,-78.766753,ctran,
