route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
a,cht,A,MLK Jr Blvd / Northside,,3,http://www.townofchapelhill.org/index.aspx?page=707,00FFFF,
ccx,cht,CCX,Chatham County Express,,3,http://www.townofchapelhill.org/index.aspx?page=708,00FFFF,
cl,cht,CL,Colony Lake/Sage Rd/UNC Hospitals,,3,http://www.townofchapelhill.org/index.aspx?page=709,00FFFF,
cm,cht,CM,Carrboro/Merritt Mill Rd/Family Medicine,,3,http://www.townofchapelhill.org/index.aspx?page=710,00FFFF,
cpx,cht,CPX,Carrboro Plaza Express,,3,http://www.townofchapelhill.org/index.aspx?page=711,00FFFF,
cw,cht,CW,Carrboro/Weaver Street,,3,http://www.townofchapelhill.org/index.aspx?page=712,00FFFF,
d,cht,D,Culbreth Road/Franklin Street/Eastowne,,3,http://www.townofchapelhill.org/index.aspx?page=713,00FFFF,
dsat,cht,D SAT,Greenbridge/University Mall/Eastowne,,3,http://www.townofchapelhill.org/index.aspx?page=733,00FFFF,
dx,cht,DX,Old Durham/Old Sterling/Sage Road,,3,http://www.townofchapelhill.org/index.aspx?page=1141,00FFFF,
f,cht,F,Colony Woods/Franklin Street/McDougle School,,3,http://www.townofchapelhill.org/index.aspx?page=714,00FFFF,
fcx,cht,FCX,Friday Center Express,,3,http://www.townofchapelhill.org/index.aspx?page=715,00FFFF,
fg,cht,FG,Franklin St/University Mall/Colony Woods,,3,http://www.townofchapelhill.org/index.aspx?page=734,00FFFF,
g,cht,G,Booker Creek/University Mall/UNC Hospitals ,,3,http://www.townofchapelhill.org/index.aspx?page=716,00FFFF,
hs,cht,HS,Chapel Hill High/Rogers Rd/Morris Grove Elementary/Downtown,,3,http://www.townofchapelhill.org/index.aspx?page=717,00FFFF,
hu,cht,HU,UNC Hospitals/54 Park-and-Ride/Hedrick Building,,3,http://www.townofchapelhill.org/index.aspx?page=718,00FFFF,
j,cht,J,Carrboro/Downtown Chapel Hill/Jones Ferry Road,,3,http://www.townofchapelhill.org/index.aspx?page=719,00FFFF,
jfx,cht,JFX,Jones Ferry Road Express,,3,http://www.townofchapelhill.org/index.aspx?page=720,00FFFF,
jn,cht,JN,Estes Park/UNC Hospitals/Jones Ferry Road,,3,http://www.townofchapelhill.org/index.aspx?page=735,00FFFF,
n,cht,N,Estes Park/UNC Hospitals/Family Medicine,,3,http://www.townofchapelhill.org/index.aspx?page=722,00FFFF,
ns,cht,NS,Eubanks Road/Southern Village,,3,http://www.townofchapelhill.org/index.aspx?page=723,00FFFF,
nu,cht,NU,PR Lot/UNC Hospitals,,3,http://www.townofchapelhill.org/index.aspx?page=724,00FFFF,
px,cht,PX,Pittsboro Express,,3,http://www.townofchapelhill.org/index.aspx?page=1220,00FFFF,
ru,cht,RU,Campus Reverse Shuttle/Law School,,3,http://www.townofchapelhill.org/index.aspx?page=725,00FFFF,
s,cht,S,South Campus/NC 54 East Park & Ride,,3,http://www.townofchapelhill.org/index.aspx?page=726,00FFFF,
saferide-g,cht,SFRG,SafeRide-G,,3,http://www.townofchapelhill.org/index.aspx?page=739,00FFFF,
saferide-j,cht,SFRJ,SafeRide-J,,3,http://www.townofchapelhill.org/index.aspx?page=740,00FFFF,
saferide-t,cht,SFRT,SafeRide-T,,3,http://www.townofchapelhill.org/index.aspx?page=741,00FFFF,
t,cht,T,Martin Luther King Jr Blvd/UNC Hospital,,3,http://www.townofchapelhill.org/index.aspx?page=728,00FFFF,
tsat,cht,T SAT,Martin Luther King Jr Blvd/UNC Hospital,,3,http://www.townofchapelhill.org/index.aspx?page=737,00FFFF,
u,cht,U,Campus Shuttle/UNC/Downtown,,3,http://www.townofchapelhill.org/index.aspx?page=729,00FFFF,
v,cht,V,Southern Village/Meadowmont,,3,http://www.townofchapelhill.org/index.aspx?page=730,00FFFF,
