stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
3000,3000,Fountain Ridge Rd at Overland Dr,,35.936758,-79.00819,cht,
3001,3001,Summerfield Crossing Rd at Gristmill Ln,,35.943652,-79.025334,cht,
3002,3002,Fountain Ridge Rd at Highview Dr,,35.936563,-79.00405,cht,
3012,3012,Ephesus Church Rd at Sharon Rd,,35.93193,-79.00535,cht,
3013,3013,Raleigh Rd at Finley Golf Course Rd,,35.90665,-79.01999,cht,
3014,3014,Raleigh at Burning Tree,,35.90659,-79.0192,cht,
3015,3015,Fountian Ridge Rd at Colony Woods Dr,,35.936496,-79.00223,cht,
3016,3016,Colony Woods Dr at White Plains Rd,,35.931237,-79.00191,cht,
3017,3017,Colony Woods Dr at Overland Dr,,35.934056,-79.00187,cht,
3024,3024,NC 54 Park-and-Ride Lot,,35.89639,-79.01235,cht,
3025,3025,Friday Center Dr at Hedrick Shelter,,35.89518,-79.01341,cht,
3026,3026,Friday Center Dr at Finley Forest Park,,35.89921,-79.01103,cht,
3027,3027,Friday Center Dr at Friday Center,,35.89962,-79.01127,cht,
3028,3028,Raleigh St at Lewis Hall,,35.91249,-79.04739,cht,
3029,3029,Raleigh St at Mangum Hall,,35.91238,-79.04745,cht,
3030,3030,Hillsborough St at Delta Zeta,,35.91978,-79.05156,cht,
3031,3031,Hillsborough St at Townhouse Apts,,35.91973,-79.05161,cht,
3032,3032,Hillsborough St at Brookside Condos,,35.92338,-79.05177,cht,
3033,3033,Pritchard Ave Ext at Trinity Ct,,35.91984,-79.060897,cht,
3034,3034,Weaver Dairy Rd at Kingston,,35.96386,-79.05269,cht,
3035,3035,Village Dr at Estes Dr,,35.922708,-79.070837,cht,
3036,3036,Village Dr at Fernwood Ln,,35.92069,-79.06731,cht,
3037,3037,Village Dr at Winding Creek,,35.921934,-79.065863,cht,
3038,3038,Village Dr at Winding Creek,,35.921691,-79.066091,cht,
3039,3039,Umstead Dr at Bolinwood Apts,,35.92266,-79.06505,cht,
3040,3040,Umstead Dr at Umstead Park,,35.921795,-79.062344,cht,
3041,3041,Umstead Dr at Umstead Park,,35.921657,-79.06223,cht,
3042,3042,BPW Club Rd at Smith Level Rd,,35.89544,-79.077,cht,
3043,3043,Smith Level Rd at Public Works Dept,,35.90044,-79.07396,cht,
3044,3044,Smith Level Rd at Willow Oak Ln,,35.89818,-79.07514,cht,
3045,3045,W Franklin St at N Graham St,,35.90996,-79.06418,cht,
3046,3046,Longview St at N Columbia St,,35.919634,-79.06013,cht,
3047,3047,Pritchard Ave at Longview St,,35.919471,-79.060869,cht,
3048,3048,Longview St at N Columbia St,,35.919609,-79.059814,cht,
3049,3049,N Columbia St at Isley St,,35.918813,-79.059302,cht,
3050,3050,N Columbia St at Isley St,,35.918744,-79.059131,cht,
3051,3051,Caldwell St at N Columbia St,,35.91804,-79.059387,cht,
3052,3052,N Columbia St at Town Hall,,35.91652,-79.05785,cht,
3053,3053,Martin Luther King Jr Blvd at YMCA,,35.9336,-79.05572,cht,
3054,3054,Airport Dr at Martin Luther King Jr Blvd,,35.932321,-79.056307,cht,
3056,3056,Barclay Rd at Justice St,,35.930058,-79.056031,cht,
3058,3058,PR Lot,,35.93058,-79.0649,cht,
3059,3059,Ephesus Church Rd at Tinkerbell Rd,,35.932705,-79.012285,cht,
3060,3060,Ephesus Church Rd at Ephesus School,,35.932522,-79.016286,cht,
3061,3061,Ephesus Church Rd at Eden Ln,,35.93234,-79.01639,cht,
3062,3062,Ephesus Church Rd at Frances St,,35.93256,-79.0184,cht,
3063,3063,Ephesus Church Rd at Kings Arms Apts,,35.933114,-79.01933,cht,
3064,3064,Ephesus Church Rd at Hamlin Park Con,,35.934143,-79.020809,cht,
3066,3066,Ephesus Church Rd at Colony Apts 1,,35.93413,-79.02088,cht,
3067,3067,Ephesus Church Rd at Legion Rd,,35.935013,-79.021662,cht,
3068,3068,Ephesus Church Rd at Holiday Inn,,35.9352,-79.02216,cht,
3069,3069,Elliott Rd at Burger King,,35.93242,-79.02546,cht,
3070,3070,Elliott Rd at Burger King,,35.93237,-79.02542,cht,
3071,3071,Martin Luther King Jr Blvd at Stateside Dr,,35.95474,-79.05809,cht,
3073,3073,Banks Dr at Timberlyne Movie Theatre,,35.96178,-79.05528,cht,
3074,3074,N Lakeshore Dr at Rock Creek Rd,,35.941159,-79.040045,cht,
3075,3075,N Lakeshore Dr at Rock Creek Rd,,35.940801,-79.039789,cht,
3076,3076,Curtis Rd at S Lakeshore Dr,,35.93996,-79.03986,cht,
3077,3077,Curtis Rd at S Lakeshore Dr,,35.939652,-79.040231,cht,
3078,3078,Curtis Rd at Lyons Rd,,35.93798,-79.04136,cht,
3079,3079,Weaver Dairy Rd at Timberlyne Shopping Center,,35.96399,-79.05411,cht,
3080,3080,Eubanks Rd at Northwood Dr,,35.96946,-79.06623,cht,
3081,3081,Martin Luther King Jr Blvd at Northampton Plaza,,35.91839,-79.0563,cht,
3082,3082,Martin Luther King Jr Blvd at Adelaide Walters Apts,,35.91825,-79.05655,cht,
3083,3083,Weaver Dairy Rd at Steeplechase Rd,,35.96205,-79.03694,cht,
3084,3084,Village Dr at Oakland Dr,,35.921346,-79.069654,cht,
3085,3085,Village Dr at Oakland Dr,,35.92122,-79.06938,cht,
3086,3086,Martin Luther King Jr Blvd at Northwood Dr,,35.96478,-79.05888,cht,
3087,3087,Merritt Mill Rd at Manley Estates,,35.90188,-79.06789,cht,
3088,3088,Bradley Rd at Williams Cir,,35.92603,-79.05821,cht,
3089,3089,Umstead Dr at Pritchard Ave Ext,,35.922615,-79.06042,cht,
3090,3090,Bradley Rd at Reade Rd,,35.92488,-79.05757,cht,
3091,3091,Martin Luther King Jr Blvd at Riggsbee Mobile Home Park,,35.959717,-79.057167,cht,
3092,3092,Weaver Dairy Rd at Sunrise Ln,,35.96171,-79.03396,cht,
3093,3093,Barclay Rd at Williams Circle,,35.92949,-79.05832,cht,
3094,3094,Barclay Rd at Williams Circle,,35.92936,-79.05827,cht,
3095,3095,Weiner St at Barclay Rd,,35.92726,-79.06311,cht,
3096,3096,Weiner St at Severin St,,35.92677,-79.06341,cht,
