route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
a,1CHWKD,cht_a_1_20120110_1-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_1-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_1-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_10-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_10-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_10-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_11-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_11-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_11-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_12-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_12-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_12-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_13-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_13-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_13-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_14-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_14-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_14-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_15-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_15-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_15-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_16-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_16-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_16-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_17-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_17-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_17-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_18-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_18-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_18-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_19-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_19-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_19-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_2-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_2-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_2-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_20-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_20-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_20-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_21-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_21-2CHWKD,Weiner-Severin,0,,
a,3CHRED,cht_a_1_20120110_21-3CHRED,Weiner-Severin,0,,
a,1CHWKD,cht_a_1_20120110_3-1CHWKD,Weiner-Severin,0,,
a,2CHWKD,cht_a_1_20120110_3-2CHWKD,Weiner-Severin,0,,
