service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
F-1309-FFAL2013-Sunday-01,0,0,0,0,0,0,1,20140126,20140202
F-1309-FFAL2013-Mon-Thu-01,1,1,1,1,0,0,0,20140127,20140130
F-1309-FFAL2013-Friday-01,0,0,0,0,1,0,0,20140131,20140131
F-1309-FFAL2013-Saturday-01,0,0,0,0,0,1,0,20140201,20140201
F-1309-FWIN2013-Mon-Thu-01,1,1,1,1,0,0,0,20140203,20140522
F-1309-FWIN2013-Friday-01,0,0,0,0,1,0,0,20140207,20140516
F-1309-FWIN2013-Saturday-01,0,0,0,0,0,1,0,20140208,20140517
F-1309-FWIN2013-Sunday-01,0,0,0,0,0,0,1,20140209,20140518
N-1311-NFAL1311-Sunday-03,0,0,0,0,0,0,1,20140126,20140615
N-1311-NFAL1311-Weekday-06,1,1,1,1,1,0,0,20140127,20140620
N-1311-NFAL1311-Saturday-03,0,0,0,0,0,1,0,20140201,20140621
N-1311-NFAL1311-Holiday1-11,1,1,1,1,1,1,1,20140526,20140526
N-1311-NFAL1311-Holiday1-11-1111111,1,1,1,1,1,1,1,20140526,20140526
R-1311-RFAL1311-Sunday-05,0,0,0,0,0,0,1,20140126,20140615
R-1311-RFAL1311-Mon-Thu-05,1,1,1,1,0,0,0,20140127,20140619
R-1311-RFAl1311-Friday-05,0,0,0,0,1,0,0,20140131,20140620
R-1311-RFAL1311-Saturday-05,0,0,0,0,0,1,0,20140201,20140621
R-1311-RFAL1311-Holiday1-11,1,1,1,1,1,1,1,20140526,20140526
R-1311-RFAL1311-Holiday1-11-1111111,1,1,1,1,1,1,1,20140526,20140526
S-1311-SFAL2013-Sunday-15,0,0,0,0,0,0,1,20140126,20140615
S-1311-SFAL2013-Mon-Thu-15,1,1,1,1,0,0,0,20140127,20140619
S-1311-SFAL2013-Friday-15,0,0,0,0,1,0,0,20140131,20140620
S-1311-SFAL2013-Saturday-15,0,0,0,0,0,1,0,20140201,20140621
S-1311-SFAL2013-Holiday1-11,1,1,1,1,1,1,1,20140526,20140526
S-1311-SFAL2013-Holiday1-11-1111111,1,1,1,1,1,1,1,20140526,20140526
V-1311-VFAL2013-Sunday-02,0,0,0,0,0,0,1,20140126,20140615
V-1311-VFAL2013-Mon-Thu-02,1,1,1,1,0,0,0,20140127,20140619
V-1311-VFAL2013-Friday-02,0,0,0,0,1,0,0,20140131,20140620
V-1311-VFAL2013-Saturday-02,0,0,0,0,0,1,0,20140201,20140621
V-1311-VFAL2013-Holiday1-11,1,1,1,1,1,1,1,20140526,20140526
V-1311-VFAL2013-Holiday1-11-1111111,1,1,1,1,1,1,1,20140526,20140526
