route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
4679,1,001,SINAI - FORT McHENRY,,3,,0000FF,FFFFFF
4680,1,003,SHEPPARD PRATT/CROMWELL-DOWNTOWN,,3,,0000FF,FFFFFF
4681,1,004,TURNERS STATION - C C B C ESSEX,,3,,0000FF,FFFFFF
4682,1,005,MONDAWMIN - CEDONIA,,3,,0000FF,FFFFFF
4683,1,007,MONDAWMIN - CANTON,,3,,0000FF,FFFFFF
4684,1,008,LUTHERVILLE - UMTC,,3,,0000FF,FFFFFF
4685,1,009,LUTHERVILLE-INTERNATIONAL CIRCLE,,3,,0000FF,FFFFFF
4686,1,010,RT. 40/ROLLING - BULLNECK RD.,,3,,0000FF,FFFFFF
4687,1,011,TOWSONTOWNE - CANTON CROSSING,,3,,0000FF,FFFFFF
4688,1,012,STELLA MARIS - NORTH AVE,,3,,0000FF,FFFFFF
4689,1,013,CANTON/FELLS POINT - WALBROOK,,3,,0000FF,FFFFFF
4690,1,014,UMTC/PATAPSCO - ANNAPOLIS,,3,,0000FF,FFFFFF
4691,1,015,SECURITY MALL - OVERLEA/PERRY HALL,,3,,0000FF,FFFFFF
4692,1,016,MONDAWMIN - BROOKLYN HOMES,,3,,0000FF,FFFFFF
4693,1,017,PATAPSCO STATION-PARKWAY CENTER,,3,,0000FF,FFFFFF
4694,1,018,GLEN - BAAS & TALMUDICAL,,3,,800080,FFFFFF
4695,1,019,STATE CENTER - GOUCHER/CARNEY,,3,,0000FF,FFFFFF
4696,1,020,SECURITY SQUARE MALL  -  DUNDALK,,3,,0000FF,FFFFFF
4697,1,021,FELLS POINT - MONDAWMIN,,3,,0000FF,FFFFFF
4698,1,022,BAYVIEW - MONDAWMIN,,3,,0000FF,FFFFFF
4699,1,023,RT40 & ROLLING - FOX RIDGE,,3,,0000FF,FFFFFF
4700,1,024,WHISPERING WOODS - MORAVIA,,3,,0000FF,FFFFFF
4701,1,027,PLAZA STATION - PORT COVINGTON,,3,,0000FF,FFFFFF
4702,1,029,CHERRY HILL STATION SHUTTLE,,3,,0000FF,FFFFFF
