route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1300,MCRO,  1,Route 1,Route 1 operates Monday-Sunday,3,http://www.montgomerycountymd.gov/content/dot/transit/routesandschedules/allroutes/route001.asp,808000,FFFFFF
1301,MCRO,  2,Route 2,Route 2 operates Monday-Sunday,3,http://www.montgomerycountymd.gov/content/dot/transit/routesandschedules/allroutes/route002.asp,C0DCC0,FFFFFF
1302,MCRO,  3,Route 3,Route 3 operates Monday-Friday peak,3,http://www.montgomerycountymd.gov/content/dot/transit/routesandschedules/allroutes/route003.asp,800080,FFFFFF
1303,MCRO,  4,Route 4,Route 4 operates Monday-Friday,3,http://www.montgomerycountymd.gov/content/dot/transit/routesandschedules/allroutes/route004.asp,00FF00,FFFFFF
1304,MCRO,  5,Route 5,Route 5 operates Monday-Sunday,3,http://www.montgomerycountymd.gov/content/dot/transit/routesandschedules/allroutes/route005.asp,FFFF00,FFFFFF
1305,MCRO,  6,Route 6,Route 6 operates Monday-Friday,3,http://www.montgomerycountymd.gov/content/dot/transit/routesandschedules/allroutes/route006.asp,00FFFF,FFFFFF
1306,MCRO,  7,Route 7,Route 7 operates Monday-Friday - Peak hours only,3,http://www.montgomerycountymd.gov/content/dot/transit/routesandschedules/allroutes/route007.asp,FF00FF,FFFFFF
1307,MCRO,  8,Route 8,Route 8 operates Monday-Saturday,3,http://www.montgomerycountymd.gov/content/dot/transit/routesandschedules/allroutes/route008.asp,800080,FFFFFF
1308,MCRO,  9,Route 9,Route 9 operates Monday-Sunday,3,http://www.montgomerycountymd.gov/content/dot/transit/routesandschedules/allroutes/route009.asp,00FFFF,FFFFFF
1309,MCRO, 10,Route 10,Route 10 operates Monday-Sunday,3,http://www.montgomerycountymd.gov/content/dot/transit/routesandschedules/allroutes/route010.asp,00FFFF,FFFFFF
1310,MCRO, 11,Route 11,Route 11 operates only from Silver Spring to Friendship Heights in the morning and from Friendship Heights to Silver Spring in the afternoon weekdays only.,3,http://www.montgomerycountymd.gov/content/dot/transit/routesandschedules/allroutes/route011.asp,DF0070,FFFFFF
1311,MCRO, 12,Route 12,Route 12 operates Monday-Sunday,3,http://www.montgomerycountymd.gov/content/dot/transit/routesandschedules/allroutes/route012.asp,FF80C0,FFFFFF
