"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"tta_100_1_20120813_1-1TWKD","06:30:00","06:30:00","1000","1","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","06:33:00","06:33:00","1220","2","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","06:33:00","06:33:00","1519","3","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","06:39:00","06:39:00","1576","4","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","06:41:00","06:41:00","1577","5","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","06:58:00","06:58:00","1496","6","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","06:58:00","06:58:00","1548","7","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","06:59:00","06:59:00","1186","8","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:01:00","07:01:00","1187","9","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:02:00","07:02:00","8597","10","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:02:00","07:02:00","8598","11","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:03:00","07:03:00","8273","12","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:04:00","07:04:00","8274","13","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:06:00","07:06:00","8276","14","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:07:00","07:07:00","8277","15","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:10:00","07:10:00","8280","16","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:11:00","07:11:00","1199","17","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:13:00","07:13:00","1201","18","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:14:00","07:14:00","9483","19","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:16:00","07:16:00","1703","20","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:18:00","07:18:00","8063","21","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_1-1TWKD","07:20:00","07:20:00","8001","22","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","12:30:00","12:30:00","1000","1","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","12:33:00","12:33:00","1220","2","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","12:33:00","12:33:00","1519","3","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","12:39:00","12:39:00","1576","4","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","12:41:00","12:41:00","1577","5","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:01:00","13:01:00","1496","6","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:01:00","13:01:00","1548","7","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:02:00","13:02:00","1186","8","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:05:00","13:05:00","1187","9","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:06:00","13:06:00","8597","10","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:06:00","13:06:00","8598","11","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:07:00","13:07:00","8273","12","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:08:00","13:08:00","8274","13","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:09:00","13:09:00","8276","14","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:10:00","13:10:00","8277","15","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:12:00","13:12:00","8280","16","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:13:00","13:13:00","1199","17","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:15:00","13:15:00","1201","18","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:15:00","13:15:00","9483","19","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:17:00","13:17:00","1703","20","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:18:00","13:18:00","8063","21","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_10-1TWKD","13:20:00","13:20:00","8001","22","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","13:30:00","13:30:00","1000","1","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","13:33:00","13:33:00","1220","2","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","13:33:00","13:33:00","1519","3","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","13:39:00","13:39:00","1576","4","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","13:41:00","13:41:00","1577","5","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:01:00","14:01:00","1496","6","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:01:00","14:01:00","1548","7","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:02:00","14:02:00","1186","8","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:05:00","14:05:00","1187","9","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:06:00","14:06:00","8597","10","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:06:00","14:06:00","8598","11","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:07:00","14:07:00","8273","12","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:08:00","14:08:00","8274","13","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:09:00","14:09:00","8276","14","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:10:00","14:10:00","8277","15","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:12:00","14:12:00","8280","16","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:13:00","14:13:00","1199","17","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:15:00","14:15:00","1201","18","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:15:00","14:15:00","9483","19","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:17:00","14:17:00","1703","20","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:18:00","14:18:00","8063","21","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_11-1TWKD","14:20:00","14:20:00","8001","22","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","14:30:00","14:30:00","1000","1","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","14:33:00","14:33:00","1220","2","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","14:33:00","14:33:00","1519","3","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","14:39:00","14:39:00","1576","4","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","14:41:00","14:41:00","1577","5","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:01:00","15:01:00","1496","6","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:01:00","15:01:00","1548","7","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:02:00","15:02:00","1186","8","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:05:00","15:05:00","1187","9","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:06:00","15:06:00","8597","10","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:06:00","15:06:00","8598","11","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:07:00","15:07:00","8273","12","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:08:00","15:08:00","8274","13","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:09:00","15:09:00","8276","14","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:10:00","15:10:00","8277","15","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:12:00","15:12:00","8280","16","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:13:00","15:13:00","1199","17","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:15:00","15:15:00","1201","18","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:15:00","15:15:00","9483","19","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:17:00","15:17:00","1703","20","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:18:00","15:18:00","8063","21","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_12-1TWKD","15:20:00","15:20:00","8001","22","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_13-1TWKD","15:30:00","15:30:00","1000","1","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_13-1TWKD","15:33:00","15:33:00","1220","2","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_13-1TWKD","15:33:00","15:33:00","1519","3","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_13-1TWKD","15:39:00","15:39:00","1576","4","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_13-1TWKD","15:41:00","15:41:00","1577","5","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_13-1TWKD","16:01:00","16:01:00","1496","6","RDU Airport and Raleigh","0","0",""
"tta_100_1_20120813_13-1TWKD","16:01:00","16:01:00","1548","7","RDU Airport and Raleigh","0","0",""
