stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1000,1000,Regional Transit Center (RTC),,35.874507,-78.838009,tta,
1029,1029,Renaissance Pkwy at Leonardo Dr,,35.901279,-78.956584,tta,
1030,1030,Renaissance Pkwy at The Lodge Apts,,35.902769,-78.952381,tta,
1035,1035,Davis Dr at Park Knoll Dr,,35.873033,-78.862718,tta,
1036,1036,Davis Dr at Eisai,,35.870132,-78.866939,tta,
1038,1038,Davis Dr at Delta,,35.860431,-78.873054,tta,
1039,1039,Kit Creek Rd at Davis Dr,,35.855987,-78.869254,tta,
1072,1072,Old Chapel Hill Rd at Garrett Rd,,35.949553,-78.967596,tta,
1074,1074,University Dr at American Red Cross,,35.952461,-78.96611,tta,
1075,1075,University Dr at Ivy Creek Blvd,,35.959587,-78.963902,tta,
1078,1078,Erwin Rd at Cameron Blvd,,35.999679,-78.952462,tta,
1079,1079,TW Alexander Dr at Talecris,,35.901279,-78.879719,tta,
1080,1080,TW Alexander Dr at Research Commons,,35.907159,-78.87791,tta,
1081,1081,TW Alexander Dr at UAI,,35.913262,-78.877819,tta,
1083,1083,TW Alexander Dr at EMC,,35.919113,-78.876231,tta,
1084,1084,Cornwallis Rd at MCNC,,35.919327,-78.873129,tta,
1085,1085,Cornwallis Rd at GSK,,35.914165,-78.867795,tta,
1104,1104,Trent St at Erwin Rd,,36.008588,-78.933797,tta,
1105,1105,Erwin Rd at VA Hospital,,36.008316,-78.937756,tta,
1107,1107,Erwin Rd at Cameron Blvd,,35.999002,-78.952947,tta,
1143,1143,NC 54 at Friday Center Dr,,35.902478,-79.010437,tta,
1144,1144,NC 54 at Falconbridge Rd,,35.910285,-78.986678,tta,
1145,1145,NC 54 at Leigh Farm Rd,,35.914814,-78.979054,tta,
1146,1146,NC 54 at Copper Ridge Dr,,35.918083,-78.964677,tta,
1151,1151,Woodcroft Pkwy at Highgate Dr,,35.922215,-78.936406,tta,
1152,1152,Woodcroft Pkwy at Fayetteville Rd,,35.923688,-78.928024,tta,
1160,1160,NC 54 at Blanchard Rd,,35.902634,-78.906531,tta,
1161,1161,NC 54 at Residence Inn Blvd,,35.902581,-78.8983,tta,
1171,1171,NC 54 at Blanchard Rd,,35.902797,-78.906221,tta,
1175,1175,NC 54 at Fayetteville Rd,,35.910257,-78.932714,tta,
