stop_id,stop_name,stop_lat,stop_lon
1,Lennon Dr (SB) at Lennon Woods Apartments,34.248489,-77.876107
2,Lennon Dr (SB) at Market St,34.245704,-77.875278
3,Market St (WB) at Bonefish Grill,34.244917,-77.877617
4,Market St (WB) at Red Roof Inn ,34.244374,-77.880821
5,Market St (WB) at America's BV Inn,34.243591,-77.885416
6,Market St (WB) at N Kerr Ave,34.243033,-77.888605
7,Market St (WB) at Princess Place Dr (Church's Chicken),34.242351,-77.892638
8,Market St (WB) at Barclay Hills Dr,34.241677,-77.896585
9,Market St (WB) at Quality Car Wash ,34.240999,-77.900545
10,Market St (WB) at 30th St (YMCA),34.239956,-77.906743
11,Market St (WB) at 29th St (Econolodge),34.239195,-77.911334
12,Market St (WB) at Kenwood Dr,34.238431,-77.91574
13,Market St (WB) at Port City Java,34.237703,-77.920672
14,Market St (WB) at 19th St,34.237368,-77.924809
15,Market St (WB) at 16th St,34.23701,-77.929316
16,Ringo Dr (WB) at Lennon Woods Apartments,34.248934,-77.876955
17,Market St (WB) at 10th St (Family Dollar) ,34.236418,-77.936486
18,Market St (WB) at 9th St (Cape Fear Museum),34.236213,-77.938762
19,Market St (WB) at 4th St,34.235784,-77.944345
20,Sigmon Rd (NB) at Wal Mart,34.24402,-77.874895
21,Market St (EB) at 5th St ,34.235867,-77.941556
22,Market St (EB) at 9th St (Cape Fear Museum),34.236074,-77.939134
23,Market St (EB) at 12th St ,34.236434,-77.934787
24,Market St (EB) at 16th St ,34.236987,-77.928234
25,Market St (EB) at Port City Java ,34.237636,-77.920795
26,Market St (EB) at Forest Hills Dr ,34.238412,-77.915582
27,Market St (EB) at YMCA ,34.239069,-77.911546
28,Market St (EB) at Covil Ave (CVS),34.240344,-77.903813
29,Market St (EB) at Barclay Hills Dr,34.241477,-77.896998
30,Market St (EB) at Wetsig Rd,34.241764,-77.895322
31,Market St (EB) & Cinema Dr,34.242143,-77.893193
32,Market St (EB) at Kerr Ave (Food Lion Plaza),34.242825,-77.889143
33,Market St (EB) at Lullwater Dr (Miller Motte College),34.243796,-77.88357
34,Lennon Dr (NB) at Market St,34.245766,-77.875212
35,FORDEN STATION,34.251559,-77.879838
36,DOWNTOWN STATION,34.236343,-77.947553
38,South College (SB) at University Dr,34.226663,-77.879838
39,Princess Place Dr (WB) at Wachovia Bank,34.242937,-77.894304
40,Princess Place Dr (WB) at Tide Water Condominiums,34.243639,-77.898405
41,Princess Place Dr (WB) at Montgomery Dr (Mini-Mart),34.244042,-77.904928
42,Princess Place Dr (EB) at Clay St,34.243967,-77.903348
43,Princess Place Dr (WB) at Union Missionary Church,34.243826,-77.910394
44,Princess Place Dr (WB) at 25th St,34.243693,-77.915059
46,Princess Place Dr (WB) at 21st St,34.242802,-77.92326
47,Rankin St (WB) at 15th St ,34.241448,-77.930545
48,Rankin St (WB) at 11th St,34.241517,-77.935736
49,Rankin St (WB) at McCrae St,34.241774,-77.939585
50,McCrae St (NB) at Fanning St,34.245088,-77.939522
51,Nixon St (WB) at 8th St,34.249574,-77.940795
52,Nixon St (WB) at 5th St,34.249249,-77.944632
53,4th St (SB) at New Hanover Community Health Center,34.246525,-77.946009
55,4th St (NB) at New Hanover County Health Center,34.246344,-77.945899
56,Nixon St (EB) at 5th St,34.249241,-77.944784
57,Nixon St (EB) at 8th St ,34.249509,-77.941168
58,Nixon St (EB) at McCrae St,34.249601,-77.939967
59,McCrae St (SB) at Harnett St,34.247694,-77.939428
60,McRae St (SB) at Fanning St,34.245046,-77.939549
61,McCrae St (SB) at Campbell St ,34.243021,-77.939759
62,Rankin St (EB) at 11th St,34.241516,-77.936188
63,Rankin St (EB) at 13th St,34.241349,-77.933544
64,Rankin St (EB) at 16th St,34.241501,-77.929925
65,Princess Place Dr (EB) at 21st St ,34.242706,-77.923668
66,Princess Place Dr (EB) at 23rd St,34.24334,-77.920152
67,Princess Place Dr  (EB) at 30th St,34.243925,-77.907009
68,Princess Place Dr (EB) at Montgomery St,34.244002,-77.905172
69,Princess Place Dr (EB) at Mary C. Mosley ,34.243762,-77.899547
70,Princess Place Dr (EB) at  Barclay Hills Dr,34.243369,-77.897084
71,Gingerwood Dr (NB) at Costco Entrance,34.247444,-77.873238
72,Oriole Dr (EB) at Government Center Dr ,34.23797,-77.870106
73,Government Center Dr (NB) at Government Center,34.240185,-77.868482
74,Government Center Dr (EB) at Racine,34.240773,-77.8657
75,Racine Dr (SB) (Racine Commons),34.238297,-77.867031
76,Racine Dr (SB) at New Centre Dr (Clear Run Apts),34.23581,-77.868701
77,Racine Dr (SB) at New Center Dr (Brookstone Apts),34.233786,-77.870035
78,Racine Dr (SB) at Campus Edge Apts,34.232178,-77.871055
79,Randall Pkwy (WB) at UNCW Shelter,34.229332,-77.873514
80,Oriole Dr (WB) and College Rd,34.238273,-77.871054
85,Independence Blvd (NB) at Malpass Dr,34.226023,-77.904698
86,Wrightsville Ave (WB) at Kerr Ave,34.214585,-77.888042
87,Wrightsville Ave (WB) at Audubon Blvd (Salt Works),34.217699,-77.89352
