service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
4011_mutf_RGon,20130825,20130913,1,1,0,1,1,0,0
4075_muwtf_RRon,20130914,20131130,1,1,1,1,1,0,0
3953_u,20130825,20130913,0,1,0,0,0,0,0
3991_muwtf_REoff,20130825,20130913,0,0,0,0,0,0,0
4002_muwtf_RCoff,20130825,20130913,0,0,0,0,0,0,0
4014_w_RIon,20130914,20131130,0,0,1,0,0,0,0
3978_s,20130825,20130913,0,0,0,0,0,0,1
4054_ut_ROon,20130914,20131130,0,1,0,1,0,0,0
4020_mutf_RVon,20130914,20131130,1,1,0,1,1,0,0
3947_muwtf_RSon,20130825,20130913,1,1,1,1,1,0,0
4049_mw_RDon,20130914,20131130,1,0,1,0,0,0,0
4004_mutf_RFon,20130825,20130913,1,1,0,1,1,0,0
4045_ut_REon,20130914,20131130,0,1,0,1,0,0,0
4026_muwtf_RAoff,20130914,20131130,0,0,0,0,0,0,0
4078_muwtf_RToff,20130914,20131130,0,0,0,0,0,0,0
4016_muwtf_REoff,20130914,20131130,0,0,0,0,0,0,0
4007_ut_ROon,20130825,20130913,0,1,0,1,0,0,0
4050_w_RAon,20130914,20131130,0,0,1,0,0,0,0
3956_muwtf_RAoff,20130825,20130913,0,0,0,0,0,0,0
3961_mutf_RVon,20130825,20130913,1,1,0,1,1,0,0
4074_muwtf_RUoff,20130914,20131130,0,0,0,0,0,0,0
3942_mwtf,20130825,20130913,1,0,1,1,1,0,0
4077_muwtf_RPon,20130914,20131130,1,1,1,1,1,0,0
4032_f,20130914,20131130,0,0,0,0,1,0,0
4025_w_RGon,20130914,20131130,0,0,1,0,0,0,0
4035_mwtf,20130914,20131130,1,0,1,1,1,0,0
4064_muwtf_RRoff,20130914,20131130,0,0,0,0,0,0,0
3951_f,20130825,20130913,0,0,0,0,1,0,0
4034_mutf_RAon,20130914,20131130,1,1,0,1,1,0,0
4036_muwtf_RSon,20130914,20131130,1,1,1,1,1,0,0
3941_a,20130825,20130913,0,0,0,0,0,1,0
3997_muwtf_RLoff,20130825,20130913,0,0,0,0,0,0,0
4013_muwtf,20130825,20130913,1,1,1,1,1,0,0
3949_muwtf_RVoff,20130825,20130913,0,0,0,0,0,0,0
4072_mwf_REon,20130914,20131130,1,0,1,0,1,0,0
4062_w_RNon,20130914,20131130,0,0,1,0,0,0,0
4030_muwtf_RJoff,20130914,20131130,0,0,0,0,0,0,0
4003_muwtf_RIoff,20130825,20130913,0,0,0,0,0,0,0
3958_mut_RCon,20130825,20130913,1,1,0,1,0,0,0
3968_muwtf_RKoff,20130825,20130913,0,0,0,0,0,0,0
4086_muwtf_UMoff,20130914,20131130,0,0,0,0,0,0,0
