service_id,date,exception_type
3978_s,20130902,1
3993_s_AZon,20130902,1
3937_mutf_RNon,20130902,2
3942_mwtf,20130902,2
3943_muwtf_RTon,20130902,2
3944_muwtf_RAon,20130902,2
3945_mwf_ROon,20130902,2
3946_mutf_RAon,20130902,2
3947_muwtf_RSon,20130902,2
3950_muwtf_RVon,20130902,2
3952_muwtf_RUon,20130902,2
3955_muwtf_RGon,20130902,2
3958_mut_RCon,20130902,2
3959_muwtf_RIon,20130902,2
3960_muwtf_RLon,20130902,2
3961_mutf_RVon,20130902,2
3962_muwtf_RKon,20130902,2
3964_muwtf_RJon,20130902,2
3965_mutf_RUon,20130902,2
3967_muwtf_RPon,20130902,2
3969_mwf_REon,20130902,2
3970_mutf_RTon,20130902,2
3972_muwtf_RRon,20130902,2
3976_muwtf_RQon,20130902,2
3984_muwt,20130902,2
3995_muwtf_UMon,20130902,2
3998_mutf_RDon,20130902,2
4000_mutf_RRon,20130902,2
4004_mutf_RFon,20130902,2
4005_muwtf_PHon,20130902,2
4008_m_RQon,20130902,2
4010_mutf_RIon,20130902,2
4011_mutf_RGon,20130902,2
4013_muwtf,20130902,2
3980_muwtf_RSoff,20130905,1
3947_muwtf_RSon,20130905,2
3980_muwtf_RSoff,20130906,1
3947_muwtf_RSon,20130906,2
3980_muwtf_RSoff,20130911,1
3947_muwtf_RSon,20130911,2
4048_muwtf_RSoff,20130925,1
4036_muwtf_RSon,20130925,2
4046_a_FBon,20130928,1
4055_a_FBoff,20130928,2
4048_muwtf_RSoff,20130930,1
4036_muwtf_RSon,20130930,2
4048_muwtf_RSoff,20131001,1
4036_muwtf_RSon,20131001,2
4048_muwtf_RSoff,20131002,1
4036_muwtf_RSon,20131002,2
4048_muwtf_RSoff,20131003,1
4036_muwtf_RSon,20131003,2
4048_muwtf_RSoff,20131004,1
4036_muwtf_RSon,20131004,2
4046_a_FBon,20131005,1
4055_a_FBoff,20131005,2
4015_muwtf_RDoff,20131007,1
4016_muwtf_REoff,20131007,1
4019_muwtf_ROoff,20131007,1
4021_muwtf_RNoff,20131007,1
4026_muwtf_RAoff,20131007,1
4040_muwtf_RIoff,20131007,1
4047_muwtf_RCoff,20131007,1
4048_muwtf_RSoff,20131007,1
4051_mutf_RAoff,20131007,1
4064_muwtf_RRoff,20131007,1
4065_muwtf_RLoff,20131007,1
4071_muwtf_RVoff,20131007,1
4073_muwtf_RKoff,20131007,1
4074_muwtf_RUoff,20131007,1
4078_muwtf_RToff,20131007,1
4081_muwtf_RFoff,20131007,1
4083_muwtf_RGoff,20131007,1
4084_muwtf_RQoff,20131007,1
4017_mut_RCon,20131007,2
4020_mutf_RVon,20131007,2
4022_m_RQon,20131007,2
4023_mutf_RUon,20131007,2
4034_mutf_RAon,20131007,2
4036_muwtf_RSon,20131007,2
4041_muwtf_RVon,20131007,2
4042_muwtf_RTon,20131007,2
4043_mutf_RFon,20131007,2
4049_mw_RDon,20131007,2
4052_mutf_RGon,20131007,2
4056_mutf_RIon,20131007,2
4057_muwtf_RAon,20131007,2
4058_mwf_ROon,20131007,2
4059_mutf_RRon,20131007,2
4060_muwtf_RLon,20131007,2
4061_muwtf_RKon,20131007,2
4066_muwtf_RUon,20131007,2
4069_mutf_RNon,20131007,2
4072_mwf_REon,20131007,2
4075_muwtf_RRon,20131007,2
4079_muwtf_RIon,20131007,2
4082_muwtf_RGon,20131007,2
4085_muwtf_RQon,20131007,2
4087_mutf_RTon,20131007,2
4015_muwtf_RDoff,20131008,1
4016_muwtf_REoff,20131008,1
4019_muwtf_ROoff,20131008,1
4021_muwtf_RNoff,20131008,1
4026_muwtf_RAoff,20131008,1
4040_muwtf_RIoff,20131008,1
4047_muwtf_RCoff,20131008,1
4048_muwtf_RSoff,20131008,1
4051_mutf_RAoff,20131008,1
4064_muwtf_RRoff,20131008,1
4065_muwtf_RLoff,20131008,1
4071_muwtf_RVoff,20131008,1
4073_muwtf_RKoff,20131008,1
4074_muwtf_RUoff,20131008,1
4078_muwtf_RToff,20131008,1
4081_muwtf_RFoff,20131008,1
4083_muwtf_RGoff,20131008,1
4084_muwtf_RQoff,20131008,1
4017_mut_RCon,20131008,2
4020_mutf_RVon,20131008,2
4023_mutf_RUon,20131008,2
4031_utf_RDon,20131008,2
4034_mutf_RAon,20131008,2
4036_muwtf_RSon,20131008,2
4041_muwtf_RVon,20131008,2
4042_muwtf_RTon,20131008,2
4043_mutf_RFon,20131008,2
4045_ut_REon,20131008,2
4052_mutf_RGon,20131008,2
4054_ut_ROon,20131008,2
4056_mutf_RIon,20131008,2
4057_muwtf_RAon,20131008,2
4059_mutf_RRon,20131008,2
4060_muwtf_RLon,20131008,2
4061_muwtf_RKon,20131008,2
4066_muwtf_RUon,20131008,2
4069_mutf_RNon,20131008,2
4070_uwtf_RQon,20131008,2
4075_muwtf_RRon,20131008,2
4079_muwtf_RIon,20131008,2
4082_muwtf_RGon,20131008,2
4085_muwtf_RQon,20131008,2
4087_mutf_RTon,20131008,2
4015_muwtf_RDoff,20131009,1
4016_muwtf_REoff,20131009,1
4019_muwtf_ROoff,20131009,1
4021_muwtf_RNoff,20131009,1
4026_muwtf_RAoff,20131009,1
4040_muwtf_RIoff,20131009,1
4047_muwtf_RCoff,20131009,1
4048_muwtf_RSoff,20131009,1
4053_w_RAoff,20131009,1
4064_muwtf_RRoff,20131009,1
4065_muwtf_RLoff,20131009,1
4071_muwtf_RVoff,20131009,1
4073_muwtf_RKoff,20131009,1
4074_muwtf_RUoff,20131009,1
4078_muwtf_RToff,20131009,1
4081_muwtf_RFoff,20131009,1
4083_muwtf_RGoff,20131009,1
4084_muwtf_RQoff,20131009,1
4014_w_RIon,20131009,2
4018_w_RTon,20131009,2
4025_w_RGon,20131009,2
4033_w_RCon,20131009,2
4036_muwtf_RSon,20131009,2
4038_w_RFon,20131009,2
4041_muwtf_RVon,20131009,2
4042_muwtf_RTon,20131009,2
4049_mw_RDon,20131009,2
4050_w_RAon,20131009,2
4057_muwtf_RAon,20131009,2
4058_mwf_ROon,20131009,2
4060_muwtf_RLon,20131009,2
4061_muwtf_RKon,20131009,2
4062_w_RNon,20131009,2
4063_w_RRon,20131009,2
4066_muwtf_RUon,20131009,2
4070_uwtf_RQon,20131009,2
4072_mwf_REon,20131009,2
4075_muwtf_RRon,20131009,2
4079_muwtf_RIon,20131009,2
4082_muwtf_RGon,20131009,2
4085_muwtf_RQon,20131009,2
4089_w_RUon,20131009,2
4090_w_RVon,20131009,2
4015_muwtf_RDoff,20131010,1
4016_muwtf_REoff,20131010,1
4019_muwtf_ROoff,20131010,1
4021_muwtf_RNoff,20131010,1
4026_muwtf_RAoff,20131010,1
4040_muwtf_RIoff,20131010,1
4047_muwtf_RCoff,20131010,1
4048_muwtf_RSoff,20131010,1
4051_mutf_RAoff,20131010,1
4064_muwtf_RRoff,20131010,1
4065_muwtf_RLoff,20131010,1
4071_muwtf_RVoff,20131010,1
4073_muwtf_RKoff,20131010,1
4074_muwtf_RUoff,20131010,1
4078_muwtf_RToff,20131010,1
4081_muwtf_RFoff,20131010,1
4083_muwtf_RGoff,20131010,1
4084_muwtf_RQoff,20131010,1
4017_mut_RCon,20131010,2
4020_mutf_RVon,20131010,2
4023_mutf_RUon,20131010,2
4031_utf_RDon,20131010,2
4034_mutf_RAon,20131010,2
4036_muwtf_RSon,20131010,2
4041_muwtf_RVon,20131010,2
4042_muwtf_RTon,20131010,2
4043_mutf_RFon,20131010,2
4045_ut_REon,20131010,2
4052_mutf_RGon,20131010,2
4054_ut_ROon,20131010,2
4056_mutf_RIon,20131010,2
4057_muwtf_RAon,20131010,2
4059_mutf_RRon,20131010,2
4060_muwtf_RLon,20131010,2
4061_muwtf_RKon,20131010,2
4066_muwtf_RUon,20131010,2
4069_mutf_RNon,20131010,2
4070_uwtf_RQon,20131010,2
4075_muwtf_RRon,20131010,2
4079_muwtf_RIon,20131010,2
4082_muwtf_RGon,20131010,2
4085_muwtf_RQon,20131010,2
4087_mutf_RTon,20131010,2
4015_muwtf_RDoff,20131011,1
4016_muwtf_REoff,20131011,1
4019_muwtf_ROoff,20131011,1
4021_muwtf_RNoff,20131011,1
4026_muwtf_RAoff,20131011,1
4040_muwtf_RIoff,20131011,1
4047_muwtf_RCoff,20131011,1
4048_muwtf_RSoff,20131011,1
4051_mutf_RAoff,20131011,1
4064_muwtf_RRoff,20131011,1
4065_muwtf_RLoff,20131011,1
