stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
21.3739,1867,-157.9194,1867,http://hea.thebus.org/nextbus.asp?s=1867,,,KAHUAPAANI ST + ULUNE ST,0,
21.4001,2031,-157.9626,2031,http://hea.thebus.org/nextbus.asp?s=2031,,,HOOLAULEA ST + OPP HOOHAKU ST,0,
21.2796,1200,-157.7023,1200,http://hea.thebus.org/nextbus.asp?s=1200,,,LUNALILO HOME RD + OPP ANAPALAU ST,0,
21.3727,1866,-157.9172,1866,http://hea.thebus.org/nextbus.asp?s=1866,,,ULUNE ST + HALAWA VALLEY RD,0,
21.2594,4026,-157.7957,4026,http://hea.thebus.org/nextbus.asp?s=4026,,,KAHALA AVE + OPP PAIKAU ST,0,
21.3768,1869,-157.9168,1869,http://hea.thebus.org/nextbus.asp?s=1869,,,HALAWA HEIGHTS RD + IWAIWA ST,0,
21.2576,4024,-157.8012,4024,http://hea.thebus.org/nextbus.asp?s=4024,,,DIAMOND HEAD RD + 3701,0,
21.259,4025,-157.7975,4025,http://hea.thebus.org/nextbus.asp?s=4025,,,KAHALA AVE + KULAMANU ST,0,
21.2559,4022,-157.8092,4022,http://hea.thebus.org/nextbus.asp?s=4022,,,DIAMOND HEAD RD + DIAMOND HEAD LIGHT,0,
21.2571,4023,-157.8025,4023,http://hea.thebus.org/nextbus.asp?s=4023,,,DIAMOND HEAD RD + 3647,0,
21.2573,4020,-157.8157,4020,http://hea.thebus.org/nextbus.asp?s=4020,,,DIAMOND HEAD RD + 3165,0,
21.2563,4021,-157.8125,4021,http://hea.thebus.org/nextbus.asp?s=4021,,,DIAMOND HEAD RD + BEACH RD,0,
21.3955,643,-158.1611,643,http://hea.thebus.org/nextbus.asp?s=643,,,FARRINGTON HWY + OPP LUALEI PL,0,
21.2601,4028,-157.7922,4028,http://hea.thebus.org/nextbus.asp?s=4028,,,KAHALA AVE + ROYAL PL,0,
21.2609,4029,-157.7896,4029,http://hea.thebus.org/nextbus.asp?s=4029,,,KAHALA AVE + OPP ELEPAIO ST,0,
