route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
100,1,101201,Eagles Glen,0,2,100
101,1,101211,Stroud Mall,1,2,101
100,1,102301,Eagles Glen,0,3,100
101,1,102311,Stroud Mall,1,3,101
100,1,103101,Eagles Glen,0,1,100
101,1,103111,Stroud Mall,1,1,101
100,1,104501,Eagles Glen,0,5,100
101,1,104511,Stroud Mall,1,5,101
100,1,105401,Eagles Glen,0,4,100
101,1,105411,Stroud Mall,1,4,101
100,1,106202,Eagles Glen,0,2,100
101,1,106212,Stroud Mall,1,2,101
100,1,107302,Eagles Glen,0,3,100
101,1,107312,Stroud Mall,1,3,101
100,1,108102,Eagles Glen,0,1,100
101,1,108112,Stroud Mall,1,1,101
100,1,109502,Eagles Glen,0,5,100
101,1,109512,Stroud Mall,1,5,101
100,1,110402,Eagles Glen,0,4,100
101,1,110412,Stroud Mall,1,4,101
100,1,111203,Eagles Glen,0,2,100
101,1,111213,Stroud Mall,1,2,101
100,1,112303,Eagles Glen,0,3,100
101,1,112313,Stroud Mall,1,3,101
100,1,113103,Eagles Glen,0,1,100
101,1,113113,Stroud Mall,1,1,101
100,1,114503,Eagles Glen,0,5,100
101,1,114513,Stroud Mall,1,5,101
100,1,115403,Eagles Glen,0,4,100
101,1,115413,Stroud Mall,1,4,101
100,1,116204,Eagles Glen,0,2,100
101,1,116214,Stroud Mall,1,2,101
202,1,201111,Stroud Mall,1,1,201
200,1,201201,Mt. Pocono / PA 196,0,2,200
201,1,202411,Stroud Mall,1,4,201
200,1,202301,Mt. Pocono / PA 196,0,3,200
201,1,203211,Stroud Mall,1,2,201
200,1,203101,Mt. Pocono / PA 196,0,1,200
201,1,204312,Stroud Mall,1,3,201
200,1,204501,Mt. Pocono / PA 196,0,5,200
201,1,205112,Stroud Mall,1,1,201
200,1,205402,Mt. Pocono / PA 196,0,4,200
201,1,206512,Stroud Mall,1,5,201
200,1,206302,Mt. Pocono / PA 196,0,3,200
201,1,207412,Stroud Mall,1,4,201
200,1,207102,Mt. Pocono / PA 196,0,1,200
201,1,208313,Stroud Mall,1,3,201
200,1,208502,Mt. Pocono / PA 196,0,5,200
201,1,209113,Stroud Mall,1,1,201
200,1,209403,Mt. Pocono / PA 196,0,4,200
200,1,210203,Mt. Pocono / PA 196,0,2,200
201,1,210513,Stroud Mall,1,5,201
200,1,211303,Mt. Pocono / PA 196,0,3,200
201,1,211413,Stroud Mall,1,4,201
200,1,212103,Mt. Pocono / PA 196,0,1,200
201,1,212213,Stroud Mall,1,2,201
200,1,213503,Mt. Pocono / PA 196,0,5,200
220,1,2401,Mt. Pocono / PA 196,0,4,220
221,1,2314,Swiftwater,1,,221
221,1,2514,Swiftwater,1,,221
211,1,203151,Stroud Mall,1,5,211
211,1,202131,Stroud Mall,1,3,211
211,1,201121,Stroud Mall,1,2,211
203,1,208212,Weis / Tannersville,1,2,201
211,1,208212a,Stroud Mall,1,2,211
210,1,201404,Crossings Premium Outlets,0,,210
210,1,202204,Crossings Premium Outlets,0,,210
200,1,206202,Mt. Pocono / PA 196,0,2,200
301,1,3111,Giant / Bartonsville,1,,301
300,1,3101,Mt. Effort,0,,300
301,1,3112,Giant / Bartonsville,1,,301
300,1,3102,Mt. Effort,0,,300
301,1,3113,Giant / Bartonsville,1,,301
300,1,3103,Mt. Effort,0,,300
301,1,3114,Giant / Bartonsville,1,,301
300,1,3104,Mt. Effort,0,,300
302,1,3125,Tannersville Weis Market,1,,302
