route_id,agency_id,route_short_name,route_long_name,route_type,route_url
1,ARLC,26E,"GEORGE - City of Falls Church East Loop",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=26E
2,ARLC,26W,"GEORGE - City of Falls Church West Loop",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=26W
3,ARLC,41,"Colombia Pike/Dinwiddie - Court House Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=41
4,ARLC,41,"Court House Metro - Colombia Pike/Dinwiddie",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=41
5,ARLC,42,"Ballston Metro - Pentagon Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=42
6,ARLC,42,"Pentagon Metro - Ballston Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=42
7,ARLC,45,"Columbia Pike, DHS/Sequoia, Rosslyn",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=45
8,ARLC,45,"Rosslyn, DHS/Sequoia, Columbia Pike",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=45
9,ARLC,51,"Ballston Metro - Virginia Hospital Center",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=51
10,ARLC,51,"Virginia Hospital Center - Ballston Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=51
11,ARLC,52,"Ballston Metro - East Falls Church Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=52
12,ARLC,52,"East Falls Church Metro - Ballston Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=52
13,ARLC,53A,"Ballston - Glebe - East Falls Church",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=53A
14,ARLC,53A,"East Falls Church - Glebe - Ballston",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=53A
15,ARLC,53B,"Ballston - Glebe - East Falls Church",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=53B
16,ARLC,53B,"East Falls Church - Glebe - Ballston",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=53B
17,ARLC,61A,"Rosslyn - Court House Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=61A
18,ARLC,61B,"Rosslyn - Court House Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=61B
19,ARLC,62,"Ballston - Lorcom Lane - Court House Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=62
20,ARLC,62,"Court House Metro - Lorcom Lane - Ballston",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=62
21,ARLC,74,"Arlington Vlg - Arlington View - PCM AM",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=74
22,ARLC,74,"Arlington Vlg - Arlington View - PCM PM",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=74
23,ARLC,75,"Ballston Metro - Wakefield H.S.",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=75
24,ARLC,75,"Wakefield H.S. - Ballston Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=75
25,ARLC,77,"Court House Metro to Shirlington Station",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=77
26,ARLC,77,"Shirlington Station to Court House Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=77
27,ARLC,84,"ART 84 AM",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=84
28,ARLC,84,"ART 84 PM",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=84
29,ARLC,87,"Pentagon Metro - Army Navy - Shirlington Station",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=87
30,ARLC,87,"Shirlington Station - Army Navy - Pentagon Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=87
31,ARLC,87A,"26th and Troy to Pentagon Metro",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=87A
32,ARLC,87A,"Pentagon Metro to 26th and Troy",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=87A
33,ARLC,87X,"Express Northbound",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=87X
34,ARLC,87X,"Express Southbound",3,http://realtime.commuterpage.com/RTT/Public/Schedule.aspx?RouteNo=87X
