trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign
1,06:05:00,06:05:00,83,1,Lee Hwy via Virginia Hospital Center
1,,,84,2,
1,,,85,3,
1,,,86,4,
1,06:10:00,06:10:00,87,5,
1,,,88,6,
1,,,89,7,
1,,,90,8,
1,06:13:00,06:13:00,91,9,Lee Hwy
1,,,92,10,Lee Hwy
1,,,93,11,Lee Hwy
1,,,94,12,Lee Hwy
1,,,95,13,Lee Hwy
1,,,96,14,Lee Hwy
1,06:15:00,06:15:00,97,15,Lee Hwy
2,06:20:00,06:20:00,97,1,Ballston Metro
2,,,98,2,
2,,,99,3,
2,,,100,4,
2,06:22:00,06:22:00,101,5,
2,,,102,6,
2,,,103,7,
2,,,104,8,
2,06:26:00,06:26:00,105,9,
2,,,106,10,
2,,,107,11,
2,,,108,12,
2,,,109,13,
2,,,110,14,
2,06:30:00,06:30:00,83,15,
3,06:35:00,06:35:00,83,1,Lee Hwy via Virginia Hospital Center
3,,,84,2,
3,,,85,3,
3,,,86,4,
3,06:40:00,06:40:00,87,5,
3,,,88,6,
3,,,89,7,
3,,,90,8,
3,06:43:00,06:43:00,91,9,Lee Hwy
3,,,92,10,Lee Hwy
3,,,93,11,Lee Hwy
3,,,94,12,Lee Hwy
3,,,95,13,Lee Hwy
3,,,96,14,Lee Hwy
3,06:45:00,06:45:00,97,15,Lee Hwy
4,06:50:00,06:50:00,97,1,Ballston Metro
4,,,98,2,
4,,,99,3,
4,,,100,4,
4,06:52:00,06:52:00,101,5,
4,,,102,6,
4,,,103,7,
4,,,104,8,
4,06:56:00,06:56:00,105,9,
4,,,106,10,
4,,,107,11,
4,,,108,12,
4,,,109,13,
4,,,110,14,
4,07:00:00,07:00:00,83,15,
5,07:05:00,07:05:00,83,1,Lee Hwy via Virginia Hospital Center
5,,,84,2,
5,,,85,3,
5,,,86,4,
5,07:10:00,07:10:00,87,5,
5,,,88,6,
5,,,89,7,
5,,,90,8,
5,07:13:00,07:13:00,91,9,Lee Hwy
5,,,92,10,Lee Hwy
5,,,93,11,Lee Hwy
5,,,94,12,Lee Hwy
5,,,95,13,Lee Hwy
5,,,96,14,Lee Hwy
5,07:15:00,07:15:00,97,15,Lee Hwy
6,07:20:00,07:20:00,97,1,Ballston Metro
6,,,98,2,
6,,,99,3,
6,,,100,4,
6,07:22:00,07:22:00,101,5,
6,,,102,6,
6,,,103,7,
6,,,104,8,
6,07:26:00,07:26:00,105,9,
6,,,106,10,
6,,,107,11,
6,,,108,12,
6,,,109,13,
6,,,110,14,
6,07:30:00,07:30:00,83,15,
7,07:35:00,07:35:00,83,1,Lee Hwy via Virginia Hospital Center
7,,,84,2,
7,,,85,3,
7,,,86,4,
7,07:40:00,07:40:00,87,5,
7,,,88,6,
7,,,89,7,
7,,,90,8,
7,07:43:00,07:43:00,91,9,Lee Hwy
7,,,92,10,Lee Hwy
7,,,93,11,Lee Hwy
7,,,94,12,Lee Hwy
7,,,95,13,Lee Hwy
7,,,96,14,Lee Hwy
7,07:45:00,07:45:00,97,15,Lee Hwy
8,07:50:00,07:50:00,97,1,Ballston Metro
8,,,98,2,
8,,,99,3,
8,,,100,4,
8,07:52:00,07:52:00,101,5,
8,,,102,6,
8,,,103,7,
8,,,104,8,
8,07:56:00,07:56:00,105,9,
8,,,106,10,
8,,,107,11,
8,,,108,12,
8,,,109,13,
8,,,110,14,
8,08:00:00,08:00:00,83,15,
9,08:05:00,08:05:00,83,1,Lee Hwy via Virginia Hospital Center
9,,,84,2,
9,,,85,3,
9,,,86,4,
9,08:10:00,08:10:00,87,5,
9,,,88,6,
9,,,89,7,
9,,,90,8,
9,08:13:00,08:13:00,91,9,Lee Hwy
9,,,92,10,Lee Hwy
9,,,93,11,Lee Hwy
9,,,94,12,Lee Hwy
9,,,95,13,Lee Hwy
9,,,96,14,Lee Hwy
9,08:15:00,08:15:00,97,15,Lee Hwy
10,08:20:00,08:20:00,97,1,Ballston Metro
10,,,98,2,
10,,,99,3,
10,,,100,4,
10,08:22:00,08:22:00,101,5,
10,,,102,6,
10,,,103,7,
10,,,104,8,
10,08:26:00,08:26:00,105,9,
10,,,106,10,
10,,,107,11,
10,,,108,12,
10,,,109,13,
10,,,110,14,
10,08:30:00,08:30:00,83,15,
11,08:35:00,08:35:00,83,1,Lee Hwy via Virginia Hospital Center
11,,,84,2,
11,,,85,3,
11,,,86,4,
11,08:40:00,08:40:00,87,5,
11,,,88,6,
11,,,89,7,
11,,,90,8,
11,08:43:00,08:43:00,91,9,Lee Hwy
11,,,92,10,Lee Hwy
11,,,93,11,Lee Hwy
11,,,94,12,Lee Hwy
11,,,95,13,Lee Hwy
11,,,96,14,Lee Hwy
11,08:45:00,08:45:00,97,15,Lee Hwy
12,08:50:00,08:50:00,97,1,Ballston Metro
12,,,98,2,
12,,,99,3,
12,,,100,4,
12,08:52:00,08:52:00,101,5,
12,,,102,6,
12,,,103,7,
12,,,104,8,
12,08:56:00,08:56:00,105,9,
12,,,106,10,
12,,,107,11,
12,,,108,12,
12,,,109,13,
12,,,110,14,
12,09:00:00,09:00:00,83,15,
13,09:05:00,09:05:00,83,1,Lee Hwy via Virginia Hospital Center
13,,,84,2,
13,,,85,3,
13,,,86,4,
13,09:10:00,09:10:00,87,5,
13,,,88,6,
13,,,89,7,
13,,,90,8,
13,09:13:00,09:13:00,91,9,Lee Hwy
13,,,92,10,Lee Hwy
13,,,93,11,Lee Hwy
13,,,94,12,Lee Hwy
13,,,95,13,Lee Hwy
13,,,96,14,Lee Hwy
13,09:15:00,09:15:00,97,15,Lee Hwy
14,09:20:00,09:20:00,97,1,Ballston Metro
14,,,98,2,
14,,,99,3,
14,,,100,4,
14,09:22:00,09:22:00,101,5,
14,,,102,6,
14,,,103,7,
14,,,104,8,
14,09:26:00,09:26:00,105,9,
14,,,106,10,
14,,,107,11,
14,,,108,12,
14,,,109,13,
14,,,110,14,
14,09:30:00,09:30:00,83,15,
15,09:35:00,09:35:00,83,1,Lee Hwy via Virginia Hospital Center
15,,,84,2,
15,,,85,3,
15,,,86,4,
15,09:40:00,09:40:00,87,5,
15,,,88,6,
15,,,89,7,
15,,,90,8,
15,09:43:00,09:43:00,91,9,Lee Hwy
15,,,92,10,Lee Hwy
15,,,93,11,Lee Hwy
15,,,94,12,Lee Hwy
15,,,95,13,Lee Hwy
15,,,96,14,Lee Hwy
15,09:45:00,09:45:00,97,15,Lee Hwy
16,09:50:00,09:50:00,97,1,Ballston Metro
16,,,98,2,
16,,,99,3,
16,,,100,4,
16,09:52:00,09:52:00,101,5,
16,,,102,6,
16,,,103,7,
16,,,104,8,
16,09:56:00,09:56:00,105,9,
16,,,106,10,
16,,,107,11,
16,,,108,12,
16,,,109,13,
16,,,110,14,
16,10:00:00,10:00:00,83,15,
17,10:05:00,10:05:00,83,1,Lee Hwy via Virginia Hospital Center
17,,,84,2,
17,,,85,3,
17,,,86,4,
17,10:10:00,10:10:00,87,5,
17,,,88,6,
17,,,89,7,
17,,,90,8,
17,10:13:00,10:13:00,91,9,Lee Hwy
17,,,92,10,Lee Hwy
17,,,93,11,Lee Hwy
17,,,94,12,Lee Hwy
17,,,95,13,Lee Hwy
17,,,96,14,Lee Hwy
17,10:15:00,10:15:00,97,15,Lee Hwy
18,10:20:00,10:20:00,97,1,Ballston Metro
18,,,98,2,
18,,,99,3,
18,,,100,4,
18,10:22:00,10:22:00,101,5,
18,,,102,6,
18,,,103,7,
18,,,104,8,
18,10:26:00,10:26:00,105,9,
18,,,106,10,
18,,,107,11,
18,,,108,12,
18,,,109,13,
18,,,110,14,
18,10:30:00,10:30:00,83,15,
19,10:35:00,10:35:00,83,1,Lee Hwy via Virginia Hospital Center
19,,,84,2,
19,,,85,3,
19,,,86,4,
19,10:40:00,10:40:00,87,5,
19,,,88,6,
19,,,89,7,
19,,,90,8,
19,10:43:00,10:43:00,91,9,Lee Hwy
19,,,92,10,Lee Hwy
19,,,93,11,Lee Hwy
19,,,94,12,Lee Hwy
19,,,95,13,Lee Hwy
19,,,96,14,Lee Hwy
19,10:45:00,10:45:00,97,15,Lee Hwy
20,10:50:00,10:50:00,97,1,Ballston Metro
20,,,98,2,
20,,,99,3,
20,,,100,4,
20,10:52:00,10:52:00,101,5,
20,,,102,6,
20,,,103,7,
20,,,104,8,
20,10:56:00,10:56:00,105,9,
20,,,106,10,
20,,,107,11,
20,,,108,12,
20,,,109,13,
20,,,110,14,
20,11:00:00,11:00:00,83,15,
21,11:05:00,11:05:00,83,1,Lee Hwy via Virginia Hospital Center
21,,,84,2,
21,,,85,3,
21,,,86,4,
21,11:10:00,11:10:00,87,5,
21,,,88,6,
21,,,89,7,
21,,,90,8,
21,11:13:00,11:13:00,91,9,Lee Hwy
21,,,92,10,Lee Hwy
21,,,93,11,Lee Hwy
21,,,94,12,Lee Hwy
21,,,95,13,Lee Hwy
21,,,96,14,Lee Hwy
21,11:15:00,11:15:00,97,15,Lee Hwy
22,11:20:00,11:20:00,97,1,Ballston Metro
22,,,98,2,
22,,,99,3,
22,,,100,4,
22,11:22:00,11:22:00,101,5,
22,,,102,6,
22,,,103,7,
22,,,104,8,
22,11:26:00,11:26:00,105,9,
22,,,106,10,
22,,,107,11,
22,,,108,12,
22,,,109,13,
22,,,110,14,
22,11:30:00,11:30:00,83,15,
23,11:35:00,11:35:00,83,1,Lee Hwy via Virginia Hospital Center
23,,,84,2,
23,,,85,3,
23,,,86,4,
23,11:40:00,11:40:00,87,5,
23,,,88,6,
23,,,89,7,
23,,,90,8,
23,11:43:00,11:43:00,91,9,Lee Hwy
23,,,92,10,Lee Hwy
23,,,93,11,Lee Hwy
23,,,94,12,Lee Hwy
23,,,95,13,Lee Hwy
23,,,96,14,Lee Hwy
23,11:45:00,11:45:00,97,15,Lee Hwy
24,11:50:00,11:50:00,97,1,Ballston Metro
24,,,98,2,
24,,,99,3,
24,,,100,4,
24,11:52:00,11:52:00,101,5,
24,,,102,6,
24,,,103,7,
24,,,104,8,
24,11:56:00,11:56:00,105,9,
24,,,106,10,
24,,,107,11,
24,,,108,12,
24,,,109,13,
24,,,110,14,
24,12:00:00,12:00:00,83,15,
25,12:05:00,12:05:00,83,1,Lee Hwy via Virginia Hospital Center
25,,,84,2,
25,,,85,3,
25,,,86,4,
25,12:10:00,12:10:00,87,5,
25,,,88,6,
25,,,89,7,
25,,,90,8,
25,12:13:00,12:13:00,91,9,Lee Hwy
25,,,92,10,Lee Hwy
25,,,93,11,Lee Hwy
25,,,94,12,Lee Hwy
25,,,95,13,Lee Hwy
25,,,96,14,Lee Hwy
