stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url
83,51001,"Ballston Metro, Fairfax Dr, EB @ N Stafford St, NS",38.882092,-77.110876,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=83
84,51002,"Fairfax Drive, WB @ N Taylor Street, NS",38.882281,-77.112455,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=84
85,51003,"Fairfax Drive , WB @ N Utah Street, FS",38.882254,-77.114353,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=85
86,51004,"N Glebe Road, NB @ Washington Blvd, NS",38.884824,-77.116767,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=86
87,51005,"16th Street N, WB @ N Glebe Road, FS",38.889456,-77.119528,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=87
88,51006,"16th Street N, WB @ N Abingdon Street, NS",38.889263,-77.120423,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=88
89,51007,"16th Street N, WB @ N Buchanan Street, NS",38.888870,-77.122233,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=89
90,51008,"16th Street N, WB @ N Edison Street, NS",38.888282,-77.125114,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=90
91,51009,"N George Mason Dr, NB @ Virginia Hospital Ctr, MB",38.888909,-77.128507,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=91
92,51010,"N George Mason Drive, NB @ 19th Street N, NS",38.891314,-77.129508,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=92
93,51011,"N George Mason Drive , NB @ 20th Street N, NS",38.892847,-77.130516,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=93
94,51012,"Patrick Henry Drive, WB @ N Harrison Street, NS",38.893437,-77.133429,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=94
95,51013,"N Harrison Street, NB @ Lee Highway, NS",38.896116,-77.137309,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=95
96,51014,"Lee Highway, EB @ N George Mason Drive, MB",38.896282,-77.136024,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=96
97,51201,"N George Mason Drive, SB @ Lee Highway, FS",38.895711,-77.133587,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=97
98,51202,"N George Mason Drive, SB @ Patrick Henry Drive, NS",38.894408,-77.132048,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=98
99,51203,"N George Mason Drive, SB @ 20th Street N, FS",38.892639,-77.130724,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=99
100,51209,"N George Mason Drive, SB @ 19th Street N, FS",38.891075,-77.129646,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=100
101,51210,"N George Mason Dr, SB @ Virginia Hospital Ctr, MB",38.889413,-77.128931,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=101
102,51211,"16th Street N, EB @ N Edison Street, NS",38.888122,-77.125513,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=102
103,51212,"16th Street N, EB @ N Buchanan Street, NS",38.888716,-77.122516,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=103
104,51213,"16th Street N, EB @ N  Abingdon, NS",38.889080,-77.120731,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=104
105,51214,"16th Street N, EB @ N Glebe Road, NS",38.889364,-77.119311,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=105
106,51215,"N Glebe Road, SB @ 15th Street N, NS",38.888619,-77.118886,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=106
107,51216,"N Glebe Road, SB @ 13th Street N, NS",38.886987,-77.118130,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=107
108,51217,"N Glebe Road, SB @ Washington Blvd, FS",38.884699,-77.117061,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=108
109,51218,"Fairfax Drive, EB @ N Vermont Street, FS",38.881980,-77.114572,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=109
110,51219,"Fairfax Drive, EB @ N Taylor Street, NS",38.882021,-77.112980,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=110
111,52001,"N Quincy Street, NB @ 10th Street N, FS",38.883656,-77.107762,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=111
112,52002,"Washington Blvd, WB @ N Stafford Street, NS",38.885665,-77.110737,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=112
113,52003,"Washington Blvd, WB @ N Stuart Street, NS",38.885623,-77.112037,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=113
114,52004,"Washington Blvd, WB @ N Utah Street, NS",38.885565,-77.113960,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=114
115,52005,"Washington Blvd, WB @ N Vermont Street, NS",38.885505,-77.116057,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=115
116,52006,"Washington Blvd, WB @ N Glebe Road, FS",38.885482,-77.117833,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=116
117,52007,"Washington Blvd, WB @ N Buchanan Street, NS",38.885340,-77.121054,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=117
118,52008,"Washington Blvd, WB @ N Evergreen Street, FS",38.885192,-77.125861,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=118
119,52009,"N George Mason Drive, NB @ 22nd Street N, NS",38.894542,-77.131840,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=119
120,52010,"N George Mason Drive, NB @ Lee Highway, FS",38.896653,-77.133500,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=120
121,52011,"N George Mason Drive, NB @ 25th Street N, NS",38.898361,-77.133641,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=121
122,52012,"N George Mason Drive, NB @ 25th Place N, NS",38.899407,-77.134855,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=122
123,52013,"N George Mason Drive, NB @ 27th Street N, NS",38.901183,-77.135728,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=123
124,52014,"Yorktown Blvd, WB @ N Edison Street, NS",38.903021,-77.136861,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=124
125,52015,"Yorktown Blvd, WB @ 30th Street N, NS",38.903475,-77.139001,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=125
126,52016,"Yorktown Blvd, WB @ Little Falls Road, NS",38.903995,-77.141338,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=126
127,52017,"Yorktown Blvd, WB @ N Harrison Drive, FS",38.903939,-77.144780,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=127
128,52018,"Little Falls Road, WB @ N John Marshall Drive, NS",38.901976,-77.149028,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=128
129,52019,"Little Falls Road, WB @ N Ohio Street, FS",38.901090,-77.152507,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=129
130,52020,"Little Falls Road, WB @ Williamsburg Blvd, NS",38.900944,-77.155607,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=130
131,52021,"Williamsburg Blvd, SB @ N Powhatan Street, FS",38.900581,-77.156718,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=131
132,52022,"Williamsburg Blvd, SB @ N Rochester Street, FS",38.899135,-77.160237,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=132
133,52024,"N Trindad Street, SB @ Williamsburg Blvd, FS",38.897187,-77.162273,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=133
134,52025,"N Trindad Street, SB @ Little Falls Road, FS",38.896049,-77.160611,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=134
135,52026,"26th Street N, EB @ Sycamore Street, NS",38.894392,-77.157834,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=135
136,52027,"Sycamore Street, SB @ Lee Highway, FS",38.889853,-77.156524,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=136
137,52028,"Sycamore Street, SB @ Washington Blvd, FS",38.888168,-77.156449,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=137
138,52029,"East Falls Church Metro, Sycamore Street @ Bay A",38.886749,-77.156790,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=138
140,52202,"Sycamore Street, NB @ Washington Blvd, FS",38.887912,-77.156185,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=140
141,52203,"Sycamore Street, NB @ 24th Street N, NS",38.891168,-77.156420,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=141
143,52205,"N Trindad Street, NB @ Williamsburg Blvd, NS",38.897235,-77.162083,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=143
144,52206,"N Trindad Street, NB @ Little Falls Road, NS",38.896164,-77.160510,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=144
145,52207,"Williamsburg Blvd, NB @ Rochester Street, NS",38.898986,-77.160087,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=145
146,52208,"Williamsburg Blvd, NB @ Sycamore Street, NS",38.899871,-77.157030,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=146
147,52210,"Little Falls Road, EB @ Williamsburg Blvd, FS",38.900612,-77.154497,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=147
148,52211,"Little Falls Road, EB @ N Ohio Street, FS",38.900996,-77.151986,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=148
149,52212,"Little Falls Road, EB @ N Lexington Street, NS",38.901943,-77.148652,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=149
150,52213,"Yorktown Blvd, EB @ N Harrison Drive, NS",38.903735,-77.144801,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=150
151,52214,"Yorktown Blvd, EB @ N Greeenbier Street, FS",38.903839,-77.141537,http://realtime.commuterpage.com/RTT/Public/RoutePositionET.aspx?PlatformTag=151
