trip_id,start_time,end_time,headway_secs,exact_times
32191A463B1574,07:30:00,19:35:00,3600,1
32177A463B1574,06:15:00,18:20:00,3600,1
31415A462B1574,16:15:00,18:30:00,3600,1
31415A462B1574,06:15:00,08:20:00,3600,1
30443A463B1574,06:15:00,20:50:00,3600,1
31320A462B1574,15:45:00,18:20:00,3600,1
30994A462B1574,06:45:00,07:50:00,1800,1
30992A462B1574,16:18:00,18:50:00,3600,1
30992A462B1574,06:18:00,08:50:00,3600,1
31316A463B1574,05:45:00,19:50:00,3600,1
30459A536B1574,15:45:00,16:50:00,3600,1
30459A536B1574,07:45:00,08:50:00,3600,1
30435A463B1574,06:15:00,18:20:00,3600,1
30991A462B1574,06:45:00,08:50:00,3600,1
30991A462B1574,15:45:00,17:50:00,3600,1
30454A463B1574,15:15:00,20:20:00,3600,1
30454A463B1574,06:15:00,13:20:00,3600,1
30428A463B1574,06:45:00,19:50:00,3600,1
31024A462B1574,14:00:00,17:55:00,600,1
31024A462B1574,07:00:00,09:55:00,600,1
31024A462B1574,10:00:00,13:55:00,420,1
30440A463B1574,05:45:00,07:50:00,7200,1
30977A527B1574,18:45:00,19:50:00,3600,1
30975A527B1574,12:45:00,14:45:00,3600,1
30444A463B1574,05:45:00,19:50:00,3600,1
30985A462B1574,16:15:00,18:20:00,3600,1
30985A462B1574,06:15:00,08:20:00,3600,1
30984A462B1574,16:15:00,18:20:00,3600,1
30984A462B1574,06:15:00,08:20:00,3600,1
30982A463B1574,13:45:00,17:50:00,3600,1
30981A463B1574,09:45:00,11:50:00,3600,1
30974A462B1574,06:15:00,08:20:00,3600,1
30974A462B1574,16:15:00,18:20:00,3600,1
30439A463B1574,06:15:00,20:20:00,3600,1
30972A462B1574,15:45:00,17:50:00,3600,1
30972A462B1574,06:45:00,08:50:00,3600,1
30970A462B1574,15:45:00,17:50:00,3600,1
30970A462B1574,06:45:00,08:50:00,3600,1
30966A463B1574,06:15:00,20:20:00,3600,1
30436A463B1574,05:45:00,19:50:00,3600,1
30965A462B1574,16:15:00,18:20:00,3600,1
30965A462B1574,06:15:00,08:20:00,3600,1
30980A527B1574,06:45:00,08:50:00,7200,1
30433A463B1574,06:15:00,20:20:00,3600,1
30943A463B1574,06:15:00,20:20:00,3600,1
30421A463B1574,05:45:00,19:50:00,3600,1
30959A462B1574,06:15:00,08:20:00,3600,1
30958A462B1574,16:15:00,18:20:00,3600,1
30959A462B1574,16:15:00,18:20:00,3600,1
30463A463B1574,05:45:00,19:50:00,3600,1
30956A462B1574,15:45:00,17:50:00,3600,1
30956A462B1574,06:45:00,08:50:00,3600,1
30430A463B1574,05:45:00,19:50:00,3600,1
31416A463B1574,05:45:00,20:20:00,3600,1
30953A462B1574,15:45:00,17:50:00,3600,1
30953A462B1574,06:45:00,08:50:00,3600,1
30429A463B1574,06:15:00,20:20:00,3600,1
30427A463B1574,05:45:00,19:50:00,3600,1
30426A463B1574,06:15:00,20:20:00,3600,1
30425A463B1574,05:45:00,19:50:00,3600,1
30424A463B1574,07:15:00,20:50:00,3600,1
30949A462B1574,06:45:00,08:50:00,3600,1
30949A462B1574,15:45:00,17:50:00,3600,1
30946A462B1574,15:45:00,17:50:00,3600,1
30432A463B1574,05:45:00,19:50:00,3600,1
30946A462B1574,06:45:00,08:50:00,3600,1
30958A462B1574,06:15:00,08:20:00,3600,1
30420A463B1574,06:15:00,20:20:00,3600,1
30418A463B1574,05:45:00,19:50:00,3600,1
30503A462B1574,16:15:00,18:20:00,3600,1
30503A462B1574,06:15:00,08:20:00,3600,1
30417A463B1574,06:15:00,20:20:00,3600,1
30485A462B1574,15:45:00,17:50:00,3600,1
30485A462B1574,06:45:00,08:50:00,3600,1
30466A462B1574,16:15:00,18:20:00,3600,1
30431A463B1574,06:15:00,20:20:00,3600,1
30466A462B1574,06:15:00,08:20:00,3600,1
30467A462B1574,06:45:00,08:50:00,3600,1
30467A462B1574,15:45:00,17:50:00,3600,1
30411A463B1574,06:15:00,20:20:00,3600,1
26257A485B1577,12:00:00,23:05:00,3600,1
26256A484B1577,18:00:00,23:05:00,3600,1
26252A482B1576,13:00:00,21:05:00,7200,1
26253A483B1577,18:00:00,21:05:00,3600,1
26249A481B1576,17:00:00,22:05:00,3600,1
26248A479B1575,10:00:00,15:05:00,3600,1
26245A475B1575,08:00:00,17:05:00,3600,1
26247A479B1575,10:00:00,15:05:00,3600,1
26246A475B1575,08:00:00,17:05:00,3600,1
26242A475B1575,08:00:00,14:05:00,10800,1
26241A475B1575,08:00:00,14:05:00,10800,1
30951A462B1574,06:15:00,08:20:00,3600,1
30951A462B1574,14:15:00,18:20:00,3600,1
30423A463B1574,05:45:00,19:50:00,3600,1
38313A627B1574,06:45:00,08:50:00,3600,1
38313A627B1574,15:45:00,17:50:00,3600,1
